,author,content,game_id,inserted_at,post_no
10,PenguinPower,"Welcome to Mini Normal 1911  
Penguin Mafia Redux 

Reviewed by (RadiantCowbells, mhsmith0, Cheery Dog)
 
Player List:
Transcendmarshy*MulchLaLightFireScreamerAgent Sparkles*ZulfyRanmaruFrozenFlameRykerAdumbroDeusTitus rep. Tammy*Gamma Emerald 
* = prod
 
Spoiler: Living Players Transcend - Mafia Goon survives and wins!Mulch - Mafia Goon survives and wins!
Spoiler: Dead Players Zulfy - Vanilla Townie lynched Day 1AdumbroDeus - Vanilla Townie killed Night 1Agent Sparkles - Town Neighborizer killed Day 2FireScreamer - Vanilla Townie lynched Day 2marshy - Vanilla Townie killed Night 2Gamma Emerald - Mafia 1-shot Bulletproof lynched Day 3Ranmaru  - Town Novice 1-shot Day Vigiliante killed Night 3Titus - Town Universal Backup lynched Day 4LaLight - Town Odd-Night Cop endgamedFrozenFlame - Vanilla Townie endgamed Ryker - Vanilla Townie endgamed 
Spoiler: Votecounty Stuff Living PlayersTranscend
Mulch
LaLight
FrozenFlame
Ryker
Titus (replaces Tammy)

LinksDay 1: Post #3
Day 2: Post #1609
Day 3: Post#2249
[post=#p9278373]Day 4: Post #2814[/post]

Deadline2017-06-17 21:15:00 -5.00

Links: 

1. Game Thread
2. Mod PT
3. Mafia PT
4. Agent Sparkles' Neighborhood PT
5. Tammy's Neighborhood
6. Dead Thread
7. Spoiled Dead Thread",71796,2017-05-12 11:45:00,0
11,PenguinPower,"Rules
Rules shamelessly stolen from various moderators.

General RulesAll site rules apply here.You may not quote private Moderator-supplied information (real or otherwise) of any kindThere is to be NO personal communication outside of the forum postings unless your role PM specifically allows it. If someone contacts you outside the game, report it to me IMMEDIATELYAdvertising future games, or games currently in sign-ups, is forbidden.  This game will start with a Day phaseNo ciphers, encryption, extremely small text, or other similar tactics.If you have the ability to edit, refrain from doing so.It's your responsibility to read and understand all of the rules.
ActivityAim for one post every 48 hours at a minimum.  After 48 hours of no activity, I will prod the inactive playerA prodded player has 24 hours to respond to my prod with a substantive post in game, after which time a replacement search will begin.  I abhor prodging.A player who has been prodded 3 times will be subject to replacement with no further noticeIf you plan on being inactive for more than 48 hours, PM the Mod to notify you plan on being V/LA. If you plan to have regularly scheduled V/LA period (e.g. the weekend) please PM the mod to notify
DeadlinesDays will last 14 daysNights will last 48 hoursExtensions may be given out in extreme circumstances, and is up to the discretion of the ModIf you have a role with a Night action, your action is due to the Mod by the posted deadline.  If no action is received by the posted deadline, you may forfeit your action(s).  Players with a Night action may submit a ""No Action"" PM to indicate to the Mod you do not wish to perform your action.
Player Rules/VotingA simple majority of all living players must agree on one person (via voting) for a Lynch to occur (simple majority = Â½ # of living players +1, rounded down). If no one has a simple majority of votes at deadline a No Lynch will occur.Votes should use Vote Tags or they may not be counted (VOTE: (Player Name)). Unvotes should use Unvote Tags or they may not be counted (UNVOTE: (Player Name)). Unvotes are helpful, but not required.  You may VOTE: No Lynch - a simple majority (as described above) of No Lynch votes will result in a No Lynch and a move to the Night phase.Votes/Unvotes should be placed on a line all by themselves to make them easier for everyone to see.  Do this.Votes in quotes, spoiler tags or otherwise hidden will also not be counted.Votes that misspell or have other minor errors will be counted as normal as long as I understand what you are getting at.Once a player has reached a simple majority of votes no further unvoting will change their fate. Tough.When a player is lynched the game enters twilight until the Mod posts a death scene; all players may continue to post.If you are killed (either via lynch or night kill) you may no longer post except for one brief â€œBah!â€�-type post that contains that must contain a cute image of a Penguin.
Misc RulesThis is my color.  I don't like to share, so don't use it.I'm perfect, but there may be an appearance of a mistake on occasion.  This is intentional.  Please PM me privately to address. I will correct any of these intentional mistakes where possible, but there may be situations that I cannot.  Sorry. Be at peace knowing those were intentional as well.Bold all requests to the Mod so that I don't intentionally miss them.Rule violations will be dealt with based upon severity - up to a Modkill - at the sole discretion of the ModAny situation not specifically covered in the above Rules is subject to Mod discretion and will be handled as the Mod sees fit to address.  Live with it.This game is a confirmed 10:3 setup.",71796,2017-05-12 11:52:00,1
12,PenguinPower,Role PMs have been sent out.  Game will start when 11/13 have confirmed.,71796,2017-05-12 12:47:00,2
13,PenguinPower,Day 1 Starts Now!,71796,2017-05-12 19:47:00,3
14,PenguinPower,"Vote Count 1.01
Not Voting (13): Transcend, LaLight, Ranmaru, Agent Sparkles, Mulch, marshy, FireScreamer, Zulfy, Ryker, Tammy, AdumbroDeus, FrozenFlame, Gamma Emerald

With 13 alive, it takes 7 to lynch.

Deadline: (expired on 2017-05-26 16:00:00)
",71796,2017-05-12 19:49:00,4
15,Gamma Emerald,"Opening with RQS
1) How excited are you for this game?
2) Where did you hear about this site/where did you come from?
3) If you had to bet the game on one player's alignment who would it be? Basically, who can you read best?
4) what aspects of your play do you seek to improve?
5) What is your general scumhunting mindset?",71796,2017-05-12 19:49:00,5
16,Transcend,VOTE: gamma,71796,2017-05-12 19:51:00,6
17,Gamma Emerald,"My answers
1) I'm quite excited, I played PP's last game and liked it, so I expect this one to be fun as well.
2) I came here from Starmen.net, which has a lot of role madness games.
3) I'd have to say Tammy or Ranmaru.
4) I want to become more charismatic.
5) I like to scan for scum motivation, though I'll sometimes toneread.",71796,2017-05-12 19:55:00,7
18,Mulch,WTF are RQS,71796,2017-05-12 20:02:00,8
19,Gamma Emerald,"RQS is random questioning stage, it's a type of opening to get everyone to start posting.",71796,2017-05-12 20:04:00,9
20,Mulch,"1)  Excited
2)   Someone from this site drew me in From Town of Salem Forums.  I've played a few games there but this is my second game here (I'm in a newbie one atm)
3) Never played with any of you
4) Not deathtunnling my scumreads, because I get confident on them
5) Rather not say exactly, but it involves if people are trying to scum hunt and, if they are, if they are doing it logically or not",71796,2017-05-12 20:08:00,10
21,Zulfy,Transcend didnt like your rqs gamma,71796,2017-05-12 20:20:00,11
22,Transcend,i do not like rqs in general,71796,2017-05-12 20:21:00,12
23,Gamma Emerald,"
What about you",71796,2017-05-12 20:23:00,13
24,Zulfy,"I dont have an opinion of the rqs itself.

Also none about the reactions so far to the rqs, mine included.

Your reaction to my reaction to transcend's reaction has been noted tho.

Hello other person",71796,2017-05-12 20:26:00,14
25,Gamma Emerald,"
Why don't you answer it then",71796,2017-05-12 20:27:00,15
26,marshy,"I DECLARE THE END OF RQS AND THE BEGINNING OF RVS

VOTE: tammy",71796,2017-05-12 20:30:00,16
27,Zulfy,Cuz it's over VOTE: Tammy,71796,2017-05-12 20:30:00,17
28,Gamma Emerald,"
BOTH CAN GO ON AT ONCE",71796,2017-05-12 20:31:00,18
29,Agent Sparkles,"Awesome, this started

VOTE: Mulch b/c I can.",71796,2017-05-12 20:34:00,19
30,Ranmaru,"VOTE: Agent Sparkles
insert agent joke here

I support the ending of RQS and beginning of RVS.

Please use vote tags as per the rules.  Corrected.

-PenguinMod",71796,2017-05-12 20:34:00,20
31,FireScreamer,VOTE: Gamma,71796,2017-05-12 20:35:00,21
32,Transcend,"

i like this guy",71796,2017-05-12 20:37:00,22
33,Agent Sparkles,"

1) Very. I just returned to playing after a hiatus.
2) I found the wiki for this site when I was looking up good mafia setups.
3) No one yet. I'm not very familiar with anyone's meta here.
4) Mostly my difficulty in forming reads and the confbias I can have for stronger ones.
5) Finding out whether or not certain things make sense from a town mindset. I also heavily prefer logically backed cases over gutreads.",71796,2017-05-12 20:39:00,23
34,PenguinPower,,71796,2017-05-12 20:40:00,24
35,PenguinPower,"Vote Count 1.02
Gamma Emerald (2): Transcend, FireScreamer
Tammy (2): marshy, Zulfy 
Agent Sparkles (1): Ranmaru
Mulch (1): Agent Sparkles

Not Voting (7): LaLight, Mulch, Ryker, Tammy, AdumbroDeus, FrozenFlame, Gamma Emerald

With 13 alive, it takes 7 to lynch.

Deadline: (expired on 2017-05-26 16:00:00)

Mod Notes:  Not sure I like this automatic vote counter thing.  Edit:  Think I found a work around.
",71796,2017-05-12 20:40:00,25
36,Agent Sparkles,What's everyone's deal with ignoring Gamma's questions and avoiding RQS? It helps advance the game just like RVS does.,71796,2017-05-12 20:40:00,26
