,event,game_id,role,text,users
2658,lynched day 2,71675,Mafia Goon,"havingfitz replaced Titus, Mafia Goon, lynched day 2","['havingfitz', 'Titus']"
2659,survived,71675,Mafia Goon,"Ircher, Mafia Goon, survived",['Ircher']
2660,killed night 1,71675,Vanilla Townie,"MortFeld, Vanilla Townie, killed night 1",['MortFeld']
2661,lynched day 1,71675,Vanilla Townie,"Whemestar replaced Transcend, Vanilla Townie, lynched day 1","['Whemestar', 'Transcend']"
2662,killed night 2,71675,Town Miller Double Voter,"TwoFace, Town Miller Double Voter, killed night 2",['TwoFace']
2663,endgamed,71675,Vanilla Townie,"MarioManiac4, Vanilla Townie, endgamed",['MarioManiac4']
2664,lynched day 3,71675,Vanilla Townie,"BigYoshiFan,  Vanilla Townie, lynched day 3",['BigYoshiFan']
2665,lynched day 5,71675,Vanilla Townie,"Gamma Emerald,  Vanilla Townie, lynched day 5",['Gamma Emerald']
2666,lynched day 4,71675,Vanilla Townie,"Priscila replaced Tarkus,  Vanilla Townie, lynched day 4","['Priscila', 'Tarkus']"
2667,endgamed,71675,3-shot gunsmith,"RayFrost replaced -Grey- replaced NotTheRealPaul, 3-shot gunsmith, endgamed","['RayFrost', '-Grey-', 'NotTheRealPaul']"
2668,endgamed,71675,Vanilla Townie,"PenguinPower replaced ChannelDelibird, Vanilla Townie, endgamed","['PenguinPower', 'ChannelDelibird']"
2669,survived,71675,Mafia Goon,"MMM,  Mafia Goon, survived",['MMM']
2670,killed night 3,71675,Odd Night Cop,"Kelvin Smith replaced Hikari Link, Odd Night Cop, killed night 3","['Kelvin Smith', 'Hikari Link']"
2671,lynched day 3,71697,Mafia Goon,"Leonshade replaced Prism replaced rb, Mafia Goon, lynched day 3","['Leonshade', 'Prism', 'rb']"
2672,lynched day 2,71697,Vanilla Townie,"Desperado replaced Alisae, Vanilla Townie, lynched day 2","['Desperado', 'Alisae']"
2673,lynched day 4,71697,Mafia Watcher,"camn replaced Kelvin Smith replaced Hikari Link, Mafia Watcher, lynched day 4","['camn', 'Kelvin Smith', 'Hikari Link']"
2674,lynched day 6,71697,Vanilla Townie,"Firebringer, Vanilla Townie, lynched day 6",['Firebringer']
2675,died night 3,71697,Town 1-Shot Bulletproof Bodyguard,"Aristophanes, Town 1-Shot Bulletproof Bodyguard, died night 3",['Aristophanes']
2676,lynched day 1,71697,Vanilla Townie,"Keyser Șze, Vanilla Townie, lynched day 1",['Keyser Șze']
2677,died night 4,71697,Town Mason,"Nachmamma8, Town Mason, died night 4",['Nachmamma8']
2678,died night 5,71697,Town Mason,"Tammy, Town Mason, died night 5",['Tammy']
2679,endgamed,71697,Town Daytalk Enabler Neighbor,"Ginngie replaced TheRealGin-N-Tonic, Town Daytalk Enabler Neighbor, endgamed","['Ginngie', 'TheRealGin-N-Tonic']"
2680,endgamed,71697,Vanilla Townie,"Infinity_324 replaced Fro99er, Vanilla Townie, endgamed","['Infinity_324', 'Fro99er']"
2681,lynched day 5,71697,Vanilla Townie,"Titus, Vanilla Townie, lynched day 5",['Titus']
2682,survived,71697,Mafia Goon,"Ser Arthur Dayne replaced Boonskiies, Mafia Goon, survived","['Ser Arthur Dayne', 'Boonskiies']"
2683,died night 1,71697,Town Jailkeeper Neighbour,"implosion, Town Jailkeeper Neighbour, died night 1",['implosion']
2684,survived,71796,Mafia Goon,"Transcend, Mafia Goon, survived",['Transcend']
2685,killed night 2,71796,Vanilla Townie,"marshy, Vanilla Townie, killed night 2",['marshy']
2686,survived,71796,Mafia Goon,"Mulch, Mafia Goon, survived",['Mulch']
2687,endgamed,71796,Odd-Night Cop,"LaLight, Odd-Night Cop, endgamed",['LaLight']
2688,lynched day 2,71796,Vanilla Townie,"FireScreamer, Vanilla Townie, lynched day 2",['FireScreamer']
2689,killed day 2,71796,Vanilla Townie,"Agent Sparkles, Vanilla Townie, killed day 2",['Agent Sparkles']
2690,lynched day 1,71796,Vanilla Townie,"Zulfy, Vanilla Townie, lynched day 1",['Zulfy']
2691,killed night 3,71796,Town Novice 1-shot Day Vigiliante ,"Ranmaru, Town Novice 1-shot Day Vigiliante , killed night 3",['Ranmaru']
2692,endgamed,71796,Vanilla Townie,"FrozenFlame, Vanilla Townie, endgamed",['FrozenFlame']
2693,endgamed,71796,Vanilla Townie,"Ryker, Vanilla Townie, endgamed",['Ryker']
2694,killed night 1,71796,Vanilla Townie,"AdumbroDeus, Vanilla Townie, killed night 1",['AdumbroDeus']
2695,lynched day 4,71796,Town Universal Backup,"Titus replaced Tammy, Town Universal Backup, lynched day 4","['Titus', 'Tammy']"
2696,lynched day 3,71796,Mafia 1-Shot Bulletproof,"Gamma Emerald, Mafia 1-Shot Bulletproof, lynched day 3",['Gamma Emerald']
