,Sentences
0,"Thanks, Zaheed and good morning"
1,I'd like to begin by acknowledging all of our team members and independent owners across the AAP family for their efforts to better serve our customers in the quarter
2,"Through their dedication, weâ€™re executing well against the five-year plan review that our investor conference last November"
3,"In Q1, our comp store sales performance was down 2.7%"
4,"This result reflects the impact of a series of factors we anticipated in Q1, as well as short-term headwinds that were not planned"
5,These headwinds impacted the entire industry in Q1.
6,Letâ€™s start with what we expected
7,"As we noted last quarter, our Q4 performance benefited from two significant factors; first, the shift of New Yearâ€™s Day into Q1, which help Q4 but reduced comp store sales in Q1; secondly, a substantial increase in winter related demand was pulled forward into December and out of January"
8,"In particular, our Northern markets benefited from the cold December"
9,"Given our geographic footprint, we disproportionately benefited from this in Q4"
10,and it disproportionately hurt us in Q1.
11,None of this was a surprise and the fact that our comps in Q1 were lower relative to Q4
12,"was consistent with our 2017 operating plan and consistent with what we said last quarter when we reported comp sales of 3.1%, our strongest performance in the 12 quarters post the GPI acquisition"
13,Weâ€™ve been looking at our across business across Q4 and Q1 combined for several months now
14,This provides a normalized picture of sequential sales improvement
15,"For the 28-week period, we delivered positive sequential improvement in our comp sales performance"
16,The combined comp for Q4 and Q1 of down 0.3% was approximately 70 basis point improvement versus the comp in Q3 2016.
17,The sequential improvement weâ€™ve delivered in recent quarters demonstrates weâ€™re making real progress
18,"At the same time, weâ€™re not immune to the macro headwinds within the industry, which resulted in unexpected substantially softer consumer demand in the middle of Q1 as reflected in the publicly available data"
19,This timeframe was worse than expected and resulted in a slow start to the spring selling season
20,"That said, these short-term variables tend to smooth themselves overtime and while we need to manage them as part of our day-to-day operations, they donâ€™t change how weâ€™re transforming the business and how we think about long-term growth"
21,"The beginning of the quarter was in line with our expectations, as was the end of the quarter"
22,We along with the rest of the industry experienced softness in February and March
23,The good news is we closed Q1 with stronger performance and this is carried into Q2.
24,"As a result, we expect sequential improvement in our top-line growth once again in Q2 as compared with our Q4, Q1 combined number of down 0.3%"
25,"So to reinforce the key points surrounding our top-line performance, weâ€™re viewing Q4 and Q1 as one combined timeframe in our transformation"
26,Q3 last year had comps to down 1% and Q4 and Q1
27,combined had comps of down 0.3%
28,"While this was less than we planned, it represented sequential improvement and we expect to deliver sequential improvement again in Q2."
29,"Our steadily improving sales performance reflects the impact of decisive and consistent actions weâ€™ve taken across three areas of focus, giving us confidence going forward; first, our priority to put the customer first is permeating the organization"
30,It has been and will continue to be the key driver for consistent top-line growth
31,"Second, our sustain investments and availability, customer service and our front-line is strengthening execution and engagement"
32,"And third, better execution throughout our supply chain is driving increased fill rates, higher in-stocks and reduced order to delivery time"
33,"Together, this is resulting in a better experience for customers in both Professional and DIY"
34,"Turning to operating income, weâ€™ve been clear"
35,Our turnaround wonâ€™t be linear
36,"Itâ€™s important to note that while weâ€™re not managing our business quarter-to-quarter, our Q1 operating income results were generally in line with internal expectations at the beginning and end of the quarter with the notable exception of larger than anticipated sales softness in February and March"
37,"As in the past several quarters, our operating profit performance reflects deliberate choices to invest in our business and specifically in the customer to position AAP for the long-term"
38,"When sales slowed down in the middle of Q1, we could have made a short-term decision to pull back on customer service"
39,"But in fact, we made a deliberate decision to sustain investment"
40,"At times, we know the difficult choices need to remain to fully capitalize on the significant opportunity we have to drive growth and margins over the long-term"
41,"Given the early stage of our turnaround and focus on reinvigorating the customer experience, the choice to sustain investment and customer service in the middle of short-term whether related softness was one of the easier decisions made in the quarter"
42,"These investments are beginning to pay-off as evidenced by sequential improvement of comp store sales along with progress on core input metrics, including improved in stock rates, significant reductions in turnover and faster delivery times to customers"
43,The other drivers of our operating margin decline resulted from fixed costs deleverage due to the comparable store sales decline and our continuing efforts to optimize our inventory
44,Tom Okray will provide more color on the financial shortly
45,"At the same time, our productivity agenda is on track and ramping up nicely"
46,Weâ€™re now executing against the framework weâ€™ve been constructing over the past several months
47,"As the program boost and design to execution, weâ€™ll realize considerable productivity savings in the back half of the year for our annual operating plan"
48,"As a result of these factors outlined, we delivered an adjusted operating margin rate of 7.1% and adjusted EPS of $1.60."
49,"Taking all this into account, we remain confident with the progress weâ€™re making as we execute our plan and expect sales and customer momentum to continue with more operating leverage as we enter the back half of 2017."
50,Weâ€™re performing well relative to our primary input metrics as the beginning and end of the quarter was in line with expectations
51,"Unfortunately, the middle of the quarter was below plan as was broadly experienced across the industry"
52,We also believe the sales softness was short-term in nature given recent trends
53,"Importantly, Importantly, our productivity agenda ahead of plan"
54,Weâ€™ve now conclude that we can drive more gross savings in a shorter period of time
55,We will do this while continuing to position the business to grow faster
56,Weâ€™
57,"ll begin to see improvements from our productivity initiatives in the second half of this year, which will help us meet bottom line targets"
58,"With Q1 behind us, I am pleased to report that we are now officially transitioning from Phase 1 of our transformation plan to Phase 2."
59,Phase 1 had three overarching objectives
60,"First, refocus the organization from top to bottom on the customer"
61,We have lost faith of this top priority and needed to regain a customer first culture to ensure a long term growth
62,Everyone at AAP needed to raise their gain by putting the customer first in everything we do
63,"Across our businesses, we are now seeing adoption of a mindset that everyone's number one priority is sharing for the customer"
64,"Second, develop and align the organization behind a clear strategy and five year plan to accelerate performance"
65,"In addition, we have defined and are now executing against the new set of foundational cultural shifts we need to make"
66,"And third, build a world class leadership team that can execute our plan in the short term while transforming our business in the future"
67,We are re-advancing Advance Auto Parts and I am excited by the fact that we have built a new and highly skilled leadership team by attracting top talent from multiple companies and industries
68,This when combined with deep parts experience throughout the organization give us a team which can both perform in the short term while transforming our business over the long term
69,"In Phase 1, we made deliberate and sustained investments and availability, customer service and our front line"
70,This has improved input metrics and sales trends were getting market share performance moving in the right direction
71,"With Phase 1 complete, weâ€™re turning our attention to Phase 2."
72,"Our objective for Phase 2 include; first, elevate focus on the customer and continue to narrow the performance gap; second, flawlessly execute the multi-year productivity plan we have been developing"
73,"We have a significant opportunity to thoughtfully and permanently remove unnecessary costs; and third, challenge our new leadership team to elevate our focus on attracting and developing talent throughout the organization"
74,"With stronger talent, we will build new capacities required to win in the future and evolve the culture to deliver value"
75,"We have been hard at work with our growth agenda and over the past three quarters developing our Phase 2 initiatives, weâ€™re very excited about the capabilities weâ€™re building as we test and learn new ideas throughout the country"
76,Weâ€™re now beginning to scale the top performing initiatives
77,"First, weâ€™re improving the customer experience and driving consistent execution across our network for both Professional and DIY customers"
78,"In Professional, it all starts with improving availability"
79,Here we are building on the successful pilots we ran last year
80,Our availability transformation positions the right parts closer to the right customers by store reduces order to delivery time and drives growth
81,We have now added more stores to the availability transformation and we are seeing similar robust performance improvements that we saw in our lead markets in 2016.
82,"As a result, weâ€™re expanding in select market throughout the balance of the year"
83,Weâ€™re also augmenting this improved availability with an enhanced technology platform
84,We piloted this last fall with exceptional results and made the decision to invest in the back-end analytics engine combined with front end consumer facing technology for customer account managers to improved sales productivity
85,"With better insight into our customers, our customer account managers are able to more effectively manage their time with customers to better meet their needs"
86,This will be fully deployed in Q3.
87,"In DIY, weâ€™re equally focused on improving our customer and team member experience"
88,Weâ€™ve been running DIY experience pilots in a number of stores and markets
89,These pilots are standardizing the in-store customer experience store-by-store and region-by-region
90,"So every store has the same consistent processes, the same consistent training and the same consistent approach to servicing the customer"
91,"In addition to making critical investments in the customer to drive growth, the second pillar of Phase 2 is the focus on our robust productivity pipeline"
92,"Since we announced the productivity agenda and corresponding targets last November at our Analyst Day, weâ€™ve been aggressively putting the structure and leadership team in place to execute a sustainable multi-year productivity program"
93,"As we said previously, the productivity muscle simply is not exists at AAP"
