,Word,Lemma,POSTag,Shape
0,Thanks,thanks,UH,Xxxxx
1,",",",",",",","
2,Zaheed,Zaheed,NNP,Xxxxx
3,and,and,CC,xxx
4,good,good,JJ,xxxx
5,morning,morning,NN,xxxx
6,"
","
",_SP,"
"
7,I,-PRON-,PRP,X
8,'d,would,MD,'x
9,like,like,VB,xxxx
10,to,to,TO,xx
11,begin,begin,VB,xxxx
12,by,by,IN,xx
13,acknowledging,acknowledge,VBG,xxxx
14,all,all,DT,xxx
15,of,of,IN,xx
16,our,-PRON-,PRP$,xxx
17,team,team,NN,xxxx
18,members,member,NNS,xxxx
19,and,and,CC,xxx
20,independent,independent,JJ,xxxx
21,owners,owner,NNS,xxxx
22,across,across,IN,xxxx
23,the,the,DT,xxx
24,AAP,AAP,NNP,XXX
25,family,family,NN,xxxx
26,for,for,IN,xxx
27,their,-PRON-,PRP$,xxxx
28,efforts,effort,NNS,xxxx
29,to,to,TO,xx
30,better,better,RBR,xxxx
31,serve,serve,VB,xxxx
32,our,-PRON-,PRP$,xxx
33,customers,customer,NNS,xxxx
34,in,in,IN,xx
35,the,the,DT,xxx
36,quarter,quarter,NN,xxxx
37,"
","
",_SP,"
"
38,Through,through,IN,Xxxxx
39,their,-PRON-,PRP$,xxxx
40,dedication,dedication,NN,xxxx
41,",",",",",",","
42,weâ€,weâ€,NNP,xxx€
43,™,™,CD,™
44,re,re,NN,xx
45,executing,execute,VBG,xxxx
46,well,well,RB,xxxx
47,against,against,IN,xxxx
48,the,the,DT,xxx
49,five,five,CD,xxxx
50,-,-,HYPH,-
51,year,year,NN,xxxx
52,plan,plan,NN,xxxx
53,review,review,NN,xxxx
54,that,that,IN,xxxx
55,our,-PRON-,PRP$,xxx
56,investor,investor,NN,xxxx
57,conference,conference,NN,xxxx
58,last,last,JJ,xxxx
59,November,November,NNP,Xxxxx
60,"
","
",_SP,"
"
61,In,in,IN,Xx
62,Q1,Q1,NNP,Xd
63,",",",",",",","
64,our,-PRON-,PRP$,xxx
65,comp,comp,JJ,xxxx
66,store,store,NN,xxxx
67,sales,sale,NNS,xxxx
68,performance,performance,NN,xxxx
69,was,be,VBD,xxx
70,down,down,RB,xxxx
71,2.7,2.7,CD,d.d
72,%,%,NN,%
