,Word,Lemma,POSTag,Shape
0,Hello,hello,UH,Xxxxx
1,",",",",",",","
2,and,and,CC,xxx
3,welcome,welcome,VB,xxxx
4,to,to,IN,xx
5,our,-PRON-,PRP$,xxx
6,Q1,Q1,NNP,Xd
7,2017,2017,CD,dddd
8,financial,financial,JJ,xxxx
9,results,result,NNS,xxxx
10,conference,conference,NN,xxxx
11,call,call,NN,xxxx
12,"
","
",_SP,"
"
13,Joining,join,VBG,Xxxxx
14,us,-PRON-,PRP,xx
15,today,today,NN,xxxx
16,to,to,TO,xx
17,answer,answer,VB,xxxx
18,your,-PRON-,PRP$,xxxx
19,questions,question,NNS,xxxx
20,is,be,VBZ,xx
21,Brian,Brian,NNP,Xxxxx
22,Olsavsky,Olsavsky,NNP,Xxxxx
23,",",",",",",","
24,our,-PRON-,PRP$,xxx
25,CFO,cfo,NN,XXX
26,"
","
",_SP,"
"
27,As,as,IN,Xx
28,you,-PRON-,PRP,xxx
29,listen,listen,VBP,xxxx
30,to,to,IN,xx
31,today,today,NN,xxxx
32,'s,'s,POS,'x
33,conference,conference,NN,xxxx
34,call,call,NN,xxxx
35,",",",",",",","
36,we,-PRON-,PRP,xx
37,encourage,encourage,VBP,xxxx
38,you,-PRON-,PRP,xxx
39,to,to,TO,xx
40,have,have,VB,xxxx
41,our,-PRON-,PRP$,xxx
42,press,press,NN,xxxx
43,release,release,NN,xxxx
44,in,in,IN,xx
45,front,front,NN,xxxx
46,of,of,IN,xx
47,you,-PRON-,PRP,xxx
48,",",",",",",","
49,which,which,WDT,xxxx
50,includes,include,VBZ,xxxx
51,our,-PRON-,PRP$,xxx
52,financial,financial,JJ,xxxx
53,results,result,NNS,xxxx
54,as,as,RB,xx
55,well,well,RB,xxxx
56,as,as,IN,xx
57,metrics,metric,NNS,xxxx
58,and,and,CC,xxx
59,commentary,commentary,NN,xxxx
60,on,on,IN,xx
61,the,the,DT,xxx
62,quarter,quarter,NN,xxxx
63,"
","
",_SP,"
"
64,Please,please,UH,Xxxxx
65,note,note,VB,xxxx
66,",",",",",",","
67,unless,unless,IN,xxxx
68,otherwise,otherwise,RB,xxxx
69,stated,state,VBN,xxxx
70,",",",",",",","
71,all,all,DT,xxx
72,comparisons,comparison,NNS,xxxx
73,in,in,IN,xx
74,this,this,DT,xxxx
75,call,call,NN,xxxx
76,will,will,MD,xxxx
77,be,be,VB,xx
78,against,against,IN,xxxx
79,our,-PRON-,PRP$,xxx
80,results,result,NNS,xxxx
81,for,for,IN,xxx
82,the,the,DT,xxx
83,comparable,comparable,JJ,xxxx
84,period,period,NN,xxxx
85,of,of,IN,xx
86,2016,2016,CD,dddd
87,.,.,.,.
88,Our,-PRON-,PRP$,Xxx
89,comments,comment,NNS,xxxx
90,and,and,CC,xxx
91,responses,response,NNS,xxxx
92,to,to,IN,xx
93,your,-PRON-,PRP$,xxxx
94,questions,question,NNS,xxxx
95,reflect,reflect,VB,xxxx
96,management,management,NN,xxxx
97,'s,'s,POS,'x
98,views,view,NNS,xxxx
99,as,as,IN,xx
100,of,of,IN,xx
101,today,today,NN,xxxx
102,",",",",",",","
103,April,April,NNP,Xxxxx
104,27,27,CD,dd
105,",",",",",",","
106,2017,2017,CD,dddd
107,",",",",",",","
108,only,only,RB,xxxx
109,and,and,CC,xxx
110,will,will,MD,xxxx
111,include,include,VB,xxxx
112,forward,forward,RB,xxxx
113,-,-,HYPH,-
114,looking,look,VBG,xxxx
115,statements,statement,NNS,xxxx
116,"
","
",_SP,"
"
117,Actual,actual,JJ,Xxxxx
118,results,result,NNS,xxxx
119,may,may,MD,xxx
120,differ,differ,VB,xxxx
121,materially,materially,RB,xxxx
122,"
","
",_SP,"
"
