,Word,Lemma,POSTag,Shape
0,Thanks,thanks,UH,Xxxxx
1,",",",",",",","
2,Glenn,Glenn,NNP,Xxxxx
3,"
","
",_SP,"
"
4,I,-PRON-,PRP,X
5,'ll,will,MD,'xx
6,discuss,discuss,VB,xxxx
7,operating,operating,NN,xxxx
8,results,result,NNS,xxxx
9,and,and,CC,xxx
10,cash,cash,NN,xxxx
11,flows,flow,NNS,xxxx
12,for,for,IN,xxx
13,the,the,DT,xxx
14,quarter,quarter,NN,xxxx
15,and,and,CC,xxx
16,then,then,RB,xxxx
17,provide,provide,VBP,xxxx
18,guidance,guidance,NN,xxxx
19,for,for,IN,xxx
20,the,the,DT,xxx
21,second,second,JJ,xxxx
22,quarter,quarter,NN,xxxx
23,of,of,IN,xx
24,2017,2017,CD,dddd
25,.,.,.,.
26,All,all,DT,Xxx
27,growth,growth,NN,xxxx
28,rates,rate,NNS,xxxx
29,referenced,reference,VBN,xxxx
30,in,in,IN,xx
31,my,-PRON-,PRP$,xx
32,comments,comment,NNS,xxxx
33,are,be,VBP,xxx
34,relative,relative,JJ,xxxx
35,to,to,IN,xx
36,the,the,DT,xxx
37,prior,prior,JJ,xxxx
38,-,-,HYPH,-
39,year,year,NN,xxxx
40,comparable,comparable,JJ,xxxx
41,period,period,NN,xxxx
42,unless,unless,IN,xxxx
43,otherwise,otherwise,RB,xxxx
44,indicated,indicate,VBN,xxxx
45,"
","
",_SP,"
"
46,I,-PRON-,PRP,X
47,highlight,highlight,VBP,xxxx
48,that,that,IN,xxxx
49,as,as,IN,xx
50,we,-PRON-,PRP,xx
51,have,have,VBP,xxxx
52,discussed,discuss,VBN,xxxx
53,for,for,IN,xxx
54,several,several,JJ,xxxx
55,quarters,quarter,NNS,xxxx
56,now,now,RB,xxx
57,",",",",",",","
58,the,the,DT,xxx
59,non,non,JJ,xxx
60,-,-,JJ,-
61,GAAP,gaap,JJ,XXXX
62,figures,figure,NNS,xxxx
63,for,for,IN,xxx
64,our,-PRON-,PRP$,xxx
65,Q1,q1,NN,Xd
66,results,result,NNS,xxxx
67,and,and,CC,xxx
68,Q2,Q2,NNP,Xd
69,forecast,forecast,NN,xxxx
70,includes,include,VBZ,xxxx
71,stock,stock,NN,xxxx
