,Word,Lemma,POSTag,Shape
0,Before,before,IN,Xxxxx
1,I,-PRON-,PRP,X
2,review,review,VBP,xxxx
3,the,the,DT,xxx
4,financial,financial,JJ,xxxx
5,details,detail,NNS,xxxx
6,",",",",",",","
7,I,-PRON-,PRP,X
8,would,would,MD,xxxx
9,like,like,VB,xxxx
10,to,to,TO,xx
11,provide,provide,VB,xxxx
12,you,-PRON-,PRP,xxx
13,some,some,DT,xxxx
14,of,of,IN,xx
15,the,the,DT,xxx
16,highlights,highlight,NNS,xxxx
17,as,as,IN,xx
18,I,-PRON-,PRP,X
19,'ve,have,VB,'xx
20,seen,see,VBN,xxxx
21,for,for,IN,xxx
22,the,the,DT,xxx
23,quarter,quarter,NN,xxxx
24,"
","
",_SP,"
"
25,First,first,RB,Xxxxx
26,",",",",",",","
27,it,-PRON-,PRP,xx
28,was,be,VBD,xxx
29,another,another,DT,xxxx
30,strong,strong,JJ,xxxx
31,quarter,quarter,NN,xxxx
32,",",",",",",","
33,actually,actually,RB,xxxx
34,it,-PRON-,PRP,xx
35,was,be,VBD,xxx
36,a,a,DT,x
37,great,great,JJ,xxxx
38,quarter,quarter,NN,xxxx
39,"
","
",_SP,"
"
40,Second,second,RB,Xxxxx
41,",",",",",",","
42,operating,operate,VBG,xxxx
43,performance,performance,NN,xxxx
44,was,be,VBD,xxx
45,as,as,IN,xx
46,we,-PRON-,PRP,xx
47,expected,expect,VBD,xxxx
48,"
","
",_SP,"
"
49,Now,now,RB,Xxx
50,as,as,IN,xx
51,Pat,Pat,NNP,Xxx
52,mentioned,mention,VBD,xxxx
53,",",",",",",","
54,I,-PRON-,PRP,X
55,will,will,MD,xxxx
56,be,be,VB,xx
57,referring,refer,VBG,xxxx
58,to,to,IN,xx
59,the,the,DT,xxx
60,supplemental,supplemental,JJ,xxxx
61,financial,financial,JJ,xxxx
62,slide,slide,NN,xxxx
63,deck,deck,NN,xxxx
64,",",",",",",","
65,which,which,WDT,xxxx
66,is,be,VBZ,xx
67,posted,post,VBN,xxxx
68,on,on,IN,xx
69,our,-PRON-,PRP$,xxx
70,IR,IR,NNP,XX
71,website,website,NN,xxxx
72,"
","
",_SP,"
"
73,Let,let,VB,Xxx
74,'s,-PRON-,PRP,'x
75,turn,turn,VB,xxxx
76,to,to,TO,xx
77,slide,slide,VB,xxxx
78,12,12,CD,dd
79,.,.,.,.
80,On,on,IN,Xx
81,a,a,DT,x
82,reported,reported,JJ,xxxx
83,basis,basis,NN,xxxx
84,",",",",",",","
85,sales,sale,NNS,xxxx
86,were,be,VBD,xxxx
87,up,up,RB,xx
88,2.6,2.6,CD,d.d
89,%,%,NN,%
90,"
","
",_SP,"
"
91,On,on,IN,Xx
92,a,a,DT,x
93,comparable,comparable,JJ,xxxx
94,basis,basis,NN,xxxx
95,",",",",",",","
96,our,-PRON-,PRP$,xxx
97,organic,organic,JJ,xxxx
98,sales,sale,NNS,xxxx
99,was,be,VBD,xxx
100,up,up,RB,xx
101,7.8,7.8,CD,d.d
102,%,%,NN,%
103,"
","
",_SP,"
"
104,This,this,DT,Xxxx
105,was,be,VBD,xxx
106,approximately,approximately,RB,xxxx
107,130,130,CD,ddd
108,basis,basis,NN,xxxx
109,points,point,NNS,xxxx
110,ahead,ahead,RB,xxxx
111,of,of,IN,xx
112,the,the,DT,xxx
113,high,high,JJ,xxxx
114,-,-,HYPH,-
115,end,end,NN,xxx
116,of,of,IN,xx
117,our,-PRON-,PRP$,xxx
118,guidance,guidance,NN,xxxx
119,"
","
",_SP,"
"
120,Our,-PRON-,PRP$,Xxx
121,weighted,weighted,JJ,xxxx
122,average,average,JJ,xxxx
123,light,light,JJ,xxxx
124,vehicle,vehicle,NN,xxxx
125,industry,industry,NN,xxxx
126,production,production,NN,xxxx
127,was,be,VBD,xxx
128,down,down,RB,xxxx
129,more,more,JJR,xxxx
130,than,than,IN,xxxx
131,1,1,CD,d
132,%,%,NN,%
133,"
","
",_SP,"
"
134,So,so,RB,Xx
135,we,-PRON-,PRP,xx
136,saw,see,VBD,xxx
137,also,also,RB,xxxx
138,a,a,DT,x
139,25,25,CD,dd
140,%,%,NN,%
141,growth,growth,NN,xxxx
142,in,in,IN,xx
143,China,China,NNP,Xxxxx
144,",",",",",",","
145,against,against,IN,xxxx
146,a,a,DT,x
147,production,production,NN,xxxx
148,market,market,NN,xxxx
149,that,that,WDT,xxxx
150,was,be,VBD,xxx
151,down,down,RB,xxxx
152,about,about,RB,xxxx
153,1,1,CD,d
154,%,%,NN,%
155,"
","
",_SP,"
"
156,Commercial,commercial,JJ,Xxxxx
157,vehicle,vehicle,NN,xxxx
158,was,be,VBD,xxx
159,of,of,IN,xx
160,benefit,benefit,NN,xxxx
161,as,as,RB,xx
162,well,well,RB,xxxx
163,",",",",",",","
164,contributing,contribute,VBG,xxxx
165,more,more,JJR,xxxx
166,than,than,IN,xxxx
167,100,100,CD,ddd
168,basis,basis,NN,xxxx
169,points,point,NNS,xxxx
170,"
","
",_SP,"
"
171,The,the,DT,Xxx
172,primary,primary,JJ,xxxx
173,headwinds,headwind,NNS,xxxx
174,versus,versus,IN,xxxx
175,our,-PRON-,PRP$,xxx
176,expectations,expectation,NNS,xxxx
177,were,be,VBD,xxxx
178,diesel,diesel,NN,xxxx
179,/,/,SYM,/
180,gas,gas,NN,xxx
181,mix,mix,NN,xxx
182,in,in,IN,xx
183,Western,Western,NNP,Xxxxx
184,Europe,Europe,NNP,Xxxxx
185,and,and,CC,xxx
186,market,market,NN,xxxx
187,share,share,NN,xxxx
188,loss,loss,NN,xxxx
189,by,by,IN,xx
190,our,-PRON-,PRP$,xxx
191,largest,large,JJS,xxxx
192,Korean,korean,JJ,Xxxxx
193,customer,customer,NN,xxxx
194,in,in,IN,xx
195,China,China,NNP,Xxxxx
196,and,and,CC,xxx
197,North,North,NNP,Xxxxx
198,America,America,NNP,Xxxxx
199,markets,market,VBZ,xxxx
200,"
","
",_SP,"
"
201,Before,before,IN,Xxxxx
202,I,-PRON-,PRP,X
203,move,move,VBP,xxxx
204,to,to,IN,xx
205,the,the,DT,xxx
206,operating,operating,NN,xxxx
207,profit,profit,NN,xxxx
208,",",",",",",","
209,I,-PRON-,PRP,X
210,would,would,MD,xxxx
211,like,like,VB,xxxx
212,to,to,TO,xx
213,discuss,discuss,VB,xxxx
214,our,-PRON-,PRP$,xxx
215,gross,gross,JJ,xxxx
216,profit,profit,NN,xxxx
217,and,and,CC,xxx
218,SG&A,SG&A,NNP,XX&X
219,line,line,NN,xxxx
220,items,item,NNS,xxxx
221,"
","
",_SP,"
"
222,Gross,gross,JJ,Xxxxx
223,profit,profit,NN,xxxx
224,as,as,IN,xx
225,a,a,DT,x
226,percentage,percentage,NN,xxxx
227,of,of,IN,xx
228,sales,sale,NNS,xxxx
229,was,be,VBD,xxx
230,21.5,21.5,CD,dd.d
231,%,%,NN,%
232,in,in,IN,xx
233,the,the,DT,xxx
234,quarter,quarter,NN,xxxx
235,",",",",",",","
236,up,up,RB,xx
237,20,20,CD,dd
238,basis,basis,NN,xxxx
239,points,point,NNS,xxxx
240,from,from,IN,xxxx
241,a,a,DT,x
242,year,year,NN,xxxx
243,ago,ago,RB,xxx
244,"
","
",_SP,"
"
245,R&D,r&d,NN,X&X
246,spending,spending,NN,xxxx
247,",",",",",",","
248,which,which,WDT,xxxx
249,is,be,VBZ,xx
250,included,include,VBN,xxxx
251,in,in,IN,xx
252,SG&A,SG&A,NNP,XX&X
253,",",",",",",","
254,was,be,VBD,xxx
255,4.4,4.4,CD,d.d
256,%,%,NN,%
257,of,of,IN,xx
258,sales,sale,NNS,xxxx
259,"
","
",_SP,"
"
260,SG&A,SG&A,NNP,XX&X
261,was,be,VBD,xxx
262,up,up,RB,xx
263,30,30,CD,dd
264,basis,basis,NN,xxxx
265,points,point,NNS,xxxx
266,from,from,IN,xxxx
267,a,a,DT,x
268,year,year,NN,xxxx
269,ago,ago,RB,xxx
270,",",",",",",","
271,primarily,primarily,RB,xxxx
272,driven,drive,VBN,xxxx
273,by,by,IN,xx
274,R&D,R&D,NNP,X&X
275,and,and,CC,xxx
276,the,the,DT,xxx
277,timing,timing,NN,xxxx
278,of,of,IN,xx
279,stock,stock,NN,xxxx
280,-,-,HYPH,-
281,based,base,VBN,xxxx
282,compensation,compensation,NN,xxxx
283,"
","
",_SP,"
"
284,Now,now,RB,Xxx
285,let,let,VB,xxx
286,'s,-PRON-,PRP,'x
287,look,look,VB,xxxx
288,at,at,IN,xx
289,the,the,DT,xxx
290,year,year,NN,xxxx
291,-,-,HYPH,-
292,over,over,IN,xxxx
293,-,-,HYPH,-
294,year,year,NN,xxxx
295,comparison,comparison,NN,xxxx
296,for,for,IN,xxx
297,operating,operating,NN,xxxx
298,income,income,NN,xxxx
299,",",",",",",","
300,which,which,WDT,xxxx
301,can,can,MD,xxx
302,be,be,VB,xx
303,found,find,VBN,xxxx
