,Word,Lemma,POSTag,Shape
0,Thank,thank,VBP,Xxxxx
1,you,-PRON-,PRP,xxx
2,",",",",",",","
3,Katharine,Katharine,NNP,Xxxxx
4,",",",",",",","
5,and,and,CC,xxx
6,good,good,JJ,xxxx
7,morning,morning,NN,xxxx
8,",",",",",",","
9,everyone,everyone,NN,xxxx
10,"
","
",_SP,"
"
11,We,-PRON-,PRP,Xx
12,are,be,VBP,xxx
13,pleased,pleased,JJ,xxxx
14,to,to,TO,xx
15,report,report,VB,xxxx
16,another,another,DT,xxxx
17,strong,strong,JJ,xxxx
18,quarter,quarter,NN,xxxx
19,"
","
",_SP,"
"
20,As,as,IN,Xx
21,always,always,RB,xxxx
22,",",",",",",","
23,I,-PRON-,PRP,X
24,will,will,MD,xxxx
25,talk,talk,VB,xxxx
26,about,about,IN,xxxx
27,the,the,DT,xxx
28,quarterly,quarterly,JJ,xxxx
29,results,result,NNS,xxxx
30,including,include,VBG,xxxx
31,the,the,DT,xxx
32,impact,impact,NN,xxxx
33,of,of,IN,xx
34,Hurricane,Hurricane,NNP,Xxxxx
35,Harvey,Harvey,NNP,Xxxxx
36,",",",",",",","
37,then,then,RB,xxxx
38,I,-PRON-,PRP,X
39,will,will,MD,xxxx
40,turn,turn,VB,xxxx
41,the,the,DT,xxx
42,call,call,NN,xxxx
43,over,over,RP,xxxx
44,to,to,IN,xx
45,Tom,Tom,NNP,Xxx
46,to,to,TO,xx
47,review,review,VB,xxxx
48,financing,financing,NN,xxxx
49,after,after,IN,xxxx
50,which,which,WDT,xxxx
51,I,-PRON-,PRP,X
52,will,will,MD,xxxx
53,comment,comment,VB,xxxx
54,on,on,IN,xx
55,our,-PRON-,PRP$,xxx
56,initiatives,initiative,NNS,xxxx
57,as,as,RB,xx
58,well,well,RB,xxxx
59,as,as,IN,xx
60,share,share,VB,xxxx
61,some,some,DT,xxxx
62,information,information,NN,xxxx
63,on,on,IN,xx
64,Hurricane,Hurricane,NNP,Xxxxx
65,Irma,Irma,NNP,Xxxx
66,"
","
",_SP,"
"
67,Our,-PRON-,PRP$,Xxx
68,used,used,JJ,xxxx
69,unit,unit,NN,xxxx
70,comps,comp,VBZ,xxxx
71,for,for,IN,xxx
72,the,the,DT,xxx
73,second,second,JJ,xxxx
74,quarter,quarter,NN,xxxx
75,increased,increase,VBN,xxxx
76,by,by,IN,xx
77,5.3,5.3,CD,d.d
78,%,%,NN,%
79,and,and,CC,xxx
80,total,total,JJ,xxxx
81,used,used,JJ,xxxx
82,units,unit,NNS,xxxx
83,grew,grow,VBD,xxxx
84,by,by,IN,xx
85,11.1,11.1,CD,dd.d
86,%,%,NN,%
87,"
","
",_SP,"
"
88,Used,use,VBN,Xxxx
89,unit,unit,NN,xxxx
90,comps,comp,NNS,xxxx
91,continue,continue,VBP,xxxx
92,to,to,TO,xx
93,be,be,VB,xx
94,driven,drive,VBN,xxxx
95,by,by,IN,xx
96,strong,strong,JJ,xxxx
97,store,store,NN,xxxx
98,execution,execution,NN,xxxx
99,as,as,RB,xx
100,well,well,RB,xxxx
101,as,as,IN,xx
102,enhancements,enhancement,NNS,xxxx
103,to,to,IN,xx
104,the,the,DT,xxx
105,online,online,JJ,xxxx
106,customer,customer,NN,xxxx
107,experience,experience,NN,xxxx
108,",",",",",",","
109,both,both,DT,xxxx
110,of,of,IN,xx
111,which,which,WDT,xxxx
112,support,support,VBP,xxxx
113,an,an,DT,xx
114,increase,increase,NN,xxxx
115,in,in,IN,xx
116,conversion,conversion,NN,xxxx
117,"
","
",_SP,"
"
118,The,the,DT,Xxx
119,impact,impact,NN,xxxx
120,of,of,IN,xx
121,higher,high,JJR,xxxx
122,conversion,conversion,NN,xxxx
123,on,on,IN,xx
124,comps,comp,NNS,xxxx
125,was,be,VBD,xxx
126,partially,partially,RB,xxxx
127,offset,offset,VBN,xxxx
128,by,by,IN,xx
129,the,the,DT,xxx
130,effects,effect,NNS,xxxx
131,of,of,IN,xx
132,lower,low,JJR,xxxx
133,store,store,NN,xxxx
134,traffic,traffic,NN,xxxx
135,"
","
",_SP,"
"
136,As,as,IN,Xx
