,Sentences
0,Thanks Kevin and good morning everyone
1,"As youâ€™ve seen from our press release, weâ€™re off to a solid start to our fiscal 2018."
2,"Total sales from continuing operations were $1.9 billion, an increase of 12.9%"
3,"Same restaurant sales grew 1.7% and adjusted diluted net earnings per share were $0.99, an increase of 12.5% from last yearâ€™s diluted net earnings per share"
4,"Iâ€™m pleased with our same restaurant sales growth of 1.7% considering the overall industry performance along with the impact of Hurricane Harvey, which Rick will quantify during his remarks"
5,Olive Gardenâ€™s business remained strong
6,"Same restaurant sales grew 1.9% and we were pleased with these results, particularly given a change to the marketing calendar which resulted in one less promotion in the quarter"
7,"These results outperformed the industry benchmarks, excluding Darden, by 490 basis points"
8,This was Olive Gardenâ€™s 12th consecutive quarter of same restaurant sales growth
9,Olive Garden continues to maintain a significant gap to the industry as we drive frequency among our most loyal guests
10,"Our core menu and promotional strategy are successfully working together to create value, and our restaurant operatorsâ€™ focus on flawless execution of the basics continues to drive all-time high guest satisfaction scores"
11,Convenience remains a focus area
12,"Weâ€™re making meaningful progress, improving our to-go processes to handle increased volume, enhancing IT support, and redesigning our to-go stations to improve the guest experience"
13,"Overall, to-go sales increased 12% in the quarter"
14,"In addition, we ran our Buy One Take One promotion during the quarter, which guests view as the ultimate convenience"
15,Longhorn Steakhouse had a solid quarter
16,"Same restaurant sales grew 2.6%, outperforming the industry benchmarks, excluding Darden, by 560 points"
17,This was Longhornâ€™s 18th consecutive quarter of same restaurant sales growth
18,"The investments we have been making in our food and service over the last two years are contributing to industry-leading guest satisfaction scores, which is driving our outperformance"
19,"Additionally, we are seeing strong same restaurant sales growth in our newer markets as guests discover Longhornâ€™s value proposition"
20,This upward sales trend in newer markets is consistent with past performance of the brand
21,The Longhorn team is relentlessly focused on enhancing the guest experience
22,"We will continue to invest in food quality, look for additional ways to simplify operations, and leverage Longhornâ€™s unique culture to enable strong sales growth"
23,"Turning to Cheddarâ€™s, we continue to make good progress on the integration"
24,The planning process is behind us and we are now focused on execution
25,We are making significant non guest-facing changes over the next year which we know will have an impact on our restaurant teams
26,It will take time for the restaurant managers and team members to familiarize themselves with our systems and processes
27,"Iâ€™m confident they will master these new tools, which will help improve performance over time"
28,"Same restaurant sales for the quarter outperformed the industry benchmarks, excluding Darden, but declined 1.4%"
29,"Cheddarâ€™s is heavily penetrated in Texas, and they were impacted more by Hurricane Harvey than Darden overall"
30,"Also, during the quarter we exercised our right of first refusal to acquire the 11 restaurants owned by the Cheddarâ€™s franchisee in Georgia as well as the development rights they held for Cheddarâ€™s in Georgia and Alabama"
31,"This transaction, which closed on August 28, gives us the opportunity to enhance our presence in two states that we believe will have strong growth opportunities for the Cheddarâ€™s brand"
32,Now Iâ€™ll turn it over to Rick
33,Thanks Rick
34,"I want to take a moment to thank the teams in both our restaurants and our restaurant support center that have worked tirelessly over the past month dealing with Hurricane Harvey in Texas and Louisiana and Hurricane Irma in Florida, Georgia and the Carolinas"
35,"Both storms had a devastating impact on numerous communities that are home to our guests, team members and restaurants"
36,"In the field, our restaurant teams did a tremendous job of getting our restaurants that had to close back open again, and our teams here at the support center provided outstanding support before, during and after the storm hit"
37,This ensured we were prepared to deal with the impact operationally while helping our team members in need and the communities we serve
38,"Additionally, our thoughts go out to the citizens of Puerto Rico and Mexico City, as well as our franchise partners in these communities, who are still dealing with the impacts of Hurricane Maria and the earthquake that took place last week"
39,I am very proud of the response from everyone across Darden
40,"Moments like these, as difficult as they are, highlight the strength of our culture and what makes our people, our restaurants and our brand so special"
41,"With that, weâ€™ll take your questions"
42,Question-and-Answer Session
43,"Okay, good morning, Brett"
44,"Thereâ€™s seven questions, I think, in there, but great way to frame that up as one question"
45,"Let me start with Olive Garden, because I think thatâ€™s where everybody wants me to start, then Iâ€™ll make some comments on the overall environment"
46,Iâ€™m super excited about the quarter we put up in Olive Garden
47,I think the focus ought to be on the improvement in margins
48,I thought we had sales growth
49,"We ran one less promotion during the quarter, which in our effort to simplify our operations we thought was a really smart move"
50,"It eliminates one all-team meeting, it eliminated bringing in extra product"
51,Weâ€™re lengthening the time we run our promotions
52,Weâ€™re trying to re-energize them during the middle of the promotion
53,I thought it was incredibly effective
54,We had a lot less targeted digital incentives in the marketplace
55,"We made a major change to our strongest traffic driver, which is soup, salad, and breadsticks at $5.99, and we moved that to $6.99 which drove less traffic, however was significantly more profitable"
56,"So I think everybody needs to focus on the 7% growth in operating income in Olive Garden at a segment profit level, just absolutely impressive when you think about the size of this system and the performance of the overall category"
57,The other thing Iâ€™d add on the Olive Garden
58,is the traffic gap was greater than the sales gap as we continued to under-price inflation and
59,we think weâ€™re under-pricing our competitors to improve value
60,"Lastly on Olive Garden, I would just say that the team is doing an incredible job"
61,"Theyâ€™re just running better restaurants today - our throughput is up, our satisfaction is up, our engagement with team members is up"
