,Word,Lemma,POSTag,Shape
0,Thanks,thank,NNS,Xxxxx
1,Kevin,Kevin,NNP,Xxxxx
2,and,and,CC,xxx
3,good,good,JJ,xxxx
4,morning,morning,NN,xxxx
5,everyone,everyone,NN,xxxx
6,"
","
",_SP,"
"
7,Let,let,VB,Xxx
8,me,-PRON-,PRP,xx
9,start,start,VB,xxxx
10,by,by,IN,xx
11,saying,say,VBG,xxxx
12,Iâ€,Iâ€,NNP,Xx€
13,™,™,CD,™
14,m,m,NNP,x
15,very,very,RB,xxxx
16,pleased,pleased,JJ,xxxx
17,of,of,IN,xx
18,our,-PRON-,PRP$,xxx
19,performance,performance,NN,xxxx
20,during,during,IN,xxxx
21,the,the,DT,xxx
22,quarter,quarter,NN,xxxx
23,"
","
",_SP,"
"
24,Our,-PRON-,PRP$,Xxx
25,teams,team,NNS,xxxx
26,did,do,VBD,xxx
27,a,a,DT,x
28,great,great,JJ,xxxx
29,job,job,NN,xxx
30,managing,manage,VBG,xxxx
31,through,through,IN,xxxx
32,some,some,DT,xxxx
33,difficult,difficult,JJ,xxxx
34,circumstances,circumstance,NNS,xxxx
35,recovering,recover,VBG,xxxx
36,from,from,IN,xxxx
37,the,the,DT,xxx
38,hurricanes,hurricane,NNS,xxxx
39,"
","
",_SP,"
"
40,Total,total,JJ,Xxxxx
41,sales,sale,NNS,xxxx
42,from,from,IN,xxxx
43,continued,continued,JJ,xxxx
44,operations,operation,NNS,xxxx
45,were,be,VBD,xxxx
46,1.88,1.88,CD,d.dd
47,billion,billion,CD,xxxx
48,",",",",",",","
49,an,an,DT,xx
50,increase,increase,NN,xxxx
51,of,of,IN,xx
52,14.6,14.6,CD,dd.d
53,%,%,NN,%
54,"
","
",_SP,"
"
55,Same,same,JJ,Xxxx
56,restaurant,restaurant,NN,xxxx
57,sales,sale,NNS,xxxx
58,grew,grow,VBD,xxxx
59,3.1,3.1,CD,d.d
60,%,%,NN,%
61,and,and,CC,xxx
62,adjusted,adjust,VBN,xxxx
63,net,net,JJ,xxx
64,earnings,earning,NNS,xxxx
65,per,per,IN,xxx
66,share,share,NN,xxxx
67,were,be,VBD,xxxx
68,$,$,$,$
69,0.73,0.73,CD,d.dd
70,",",",",",",","
71,an,an,DT,xx
72,increase,increase,NN,xxxx
73,of,of,IN,xx
74,14.1,14.1,CD,dd.d
75,%,%,NN,%
76,from,from,IN,xxxx
77,last,last,JJ,xxxx
78,yearâ€,yearâ€,NNP,xxxx€
79,™,™,CD,™
80,s,s,POS,x
81,diluted,diluted,JJ,xxxx
82,net,net,JJ,xxx
83,earnings,earning,NNS,xxxx
84,per,per,IN,xxx
85,share,share,NN,xxxx
86,"
","
",_SP,"
"
87,Given,give,VBN,Xxxxx
88,our,-PRON-,PRP$,xxx
89,consistent,consistent,JJ,xxxx
90,positive,positive,JJ,xxxx
91,results,result,NNS,xxxx
92,",",",",",",","
93,Iâ€,Iâ€,NNP,Xx€
94,™,™,CD,™
95,m,m,NNP,x
96,more,more,RBR,xxxx
97,convinced,convinced,JJ,xxxx
98,than,than,IN,xxxx
99,ever,ever,RB,xxxx
100,that,that,IN,xxxx
101,our,-PRON-,PRP$,xxx
102,success,success,NN,xxxx
103,has,have,VBZ,xxx
104,been,be,VBN,xxxx
105,driven,drive,VBN,xxxx
106,by,by,IN,xx
107,the,the,DT,xxx
108,strategy,strategy,NN,xxxx
109,we,-PRON-,PRP,xx
110,implemented,implement,VBD,xxxx
111,three,three,CD,xxxx
112,years,year,NNS,xxxx
113,ago,ago,RB,xxx
114,"
","
",_SP,"
"
115,Our,-PRON-,PRP$,Xxx
116,intense,intense,JJ,xxxx
117,focus,focus,NN,xxxx
118,on,on,IN,xx
119,improving,improve,VBG,xxxx
120,the,the,DT,xxx
121,food,food,NN,xxxx
122,",",",",",",","
123,service,service,NN,xxxx
124,and,and,CC,xxx
125,atmosphere,atmosphere,NN,xxxx
126,in,in,IN,xx
127,our,-PRON-,PRP$,xxx
128,restaurants,restaurant,NNS,xxxx
