,Word,Lemma,POSTag,Shape
0,Thank,thank,VBP,Xxxxx
1,you,-PRON-,PRP,xxx
2,",",",",",",","
3,Todd,Todd,NNP,Xxxx
4,",",",",",",","
5,and,and,CC,xxx
6,good,good,JJ,xxxx
7,morning,morning,NN,xxxx
8,everyone,everyone,NN,xxxx
9,"
","
",_SP,"
"
10,As,as,IN,Xx
11,Todd,Todd,NNP,Xxxx
12,has,have,VBZ,xxx
13,taken,take,VBN,xxxx
14,you,-PRON-,PRP,xxx
15,through,through,IN,xxxx
16,the,the,DT,xxx
17,highlights,highlight,NNS,xxxx
18,of,of,IN,xx
19,our,-PRON-,PRP$,xxx
20,third,third,JJ,xxxx
21,quarter,quarter,NN,xxxx
22,",",",",",",","
23,I,-PRON-,PRP,X
24,'ll,will,MD,'xx
25,share,share,VB,xxxx
26,more,more,JJR,xxxx
27,details,detail,NNS,xxxx
28,on,on,IN,xx
29,the,the,DT,xxx
30,rest,rest,NN,xxxx
31,of,of,IN,xx
32,the,the,DT,xxx
33,quarterly,quarterly,JJ,xxxx
34,financial,financial,JJ,xxxx
35,results,result,NNS,xxxx
36,starting,start,VBG,xxxx
37,with,with,IN,xxxx
38,gross,gross,JJ,xxxx
39,profit,profit,NN,xxxx
40,"
","
",_SP,"
"
41,Gross,gross,JJ,Xxxxx
42,profit,profit,NN,xxxx
43,for,for,IN,xxx
44,the,the,DT,xxx
45,2017,2017,CD,dddd
46,quarter,quarter,NN,xxxx
47,was,be,VBD,xxx
48,$,$,$,$
49,1.8,1.8,CD,d.d
50,billion,billion,CD,xxxx
51,or,or,CC,xx
52,29.9,29.9,CD,dd.d
53,%,%,NN,%
54,of,of,IN,xx
55,sales,sale,NNS,xxxx
56,",",",",",",","
57,an,an,DT,xx
58,improvement,improvement,NN,xxxx
59,of,of,IN,xx
60,eight,eight,CD,xxxx
61,basis,basis,NN,xxxx
62,points,point,NNS,xxxx
63,from,from,IN,xxxx
64,last,last,JJ,xxxx
65,year,year,NN,xxxx
66,'s,'s,POS,'x
67,third,third,JJ,xxxx
68,quarter,quarter,NN,xxxx
69,"
","
",_SP,"
"
70,As,as,IN,Xx
71,compared,compare,VBN,xxxx
72,to,to,IN,xx
73,the,the,DT,xxx
74,prior,prior,JJ,xxxx
75,year,year,NN,xxxx
76,third,third,JJ,xxxx
77,quarter,quarter,NN,xxxx
78,",",",",",",","
79,the,the,DT,xxx
80,gross,gross,JJ,xxxx
81,profit,profit,NN,xxxx
82,rate,rate,NN,xxxx
83,increase,increase,NN,xxxx
84,was,be,VBD,xxx
85,primarily,primarily,RB,xxxx
86,attributable,attributable,JJ,xxxx
87,to,to,IN,xx
88,higher,high,JJR,xxxx
89,initial,initial,JJ,xxxx
90,inventory,inventory,NN,xxxx
91,mark,mark,NN,xxxx
92,-,-,HYPH,-
93,ups,up,NNS,xxx
94,and,and,CC,xxx
95,lower,low,JJR,xxxx
96,inventory,inventory,NN,xxxx
97,shrink,shrink,NN,xxxx
98,",",",",",",","
99,partially,partially,RB,xxxx
100,offsetting,offset,VBG,xxxx
101,these,these,DT,xxxx
102,items,item,NNS,xxxx
103,were,be,VBD,xxxx
104,a,a,DT,x
105,greater,great,JJR,xxxx
106,proportion,proportion,NN,xxxx
107,of,of,IN,xx
108,sales,sale,NNS,xxxx
109,of,of,IN,xx
110,consumables,consumable,NNS,xxxx
111,",",",",",",","
112,which,which,WDT,xxxx
113,generally,generally,RB,xxxx
114,have,have,VBP,xxxx
115,a,a,DT,x
116,lower,low,JJR,xxxx
117,gross,gross,JJ,xxxx
118,profit,profit,NN,xxxx
119,rate,rate,NN,xxxx
120,than,than,IN,xxxx
121,other,other,JJ,xxxx
122,product,product,NN,xxxx
123,categories,category,NNS,xxxx
124,",",",",",",","
125,sales,sale,NNS,xxxx
126,of,of,IN,xx
127,lower,low,JJR,xxxx
128,margin,margin,NN,xxxx
129,products,product,NNS,xxxx
130,comprising,comprise,VBG,xxxx
131,a,a,DT,x
132,higher,high,JJR,xxxx
133,proportion,proportion,NN,xxxx
134,of,of,IN,xx
135,consumable,consumable,JJ,xxxx
