,Sentences
0,"Okay, Mark, thanks"
1,"And good morning, everybody"
2,"On slide 8, that's where we'll start"
3,"And what I'll do â€“ as usual, Mark has already touched on a number of the metrics on the slide, I will also cover some of the other ones later in the presentation"
4,So I want to focus my comments here only on the things that you will only see on this particular slide
5,So let's start first with the special items pre-tax sort of in the middle of the slide
6,"You can see they came in at a favorable $24 million, $210 million better than a year ago"
7,And that is driven by the fact that we reassessed the cancellation charges associated with the cancellation of our plant in Mexico
8,We booked that in the fourth quarter
9,It was $199 million
10,"We've taken that down by $46 million, so the cancellations charges on that basis would be $153 million"
11,So that's what's driving the $24 million
12,The balance are European separation costs
13,"When you look at the year-over-year, the $210 million good news is lower separation costs associated with our European restructuring actions, as well as that $46 million improvement in the cancellation charge that's related to Mexico"
14,The second point I want to make is around our adjusted effective tax rate
15,It came in at 28.6% for the quarter
16,That was 80 basis points better than a year ago and consistent with our full-year guidance of an adjusted effective tax rate of about 30%
17,And then the last point is on the lower right of the slide in the text
18,We came in with an adjusted EPS of $0.39.
19,"Only about a month ago I suppose, I guided to $0.30 to $0.35 based on what we were looking at at that time"
20,"The $0.39, that difference is due to favorable timing of cost performance and wholesale volume largely in North America"
21,But we did see some good news in other parts of the business
22,So this is timing
23,And we don't see it having any impact on our outlook for the full year
24,Let's move on to slide 9.
25,What we're looking at here is total company absolutes and the reporting segment absolutes
26,So we have solid results for the total company
27,"Solid results for automotive at $2 billion, which made up the bulk of the company's results"
28,"Solid results in the financial services segment at $466 million and within that Ford Credit at $481 million, which we'll cover a bit later"
29,"And then, to the far right, you can see all other, a loss of $212 million"
30,"Most of that, in fact almost all of that, was net interest expense on our automotive debt"
31,"There was a very small loss at our FSM, Ford Smart Mobility LLC"
32,"And then when you go below the chart, you can see the changes on a year-over-year basis"
33,And I want to spend a little bit of time here
34,And I'll do this in selective places throughout my comments this morning
35,In the lower left you can see a decline of $1.6 billion in the quarter year-over-year
36,and this was against last year's record results
37,We have guided for the full year to a total company adjusted pre-tax profit at $9 billion
38,"Last year, we made $10.4 billion"
39,So we're expecting a decline year-over-year of roughly $1.4 billion
40,"Effectively, that decline has happened this quarter"
41,"Now when we look at the next three quarters, they will be up and down"
42,"But if we look at the aggregate of the second, third and fourth quarters, and compare that to the same period in 2016, we expect those results to be essentially flat to a little bit better"
43,"So effectively, this is the quarter in which the full year decline flows through to our full year results"
44,"When we think about what's going to happen in terms of our absolutes, we expect the third quarter to be the lowest absolute"
45,"And that's going to be driven by normal seasonal factors, the plant shutdowns in the U.S"
46,"and Europe, but also the launch of the Expedition and the Navigator"
47,"So with that let's move on to the next slide, slide 10."
48,This is the Automotive segment absolute results
49,So a $2 billion total profit
50,"You can see North America, Europe and Asia Pacific profitable with losses in South America and Middle East and Africa"
51,"And when you go below the chart, you can see that all of the operations were down on a year-over-year basis with the exception of South America with an improvement"
52,Go to the following slide
53,And here we're looking at the key metrics for the Automotive segment
54,They're all down across the board with the exception of revenue
55,You can see revenue is up a bit and that is driven by favorable mix
56,These metrics were in the context of a global industry that was about flat on a year-over-year basis
57,"As you look at our market share, our market share was down three-tenths of a point that was driven by China and by the U.S"
58,", and we'll get into the details on that when we get to the appropriate regional slides"
59,Let's go to the following slide
60,So this is what drove the change in profitability for the Automotive segment
61,"So $1.6 billion for the company, $1.5 billion in Automotive, so this is where almost all the decline for the company occurred"
62,"And as you look at it, you can see there are three major drivers; one, unfavorable costs"
