,Word,Lemma,POSTag,Shape
0,Okay,okay,UH,Xxxx
1,",",",",",",","
2,Mark,Mark,NNP,Xxxx
3,",",",",",",","
4,thanks,thank,NNS,xxxx
5,"
","
",_SP,"
"
6,And,and,CC,Xxx
7,good,good,JJ,xxxx
8,morning,morning,NN,xxxx
9,",",",",",",","
10,everybody,everybody,NN,xxxx
11,"
","
",_SP,"
"
12,On,on,IN,Xx
13,slide,slide,NN,xxxx
14,8,8,CD,d
15,",",",",",",","
16,that,that,DT,xxxx
17,'s,be,VBZ,'x
18,where,where,WRB,xxxx
19,we,-PRON-,PRP,xx
20,'ll,will,MD,'xx
21,start,start,VB,xxxx
22,"
","
",_SP,"
"
23,And,and,CC,Xxx
24,what,what,WP,xxxx
25,I,-PRON-,PRP,X
26,'ll,will,MD,'xx
27,do,do,VB,xx
28,â€,â€,NNP,x€
29,“,"""",``,“
30,as,as,IN,xx
31,usual,usual,JJ,xxxx
32,",",",",",",","
33,Mark,Mark,NNP,Xxxx
34,has,have,VBZ,xxx
35,already,already,RB,xxxx
36,touched,touch,VBN,xxxx
37,on,on,IN,xx
38,a,a,DT,x
39,number,number,NN,xxxx
40,of,of,IN,xx
41,the,the,DT,xxx
42,metrics,metric,NNS,xxxx
43,on,on,IN,xx
44,the,the,DT,xxx
45,slide,slide,NN,xxxx
46,",",",",",",","
47,I,-PRON-,PRP,X
48,will,will,MD,xxxx
49,also,also,RB,xxxx
50,cover,cover,VB,xxxx
51,some,some,DT,xxxx
52,of,of,IN,xx
53,the,the,DT,xxx
54,other,other,JJ,xxxx
55,ones,one,NNS,xxxx
56,later,later,RB,xxxx
57,in,in,IN,xx
58,the,the,DT,xxx
59,presentation,presentation,NN,xxxx
60,"
","
",_SP,"
"
61,So,so,CC,Xx
62,I,-PRON-,PRP,X
63,want,want,VBP,xxxx
64,to,to,TO,xx
65,focus,focus,VB,xxxx
66,my,-PRON-,PRP$,xx
67,comments,comment,NNS,xxxx
68,here,here,RB,xxxx
69,only,only,RB,xxxx
70,on,on,IN,xx
71,the,the,DT,xxx
72,things,thing,NNS,xxxx
73,that,that,WDT,xxxx
74,you,-PRON-,PRP,xxx
75,will,will,MD,xxxx
76,only,only,RB,xxxx
77,see,see,VB,xxx
78,on,on,IN,xx
79,this,this,DT,xxxx
80,particular,particular,JJ,xxxx
81,slide,slide,NN,xxxx
82,"
","
",_SP,"
"
83,So,so,RB,Xx
84,let,let,VB,xxx
85,'s,-PRON-,PRP,'x
86,start,start,VB,xxxx
87,first,first,RB,xxxx
88,with,with,IN,xxxx
89,the,the,DT,xxx
90,special,special,JJ,xxxx
91,items,item,NNS,xxxx
92,pre,pre,JJ,xxx
93,-,-,JJ,-
94,tax,tax,JJ,xxx
95,sort,sort,NN,xxxx
96,of,of,RB,xx
97,in,in,IN,xx
98,the,the,DT,xxx
99,middle,middle,NN,xxxx
100,of,of,IN,xx
101,the,the,DT,xxx
102,slide,slide,NN,xxxx
103,"
","
",_SP,"
"
104,You,-PRON-,PRP,Xxx
105,can,can,MD,xxx
106,see,see,VB,xxx
107,they,-PRON-,PRP,xxxx
108,came,come,VBD,xxxx
109,in,in,RP,xx
110,at,at,IN,xx
111,a,a,DT,x
112,favorable,favorable,JJ,xxxx
113,$,$,$,$
114,24,24,CD,dd
115,million,million,CD,xxxx
116,",",",",",",","
117,$,$,$,$
118,210,210,CD,ddd
119,million,million,CD,xxxx
120,better,well,JJR,xxxx
121,than,than,IN,xxxx
122,a,a,DT,x
123,year,year,NN,xxxx
124,ago,ago,RB,xxx
125,"
","
",_SP,"
"
126,And,and,CC,Xxx
127,that,that,DT,xxxx
128,is,be,VBZ,xx
129,driven,drive,VBN,xxxx
130,by,by,IN,xx
131,the,the,DT,xxx
132,fact,fact,NN,xxxx
133,that,that,IN,xxxx
134,we,-PRON-,PRP,xx
135,reassessed,reassess,VBD,xxxx
136,the,the,DT,xxx
137,cancellation,cancellation,NN,xxxx
138,charges,charge,NNS,xxxx
139,associated,associate,VBN,xxxx
140,with,with,IN,xxxx
141,the,the,DT,xxx
142,cancellation,cancellation,NN,xxxx
143,of,of,IN,xx
144,our,-PRON-,PRP$,xxx
145,plant,plant,NN,xxxx
146,in,in,IN,xx
147,Mexico,Mexico,NNP,Xxxxx
148,"
","
",_SP,"
"
149,We,-PRON-,PRP,Xx
150,booked,book,VBD,xxxx
151,that,that,IN,xxxx
152,in,in,IN,xx
153,the,the,DT,xxx
154,fourth,fourth,JJ,xxxx
155,quarter,quarter,NN,xxxx
156,"
","
",_SP,"
"
157,It,-PRON-,PRP,Xx
158,was,be,VBD,xxx
159,$,$,$,$
160,199,199,CD,ddd
161,million,million,CD,xxxx
162,"
","
",_SP,"
"
163,We,-PRON-,PRP,Xx
164,'ve,have,VB,'xx
165,taken,take,VBN,xxxx
166,that,that,DT,xxxx
167,down,down,RB,xxxx
168,by,by,IN,xx
169,$,$,$,$
170,46,46,CD,dd
171,million,million,CD,xxxx
172,",",",",",",","
173,so,so,IN,xx
174,the,the,DT,xxx
175,cancellations,cancellation,NNS,xxxx
176,charges,charge,NNS,xxxx
177,on,on,IN,xx
178,that,that,DT,xxxx
179,basis,basis,NN,xxxx
180,would,would,MD,xxxx
181,be,be,VB,xx
182,$,$,$,$
183,153,153,CD,ddd
184,million,million,CD,xxxx
185,"
","
",_SP,"
"
186,So,so,RB,Xx
187,that,that,DT,xxxx
188,'s,be,VBZ,'x
189,what,what,WP,xxxx
190,'s,be,VBZ,'x
191,driving,drive,VBG,xxxx
192,the,the,DT,xxx
193,$,$,$,$
194,24,24,CD,dd
195,million,million,CD,xxxx
196,"
","
",_SP,"
"
197,The,the,DT,Xxx
198,balance,balance,NN,xxxx
199,are,be,VBP,xxx
