,Word,Lemma,POSTag,Shape
0,Thanks,thanks,UH,Xxxxx
1,",",",",",",","
2,Jenn,Jenn,NNP,Xxxx
3,",",",",",",","
4,and,and,CC,xxx
5,hi,hi,UH,xx
6,to,to,IN,xx
7,everyone,everyone,NN,xxxx
8,on,on,IN,xx
9,the,the,DT,xxx
10,call,call,NN,xxxx
11,",",",",",",","
12,and,and,CC,xxx
13,thanks,thank,NNS,xxxx
14,for,for,IN,xxx
15,joining,join,VBG,xxxx
16,us,-PRON-,PRP,xx
17,today,today,NN,xxxx
18,"
","
",_SP,"
"
19,As,as,IN,Xx
20,we,-PRON-,PRP,xx
21,close,close,VBP,xxxx
22,out,out,RP,xxx
23,2016,2016,CD,dddd
24,",",",",",",","
25,which,which,WDT,xxxx
26,is,be,VBZ,xx
27,my,-PRON-,PRP$,xx
28,second,second,JJ,xxxx
29,year,year,NN,xxxx
30,as,as,IN,xx
31,CEO,ceo,NN,XXX
32,",",",",",",","
33,I,-PRON-,PRP,X
34,want,want,VBP,xxxx
35,to,to,TO,xx
36,spend,spend,VB,xxxx
37,a,a,DT,x
38,moment,moment,NN,xxxx
39,to,to,TO,xx
40,reflect,reflect,VB,xxxx
41,",",",",",",","
42,reflect,reflect,VB,xxxx
43,on,on,IN,xx
44,where,where,WRB,xxxx
45,we,-PRON-,PRP,xx
46,'ve,have,VB,'xx
47,been,be,VBN,xxxx
48,and,and,CC,xxx
49,where,where,WRB,xxxx
50,we,-PRON-,PRP,xx
51,are,be,VBP,xxx
52,and,and,CC,xxx
53,where,where,WRB,xxxx
54,we,-PRON-,PRP,xx
55,'re,be,VBP,'xx
56,going,go,VBG,xxxx
57,",",",",",",","
58,both,both,DT,xxxx
59,in,in,IN,xx
60,terms,term,NNS,xxxx
61,of,of,IN,xx
62,the,the,DT,xxx
63,work,work,NN,xxxx
64,that,that,WDT,xxxx
65,we,-PRON-,PRP,xx
66,'re,be,VBP,'xx
67,doing,do,VBG,xxxx
68,but,but,CC,xxx
69,the,the,DT,xxx
70,overall,overall,JJ,xxxx
71,industry,industry,NN,xxxx
72,context,context,NN,xxxx
73,as,as,RB,xx
74,well,well,RB,xxxx
75,"
","
",_SP,"
"
76,When,when,WRB,Xxxx
