,Word,Lemma,POSTag,Shape
0,Thanks,thanks,UH,Xxxxx
1,",",",",",",","
2,Teri,Teri,NNP,Xxxx
3,",",",",",",","
4,and,and,CC,xxx
5,good,good,JJ,xxxx
6,morning,morning,NN,xxxx
7,",",",",",",","
8,everyone,everyone,NN,xxxx
9,"
","
",_SP,"
"
10,As,as,IN,Xx
11,announced,announce,VBN,xxxx
12,earlier,earlier,RBR,xxxx
13,today,today,NN,xxxx
14,",",",",",",","
15,Garmin,Garmin,NNP,Xxxxx
16,reported,report,VBD,xxxx
17,third,third,JJ,xxxx
18,quarter,quarter,NN,xxxx
19,consolidated,consolidated,JJ,xxxx
20,revenue,revenue,NN,xxxx
21,of,of,IN,xx
22,$,$,$,$
23,743,743,CD,ddd
24,million,million,CD,xxxx
25,",",",",",",","
26,up,up,RB,xx
27,3,3,CD,d
28,%,%,NN,%
29,over,over,IN,xxxx
30,the,the,DT,xxx
31,prior,prior,JJ,xxxx
32,year,year,NN,xxxx
33,"
","
",_SP,"
"
34,Outdoor,outdoor,JJ,Xxxxx
35,",",",",",",","
36,aviation,aviation,NN,xxxx
37,",",",",",",","
38,marine,marine,NNP,xxxx
39,and,and,CC,xxx
40,fitness,fitness,NNP,xxxx
41,collectively,collectively,RB,xxxx
42,increased,increase,VBD,xxxx
43,9,9,CD,d
44,%,%,NN,%
45,year,year,NN,xxxx
46,-,-,HYPH,-
47,over,over,IN,xxxx
48,-,-,HYPH,-
49,year,year,NN,xxxx
50,",",",",",",","
51,and,and,CC,xxx
52,contributed,contribute,VBD,xxxx
53,75,75,CD,dd
54,%,%,NN,%
55,of,of,IN,xx
56,total,total,JJ,xxxx
57,revenues,revenue,NNS,xxxx
58,"
","
",_SP,"
"
59,Gross,gross,JJ,Xxxxx
60,margin,margin,NN,xxxx
61,improved,improve,VBD,xxxx
62,to,to,IN,xx
63,58.4,58.4,CD,dd.d
64,%,%,NN,%
65,and,and,CC,xxx
66,operating,operate,VBG,xxxx
67,margin,margin,NN,xxxx
68,improved,improve,VBD,xxxx
69,to,to,IN,xx
70,22.8,22.8,CD,dd.d
71,%,%,NN,%
72,"
","
",_SP,"
"
73,GAAP,GAAP,NNP,XXXX
74,EPS,EPS,NNP,XXX
