,Word,Lemma,POSTag,Shape
0,Thanks,thanks,UH,Xxxxx
1,",",",",",",","
2,Dhivya,Dhivya,NNP,Xxxxx
3,",",",",",",","
4,and,and,CC,xxx
5,good,good,JJ,xxxx
6,morning,morning,NN,xxxx
7,",",",",",",","
8,everybody,everybody,NN,xxxx
9,"
","
",_SP,"
"
10,Thanks,thank,NNS,Xxxxx
11,for,for,IN,xxx
12,joining,join,VBG,xxxx
13,"
","
",_SP,"
"
14,The,the,DT,Xxx
15,results,result,NNS,xxxx
16,we,-PRON-,PRP,xx
17,are,be,VBP,xxx
18,reporting,report,VBG,xxxx
19,today,today,NN,xxxx
20,on,on,IN,xx
21,a,a,DT,x
22,continuing,continue,VBG,xxxx
23,operations,operation,NNS,xxxx
24,basis,basis,NN,xxxx
25,demonstrate,demonstrate,VBP,xxxx
26,our,-PRON-,PRP$,xxx
27,commitment,commitment,NN,xxxx
28,to,to,IN,xx
29,extending,extend,VBG,xxxx
30,our,-PRON-,PRP$,xxx
31,strong,strong,JJ,xxxx
32,core,core,NN,xxxx
33,business,business,NN,xxxx
34,performance,performance,NN,xxxx
35,while,while,IN,xxxx
36,redefining,redefine,VBG,xxxx
37,the,the,DT,xxx
38,future,future,NN,xxxx
39,of,of,IN,xx
40,personal,personal,JJ,xxxx
41,mobility,mobility,NN,xxxx
42,"
","
",_SP,"
"
43,Taking,take,VBG,Xxxxx
44,a,a,DT,x
45,look,look,NN,xxxx
46,at,at,IN,xx
47,the,the,DT,xxx
48,numbers,number,NNS,xxxx
49,we,-PRON-,PRP,xx
50,posted,post,VBD,xxxx
51,",",",",",",","
52,EBIT,EBIT,NNP,XXXX
53,adjusted,adjust,VBN,xxxx
54,is,be,VBZ,xx
55,$,$,$,$
56,2.5,2.5,CD,d.d
57,billion,billion,CD,xxxx
58,"
","
",_SP,"
"
59,Year,year,NN,Xxxx
60,-,-,HYPH,-
61,to,to,IN,xx
62,-,-,HYPH,-
63,date,date,NN,xxxx
64,",",",",",",","
65,EBIT,EBIT,NNP,XXXX
66,adjusted,adjust,VBN,xxxx
67,is,be,VBZ,xx
68,$,$,$,$
69,9.8,9.8,CD,d.d
70,billion,billion,CD,xxxx
71,with,with,IN,xxxx
72,a,a,DT,x
