,Word,Lemma,POSTag,Shape
0,Thank,thank,VBP,Xxxxx
1,you,-PRON-,PRP,xxx
2,",",",",",",","
3,Sid,Sid,NNP,Xxx
4,",",",",",",","
5,and,and,CC,xxx
6,let,let,VB,xxx
7,me,-PRON-,PRP,xx
8,add,add,VB,xxx
9,my,-PRON-,PRP$,xx
10,welcome,welcome,NN,xxxx
11,to,to,IN,xx
12,all,all,DT,xxx
13,of,of,IN,xx
14,you,-PRON-,PRP,xxx
15,on,on,IN,xx
16,the,the,DT,xxx
17,call,call,NN,xxxx
18,this,this,DT,xxxx
19,morning,morning,NN,xxxx
20,"
","
",_SP,"
"
21,We,-PRON-,PRP,Xx
22,appreciate,appreciate,VBP,xxxx
23,you,-PRON-,PRP,xxx
24,taking,take,VBG,xxxx
25,the,the,DT,xxx
26,time,time,NN,xxxx
27,to,to,TO,xx
28,be,be,VB,xx
29,with,with,IN,xxxx
30,us,-PRON-,PRP,xx
31,"
","
",_SP,"
"
32,Earlier,earlier,RBR,Xxxxx
33,today,today,NN,xxxx
34,",",",",",",","
35,we,-PRON-,PRP,xx
36,released,release,VBD,xxxx
37,our,-PRON-,PRP$,xxx
38,fourth,fourth,JJ,xxxx
39,quarter,quarter,NN,xxxx
40,and,and,CC,xxx
41,year,year,NN,xxxx
42,end,end,NN,xxx
43,2016,2016,CD,dddd
44,results,result,NNS,xxxx
45,"
","
",_SP,"
"
46,I,-PRON-,PRP,X
47,'ll,will,MD,'xx
48,make,make,VB,xxxx
49,a,a,DT,x
50,few,few,JJ,xxx
51,remarks,remark,NNS,xxxx
52,on,on,IN,xx
53,our,-PRON-,PRP$,xxx
54,overall,overall,JJ,xxxx
55,performance,performance,NN,xxxx
56,",",",",",",","
57,and,and,CC,xxx
58,then,then,RB,xxxx
59,cover,cover,VB,xxxx
60,the,the,DT,xxx
61,highlights,highlight,NNS,xxxx
62,by,by,IN,xx
63,business,business,NN,xxxx
64,"
","
",_SP,"
"
65,Carol,Carol,NNP,Xxxxx
66,Yancey,Yancey,NNP,Xxxxx
67,",",",",",",","
68,our,-PRON-,PRP$,xxx
69,Executive,Executive,NNP,Xxxxx
70,Vice,Vice,NNP,Xxxx
71,President,President,NNP,Xxxxx
72,and,and,CC,xxx
73,Chief,Chief,NNP,Xxxxx
74,Financial,Financial,NNP,Xxxxx
75,Officer,Officer,NNP,Xxxxx
76,",",",",",",","
77,will,will,MD,xxxx
78,provide,provide,VB,xxxx
79,an,an,DT,xx
80,update,update,NN,xxxx
81,on,on,IN,xx
82,our,-PRON-,PRP$,xxx
83,financial,financial,JJ,xxxx
84,results,result,NNS,xxxx
85,and,and,CC,xxx
86,our,-PRON-,PRP$,xxx
87,guidance,guidance,NN,xxxx
88,for,for,IN,xxx
89,2017,2017,CD,dddd
90,.,.,.,.
91,After,after,IN,Xxxxx
92,that,that,DT,xxxx
93,",",",",",",","
94,we,-PRON-,PRP,xx
95,'ll,will,MD,'xx
96,open,open,VB,xxxx
97,the,the,DT,xxx
98,call,call,NN,xxxx
99,to,to,IN,xx
100,your,-PRON-,PRP$,xxxx
101,questions,question,NNS,xxxx
102,"
","
",_SP,"
"
103,For,for,IN,Xxx
104,some,some,DT,xxxx
105,perspective,perspective,NN,xxxx
106,on,on,IN,xx
107,our,-PRON-,PRP$,xxx
108,performance,performance,NN,xxxx
109,",",",",",",","
110,total,total,JJ,xxxx
111,sales,sale,NNS,xxxx
112,in,in,IN,xx
113,the,the,DT,xxx
114,fourth,fourth,JJ,xxxx
115,quarter,quarter,NN,xxxx
116,were,be,VBD,xxxx
117,up,up,RB,xx
118,2.7,2.7,CD,d.d
119,%,%,NN,%
120,to,to,IN,xx
121,$,$,$,$
122,3.78,3.78,CD,d.dd
123,billion,billion,CD,xxxx
124,",",",",",",","
125,while,while,IN,xxxx
126,net,net,JJ,xxx
127,income,income,NN,xxxx
128,was,be,VBD,xxx
129,$,$,$,$
130,152.5,152.5,CD,ddd.d
131,million,million,CD,xxxx
132,and,and,CC,xxx
133,earnings,earning,NNS,xxxx
134,per,per,IN,xxx
135,share,share,NN,xxxx
