,Sentences
0,"Thanks, Gerald"
1,"Given my recent decision to retire by the end of the year, let me reflect on the past few years as a way to help frame the company's future as we launch Project Booster"
2,"Over the past five years, the implementation of our Sell More, Spend Less, Generate Cash strategy and all its variations has significantly transformed our business"
3,"Over this time, we've added approximately $1.6 billion of revenue"
4,We've expanded our global footprint with nearly a third of our sales now coming from our international businesses
5,"We've more than doubled our operating profit, while expanding margins by over 500 basis points"
6,"We've completed $2.3 billion of acquisitions, and we've returned roughly $1.5 billion to shareholders through dividends and buybacks"
7,The evolution of our business model has clearly driven strong results over the past five years
8,"With Project Booster, we're entering the next phase of our evolution, which is where we fully leverage our large global footprint and unlock the full revenue and cash flow potential of our business model"
9,And we believe this positions us for continued growth over the next five years
10,"In terms of the impact and cadence from Booster; the project, which began late in the first quarter, is expected to be neutral to operating profit and cash flow in 2017."
11,We incurred approximately $7 million of cost in the first quarter or about $0.02 a share primarily from head count-related actions
12,"We expect an equivalent level of expense in Q2, which is factored into our current guidance"
13,The Booster-related costs are reflected in our adjusted results
14,"So, to be clear, these costs are not part of our acquisition and integration-related charges"
15,"The savings from these actions, which are expected to fully offset the first half costs, should flow through in the third and fourth quarters"
16,"Looking forward, gross cost savings, working capital improvements as well as growth-related investments in Project Booster are expected to build over the next two years reaching on an annual basis $100 million of net cost savings and $300 million of incremental cash flow from operations by the end of 2019."
17,I want to emphasize that the benefits from Booster are on top of our annual $30 million to $40 million of supply chain efficiency gains and on top of the remaining synergies from our prior acquisitions
18,"And as Gerald noted, when you combine the remaining synergies from our existing acquisitions, with the expected benefits from Project Booster, we are very well positioned to exit 2019 at a run rate of more than $1 billion a year in cash flow from operations"
19,Now let me walk you through some of the specifics for the quarter
20,We're off to a strong start to the year as our results were in line with our expectations and our guidance
21,"Sales increased 13% over last year, driven by roughly $210 million of acquisition contributions"
22,"With respect to organic sales, was 4% decline versus last year, was in line with our expectations and showed sequential improvement from the fourth quarter"
23,"Organic growth in Activewear, Online, Asia and the Americas was offset by expected declines in Innerwear as well as our new Other segment, which consists of our businesses that are being managed for cash"
24,Touching briefly on organic sales
25,There were a number of encouraging signs within the quarter that reinforced our confidence for continued sequential improvement as the year progresses
26,Online sales in the U.S
27,across all channels grew at a double-digit rate
28,"Our largest business, men's underwear, grew low single-digits as order patterns normalized with a large mass retailer"
29,"Our Activewear segment returned to organic growth, while our Asia business continue to grow at double-digit rates"
