,Word,Lemma,POSTag,Shape
0,Thanks,thanks,UH,Xxxxx
1,",",",",",",","
2,Gerald,Gerald,NNP,Xxxxx
3,"
","
",_SP,"
"
4,Given,give,VBN,Xxxxx
5,my,-PRON-,PRP$,xx
6,recent,recent,JJ,xxxx
7,decision,decision,NN,xxxx
8,to,to,TO,xx
9,retire,retire,VB,xxxx
10,by,by,IN,xx
11,the,the,DT,xxx
12,end,end,NN,xxx
13,of,of,IN,xx
14,the,the,DT,xxx
15,year,year,NN,xxxx
16,",",",",",",","
17,let,let,VB,xxx
18,me,-PRON-,PRP,xx
19,reflect,reflect,VB,xxxx
20,on,on,IN,xx
21,the,the,DT,xxx
22,past,past,JJ,xxxx
23,few,few,JJ,xxx
24,years,year,NNS,xxxx
25,as,as,IN,xx
26,a,a,DT,x
27,way,way,NN,xxx
28,to,to,TO,xx
29,help,help,VB,xxxx
30,frame,frame,VB,xxxx
31,the,the,DT,xxx
32,company,company,NN,xxxx
33,'s,'s,POS,'x
34,future,future,NN,xxxx
35,as,as,IN,xx
36,we,-PRON-,PRP,xx
37,launch,launch,VBP,xxxx
38,Project,Project,NNP,Xxxxx
39,Booster,Booster,NNP,Xxxxx
40,"
","
",_SP,"
"
41,Over,over,IN,Xxxx
42,the,the,DT,xxx
43,past,past,JJ,xxxx
44,five,five,CD,xxxx
45,years,year,NNS,xxxx
46,",",",",",",","
47,the,the,DT,xxx
48,implementation,implementation,NN,xxxx
49,of,of,IN,xx
50,our,-PRON-,PRP$,xxx
51,Sell,sell,VB,Xxxx
52,More,More,JJR,Xxxx
53,",",",",",",","
54,Spend,spend,VB,Xxxxx
55,Less,Less,JJR,Xxxx
56,",",",",",",","
57,Generate,generate,VB,Xxxxx
58,Cash,cash,NN,Xxxx
59,strategy,strategy,NN,xxxx
60,and,and,CC,xxx
61,all,all,DT,xxx
62,its,-PRON-,PRP$,xxx
63,variations,variation,NNS,xxxx
64,has,have,VBZ,xxx
65,significantly,significantly,RB,xxxx
66,transformed,transform,VBN,xxxx
67,our,-PRON-,PRP$,xxx
68,business,business,NN,xxxx
69,"
","
",_SP,"
"
70,Over,over,IN,Xxxx
71,this,this,DT,xxxx
72,time,time,NN,xxxx
73,",",",",",",","
