,Word,Lemma,POSTag,Shape
0,Thank,thank,VBP,Xxxxx
1,you,-PRON-,PRP,xxx
2,",",",",",",","
3,Debbie,Debbie,NNP,Xxxxx
4,"
","
",_SP,"
"
5,Good,good,JJ,Xxxx
6,morning,morning,NN,xxxx
7,everyone,everyone,NN,xxxx
8,",",",",",",","
9,and,and,CC,xxx
10,thank,thank,VBP,xxxx
11,you,-PRON-,PRP,xxx
12,for,for,IN,xxx
13,joining,join,VBG,xxxx
14,us,-PRON-,PRP,xx
15,today,today,NN,xxxx
16,"
","
",_SP,"
"
17,2016,2016,CD,dddd
18,was,be,VBD,xxx
19,a,a,DT,x
20,very,very,RB,xxxx
21,good,good,JJ,xxxx
22,year,year,NN,xxxx
23,for,for,IN,xxx
24,Hasbro,Hasbro,NNP,Xxxxx
25,",",",",",",","
26,with,with,IN,xxxx
27,tremendous,tremendous,JJ,xxxx
28,performance,performance,NN,xxxx
29,from,from,IN,xxxx
30,the,the,DT,xxx
31,Hasbro,Hasbro,NNP,Xxxxx
32,team,team,NN,xxxx
33,globally,globally,RB,xxxx
34,"
","
",_SP,"
"
35,Our,-PRON-,PRP$,Xxx
36,excellent,excellent,JJ,xxxx
37,results,result,NNS,xxxx
38,reflect,reflect,VBP,xxxx
39,nearly,nearly,RB,xxxx
40,nine,nine,CD,xxxx
41,years,year,NNS,xxxx
42,of,of,IN,xx
43,investing,invest,VBG,xxxx
44,in,in,IN,xx
45,and,and,CC,xxx
46,executing,execute,VBG,xxxx
47,our,-PRON-,PRP$,xxx
48,Brand,brand,NN,Xxxxx
49,Blueprint,Blueprint,NNP,Xxxxx
50,"
","
",_SP,"
"
51,Over,over,IN,Xxxx
52,this,this,DT,xxxx
53,period,period,NN,xxxx
54,",",",",",",","
55,the,the,DT,xxx
56,Blueprint,Blueprint,NNP,Xxxxx
57,has,have,VBZ,xxx
58,remained,remain,VBN,xxxx
59,at,at,IN,xx
60,constant,constant,JJ,xxxx
61,",",",",",",","
62,guiding,guide,VBG,xxxx
63,our,-PRON-,PRP$,xxx
64,strategic,strategic,JJ,xxxx
65,decisions,decision,NNS,xxxx
66,and,and,CC,xxx
67,investments,investment,NNS,xxxx
68,",",",",",",","
69,while,while,IN,xxxx
70,we,-PRON-,PRP,xx
71,build,build,VBP,xxxx
72,an,an,DT,xx
73,organization,organization,NN,xxxx
74,with,with,IN,xxxx
75,differentiated,differentiated,JJ,xxxx
76,brands,brand,NNS,xxxx
77,",",",",",",","
78,capabilities,capability,NNS,xxxx
79,and,and,CC,xxx
80,approaches,approach,NNS,xxxx
81,to,to,IN,xx
82,the,the,DT,xxx
83,consumer,consumer,NN,xxxx
84,"
","
",_SP,"
"
85,The,the,DT,Xxx
86,investments,investment,NNS,xxxx
87,we,-PRON-,PRP,xx
88,are,be,VBP,xxx
89,making,make,VBG,xxxx
90,and,and,CC,xxx
91,the,the,DT,xxx
92,cultural,cultural,JJ,xxxx
93,mindset,mindset,NN,xxxx
94,we,-PRON-,PRP,xx
95,'re,be,VBP,'xx
96,instilling,instill,VBG,xxxx
97,are,be,VBP,xxx
98,not,not,RB,xxx
99,only,only,RB,xxxx
100,delivering,deliver,VBG,xxxx
101,improving,improve,VBG,xxxx
102,results,result,NNS,xxxx
103,but,but,CC,xxx
104,also,also,RB,xxxx
105,creating,create,VBG,xxxx
106,long,long,JJ,xxxx
107,-,-,HYPH,-
108,term,term,NN,xxxx
109,strategic,strategic,JJ,xxxx
110,differentiators,differentiator,NNS,xxxx
111,for,for,IN,xxx
112,Hasbro,Hasbro,NNP,Xxxxx
113,"
","
",_SP,"
"
114,Through,through,IN,Xxxxx
115,our,-PRON-,PRP$,xxx
116,consumer,consumer,NN,xxxx
117,insight,insight,NN,xxxx
118,and,and,CC,xxx
119,story,story,NN,xxxx
120,-,-,HYPH,-
121,led,lead,VBN,xxx
122,brand,brand,NN,xxxx
123,focus,focus,NN,xxxx
124,",",",",",",","
125,we,-PRON-,PRP,xx
126,are,be,VBP,xxx
127,creating,create,VBG,xxxx
128,innovative,innovative,JJ,xxxx
129,play,play,NN,xxxx
