,Sentences
0,"Good morning, everyone and thank you for joining us today"
1,"The Hasbro team delivered a very good third quarter, the highest revenue and earnings quarter in our history"
2,"Weâ€™ve positioned Hasbro to unlock the full potential of our brands, investing significantly across the brand blueprint"
3,We're still in the early stages of realizing our ambition
4,"During this quarter, we demonstrated our strategy's ability to deliver growth amid challenging conditions, across a number of dimensions"
5,Revenues grew in each operating segment with double-digit consumer takeaway globally at retail
6,"Franchise Brands, Hasbro Gaming, and Emerging Brands revenues increased led by growth in NERF, TRANSFORMERS, MY LITTLE PONY, MONOPOLY, BABY ALIVE, FURREAL FRIENDS, SPEAK OUT, and TWISTER"
7,"Our commercial and finance teams are effectively managing the short-term disruption from the Toys ""R"" Us restructuring and bankruptcy filing in the U.S and Canada, as well as ongoing softness in the U.K and Brazil"
8,And our investments in our multi-screen content to commerce and omni-channel retail strategies are building deeper consumer engagement across multiple brand experiences as evidenced by the growth in TRANSFORMERS and MY LITTLE PONY
9,The industry data supports our success
10,"And through August, Hasbro ranked first in the G11 toy and game markets according to industry sources"
11,Hasbro revenues grew in developed economies including the U.S
12,", Canada, France, Germany, Mexico, and Australia"
13,"Emerging market revenues increased 8% with growth in China and Russia, as well as from our new operations in India"
14,"As we discussed last quarter, the U.K and Brazil continued to face tough economic conditions and we forecast that to continue in the near-term"
15,Our diverse geographic and brand portfolio positions us to overcome these challenges with strength in other major markets
16,"In addition, over the past several years, our global commercial teams have invested in an omni-channel retail strategy, which puts Hasbro where consumers are shopping not just at mass and toy specialty, but importantly in e-commerce where consumer take away continues to outpace total point-of-sale, as well as in emerging channels including value, grocery, and drug, new feature shops at retailers, fan and specialty retail"
17,"While the near-term impact of Toys ""R"""
18,"Us is disruptive, and we paused shipments for a short period as we gain clarity on the situation"
19,We are working with them as we enter the holiday period
20,"This doesn't impact our outlook for overall consumer takeaway, which has continued to be strong, but does introduce higher uncertainty as to the level of shipments to them in the fourth quarter"
21,"Importantly, we're also well positioned in new and growing channels with the wealth of retail options, in store, online, and omni-channel, we're confident in the collective long-term outlook for the retail landscape"
22,"For the third quarter, Hasbro's Franchise Brand revenues increased 7% with growth in NERF, TRANSFORMERS, MY LITTLE PONY, and MONOPOLY"
23,Hasbro Gaming increased 22% and Emerging Brands were up 9%
24,NERF has posted double-digit growth throughout 2017 and Q3 was no exception
25,"Global POS was up in the mid to high teens for the quarter, increasing in all regions"
26,NERF Nitro launched and is off to a good start
27,TRANSFORMERS multi screen entertainment continued to drive revenue growth in the franchise
28,Point-of-sale was up versus last year and up versus the last movie year
29,"This fall, we continue with new entertainment initiatives to engage our fans"
30,The global home entertainment release of Transformers: The last Knight took place on September 28 and all new episodes of Robots in Disguise and RESCUE BOTS are running on linear and streamed services
31,"In addition, in partnership with Machinima, in November we're debuting the second chapter of the critically acclaimed digital animated series Prime Wars Trilogies: TITANS RETURN"
32,"We see every day that brands backed by multi format stories combined with merchandise based on robust investment in innovation, deliver engaging experiences for consumers, fans, and audiences"
33,"Consumer insights, storytelling, and content remain an integral part of creating successful sustainable brand franchises and Hasbro is building industry-leading expertise"
34,My Little Pony revenue increased behind the release of MY LITTLE PONY:
35,THE MOVIE and successfully drove point-of-sale gains around the movie debut
36,"Our content to commerce model delivers multiple revenue streams, including entertainment and merchandise, and we are well positioned in our investment"
37,"The film was successful in reinvigorating and energizing our core consumer base and our fan base, while inviting new fans into the brand"
38,"The film is yet to be released in a number of international markets and will be followed by the Home Entertainment window, an important element of expanding the audience"
39,"MONOPOLY revenues were up with several new games, including the Token Madness edition as well as MONOPOLY Gamer, featuring Nintendo characters and new game play"
40,"As expected, MAGIC:"
41,"THE GATHERING revenues declined in the quarter, while play numbers remained high and sentiment from players and stores is positive"
42,Our new digital gaming initiative MAGIC: THE GATHERING arena was announced on September 7 and will go into close beta in November
43,MAGIC:
44,"THE GATHERING franchise remains strong and our investments in its content, storytelling, and digital platform will continue as we believe there remains significant future potential for the franchise"
45,Hasbro Gaming revenues grew 22% and consumer takeaway increased at a similar level
46,Gaming growth continued across multiple formats and our expertise in gaming coupled with our ability to translate social trends into commercial gaming experiences is driving growth around the world
47,"Partner brand revenues decreased led by declines in YOKAI WATCH as well as DREAMWORKS' TROLLS, which was down versus last year's third quarter launch of movie product"
48,"Point-of-sale for the category was up, including gains in MARVEL, DISNEY PRINCESS, and DISNEY DESCENDANTS, DREAMWORKS' TROLLS and Sesame Street"
49,Trolls is performing well this year and we look forward to the upcoming entertainment DREAMWORKS' TROLLS Holiday airing November 24 on NBC
