,Sentences
0,"Thank you, Jill, and good morning everyone, and thanks for joining us this morning for the call"
1,"We're pleased to report our fourth quarter and full year 2016 results with RevPAR growth, adjusted EBITDA and adjusted EPS all in line with our expectations"
2,We're also very happy with our continued momentum in the development side of the business
3,"With the spins of Park and HGV successfully completed last month, this will be the last quarter we report as legacy Hilton Holdco, as each company will be hosting separate calls to discuss their results and outlook"
4,"As we talked about during our Investor Day in December, the new Hilton is a resilient fee-driven business"
5,"Our two primary drivers are same-store growth and net unit growth, and we are far less sensitive to changes in RevPAR, given the lower operating leverage of a more simplified model and the resiliency of our unit growth"
6,"Focusing on results, same-store trends remained largely consistent throughout 2016."
7,"When adjusting for calendar shifts and other one-time items, system-wide RevPAR growth was essentially 1.5% to 2% throughout the year, led by group and leisure in the 2% to 3% range and business transient at around 1%"
8,"In the fourth quarter, when you adjust for the impact of calendar shifts, Hurricane Matthew and the U.S"
9,"election, performance improved versus the third quarter, which was driven primarily by an uptick in corporate business"
10,January performance also came in slightly above our expectations
11,The bulk of our room night demand has short lead times and tends to follow macroeconomic indicators on a lag
12,"Forecasts for these indicators, particularly U.S"
13,GDP and non-residential fixed investment growth show modest year-over-year acceleration into 2017.
14,"Actually, in the fourth quarter, non-residential fixed investment posted its first quarter of positive year-over-year growth since 2015 and is forecasted to strengthen further into 2017, which should lead the growth in demand for room nights"
15,"Where we have more visibility, notably in group and corporate negotiated business, we see continued demand growth"
16,"Group position for the full year is up slightly versus 2016, with approximately 75% of the business on the books"
17,"While January is a relatively light booking month, we did see positive momentum, indicating a stronger pace for the year"
18,Additionally both group ADR and corporate negotiated rates are up 2% to 3% versus 2016.
19,"Turning to unit growth, where we have good sight lines, we continue to take market share, with construction financing slightly more expensive and marginally harder to get in 2016, only top projects with strong brands got done, keeping industry supply growth below the 30-year average at just shy of 1.6%"
20,"It remains to be seen whether the lending environment gets better, but one thing is certain, our industry-leading brands continue to take a disproportionate share of development activity globally with little use of our capital"
21,"For Hilton, 2016 was another record year for signings, for openings and construction"
22,starts
23,"We maintained our position as the fastest growing global hospitality company on an organic basis, increasing our system size by 6.6% with 52,000 gross rooms opened"
24,"We opened roughly one property per day in 2016 and started construction on nearly 77,000 rooms"
25,"We signed a record 106,000 rooms bringing our pipeline to 310,000 rooms, with over half of that pipeline under construction"
26,"Globally, more than one in five hotel rooms under construction are being developed as a Hilton brand, which is 4.5 times our existing share of global rooms"
27,"Additionally, four of Hilton's brands are in the top five brands in the industry under construction globally"
28,Our five new brands continue to contribute meaningfully to both our supply and pipeline growth
29,"New brands now represent nearly 800 hotels and 90,000 rooms that are either open or in our pipeline"
30,"Home2 recently opened its 135th property, with another 350 in the pipeline and is now the second largest brand underdevelopment in the United States according to Star"
31,"Tru by Hilton just celebrated its first birthday, with nearly 400 hotels representing 37,000 rooms in various stages of development"
32,"According to Star, Tru represents over a quarter of the U.S"
33,industry's midscale pipeline and accounted for 65% of the total growth in the U.S
34,mid-scale pipeline in 2016.
35,"We're on track to open our first Tru hotel in the second quarter and expect to have nearly a 1,000 rooms open by the end of the year"
36,"Last month, we launched our newest brand the Tapestry Collection by Hilton"
37,"This conversion-oriented brand positioned in the 3-star to 4-star space just below Curio is off to a strong start, with over 40 deals in progress"
38,"We expect the first Tapestry to open later this year, and believe this brand has significant growth opportunities with an addressable market of over 15,000 existing hotels globally"
39,We also had great success in deploying our existing brands into new markets
40,"In 2016, we expanded our system footprint across five new countries for a total of a 104 countries and territories"
41,"Last week, for example, we signed our 100th Hampton in China with our partner Plateno"
42,"For the full year 2017, we expect net unit growth of 50,000 rooms to 55,000 rooms, or approximately 6.5% system growth, supported almost entirely by third-party capital"
43,"We also forecast another year of robust signings totaling over 100,000 rooms"
44,"While our scale, size and industry-leading brands and commercial platform continue to drive strong unit growth, similar attributes are also driving tremendous growth in our loyalty program"
45,"Hilton Honors added 9 million members last year, bringing total memberships to over 60 million members"
46,"For the full year, Honors members drove 56% of system occupancy, representing a year-over-year increase of nearly 400 basis points"
47,"By ensuring that all of our customers get the best value and the best experience through Hilton Honors, they are much more likely to have a direct relationship with us"
48,"Our digital channels, including website and mobile bookings continue to outpace other channels on share growth, up more than 200 basis points year-over-year"
49,"In the quarter, web-direct as a share of all bookings was nearly 30%"
50,We also launched a number of enhancements to our loyalty program just last month that we believe will make the value proposition even greater for our members
51,Hilton Honors is the first loyalty program that will allow members to choose exactly how many Points to combine with cash for a hotel stay through a Points & Money slider
52,Members will also be able to use their Points for purchases on Amazon
53,com and to allow family and friends to pool their Points for free
54,"We believe these enhancements will continue to make Honors the most customer-centric loyalty program, driving incremental value for guests and the overall system"
55,"Lastly turning to capital return, our new simplified business model with growth almost entirely financed with third-party capital, should continue to generate meaningful free cash flow"
56,We intend to be very disciplined in returning capital to shareholders over time largely through share repurchases
57,We're meeting with our board of directors next week to finalize our plans and expect to provide further details shortly thereafter
58,"In closing, I'd like to extend a really heartfelt thank you to the Hilton team, as well as the teams at Park and HGV for the successful completion of the spins"
59,"As you might guess, breaking up a 100-year-old company is a massive undertaking"
60,"We owe the success of this spins to the hard work and dedication of team members across all three companies, and we remain very excited for the prospects of all three companies going forward"
61,"With that, I'm now going to turn the call over to Kevin to give you a little bit more detail on the quarter and the full year results"
62,"Yeah, a great question"
63,"I assumed, one way or another, we're going to talk about that probably on multiple questions"
64,It would be hard to say I don't feel a bit better than I felt when we originally gave our 1% to 3% guidance
65,"And that would be because that did have an expectation that we would see a pick-up in key macro indicators, including GDP growth and non-residential fixed investment"
66,"I think we have started to see that, and I noted it in the â€“ in my prepared comments that non-residential fixed investment turned positive in the fourth quarter for the first time in a while"
67,That is the highest correlation that we can find to growth in demand for hotel rooms
68,"I think there is a fairly high level of expectation generally out there that you're going to see positive non-residential fixed investment this year and that GDP growth is not picking up in a significant way, but picking up at least modestly"
69,"And so, I think when we gave guidance of 1% to 3%, we felt reasonably good about it at the time based on where we were in budgets"
70,"As we now have a little bit of the year behind us, we have a few green shoots that are essentially that the corporate business, the business transient business has, as I said, picked up a bit post-election"
71,It's continued into the first part of this year
72,We feel like we've got a decent group base on the books
73,Leisure has maintained its relative strength
74,"So, it would be hard to say that I don't feel a bit better about our 1% to 3% than I did when we gave it to you last fall and that the opportunity to be at the midpoint or above would be higher today than it was at that time"
75,"Having said all that, it's early in the year"
76,There is a lot going on
77,"If you watch cable news and read the newspapers and some of the things that have created the positive sentiment, I think, in the business community relate to the idea of tax reform, regulatory reform, the possibility for infrastructure spend"
78,"And well, I think there is decent momentum on a number of those things"
79,"In the end, what will matter is what actually happens"
80,"So, I think the psychology in the business community is more positive than it was certainly when we talked last time"
81,"How positive it gets, how long it stays positive is entirely dependent on what actually happens on some of the things that I just mentioned that are swirling"
82,But we feel like â€
83,“ what we're seeing right now makes us feel like the guidance we've given is a darn good guidance
84,"And when we look at what we've delivered so far this year, and we've already had an opportunity to work with our teams to re-forecast the year based on what they're seeing in activity, short-term plus the longer term group business, we feel pretty good about it"
85,Yeah
86,"Maybe I'm not sure I understand the question exactly, Stephen"
87,Can you give me more?
88,On a quarter-to-quarter basis â€“ maybe Kevin will jump in with a little bit more detail
89,I think the way to think about that is two things that are going on that sort of create the anomalies on a quarter-to-quarter basis
90,Some of it's FX
91,Some of it's one-time items either that are happening this year or happened last year
92,"If you'd cleanse it for those things, it actually is relatively consistent throughout the year"
93,I think we're seeing it very broad based
94,"In fact, I was talking to our folks that lead our sales efforts about that very question earlier in the week, and I think we're seeing very broad based â€“ more positive sentiment across a broad range of industries"
95,Patrick Scholes
96,"How are you doing, Patrick?"
97,Yeah
98,We're sort of in the low to mid-single digits for the full-year with the first half of the year up more meaningfully than the second half of the year
99,"That is not atypical in most years as we come into the year, just given the timeline"
100,"So, a lot of the in-the-year for-the-year business obviously, when we get to this point, is going to be in the second half of the year"
101,"So, we feel â€“ again, talking to our sales teams"
102,", we feel pretty good about it"
103,"If you look at where we ended up last year in group consumed revenue, we ended up in the 2%, maybe a little bit better"
104,I think we're on track to do at least that
105,"I wouldn't want to get too optimistic and say it's a ton better, given we're up 2.5% or 3% in terms of position on the books"
106,"But we feel pretty good about the first half of the year stronger, but we have â€"
107,“ we still have plenty of time for infill in the second half of the year for in-the-year for-the-year
108,"And as I said, that would be fairly typically how it would weight out"
109,"Next year, obviously, a much lower percentage of room nights on the books"
110,"I want to say if we're at 75% now for this year, we may be at 20%, in the 20s for next year, but up materially"
111,"I'd say as we look at it today, Kevin, correct me if I'm wrong, we're up in the 5% to 10% range"
112,"I think towards the higher end of that range for next year at this point, but again to be balanced about it"
113,"There's only 25%-ish of the room nights on the books at this point, which again would be fairly typical being a year out"
114,Yeah
115,"We've been, I think, pretty clear on this in the past including at our Analyst Day in December"
116,"But maybe to make sure that we have perfect clarity, I'll do it again"
117,"I think when we think about â€“ and first of all, as Kevin and I both said, we're going to meet with our board next week"
118,"So, everything I'm going to say is our philosophical approach, subject to our board agreeing with that philosophical approach"
119,"Obviously, we've had discussions prior to next week about how we might approach it, but next week we're going to consider it"
120,I do expect we will walk out of our meeting next week with an approval for a programmatic approach to how we're going to return capital
121,The way that we've talked about in the past and the way I'd say it again today is that there is a programmatic and an opportunistic component to how we intend to return capital
122,"The programmatic element of it is that we would look at our recurring free cash flow, and to use â€“ the numbers for this year is roughly $800-plus-kind-of-million, and we would look at taking a large component of that â€"
123,"“ let's use a number to say 75% of that, that would come back in the form of a modest dividend, not unlike what we had been doing pre-spin"
124,But the bulk of it then would be coming back in the form of share repurchases in a programmatic way
125,"Then the remaining amount of that free cash flow and any other opportunities that we would have, including re-levering, as we described at Analyst Day, we would view as opportunistic"
126,"And so, we kind of put it in those two buckets"
127,"The programmatic, you will start to see very, very soon"
128,"The opportunistic, I hate to say it this way, but we'll know it when we see it"
129,And we want to make sure that we have the capacity when there are opportunities that present themselves to be able to lean in and do something even more significant at those times
130,Yeah
131,"That's a good question, and obviously, one that we've been fielding in lots of different forums"
132,"I'd say, as you pointed out, the international business system-wide in the U.S"
133,is a relatively modest component of our business
134,"If you look at what we saw in the international business last year, it was down a bit in revenue"
135,I think it was down 2.5% to 2.8%
136,I think
137,but 2.5% to 3%
138,That was obviously pre-travel ban
139,That had a lot to do with the strengthening of the dollar in my mind
140,"You did see some markets continuing to show very good growth, mostly Asia Pacific to the U.S"
141,"But a lot of the other markets, including Canada close by, we saw drop off"
142,"As we think about this year, my sense is, and then I'll answer the question specifically"
143,", my sense is you're going to continue to see pressure on international business, and I think that pressure is largely going to be driven by even further strengthening of the dollar"
144,"If you look at what's happened over the last 90 days, the dollar has strengthened a lot"
145,That is not good for international inbound business
146,"So, I think you'll see continued impact"
147,"On the other side, the good news is, part of the reason the dollar is strengthening, at least at the moment, is a belief the U.S"
148,economy is going to be stronger
149,economy being stronger in-the-U.S
150,for-the-U.S
151,", where we have 95% of our business coming from that net-net is a win for us in the industry"
152,"As it relates to the travel ban, we've been tracking it as carefully as we can"
153,We have not seen any material impact as a consequence of what's happened over the last two or three weeks
154,"We obviously will keep watching it and keep an eye on it, but nothing in anyway material that's come from it at this point"
155,Kevin may want to jump in
156,"The truth is with the Easter shift, we tried not to get too tricky in the guidance and keep it consistent, because it's early in the year"
157,"The truth is that first quarter is likely to be more to the higher end, second quarter probably more to the mid to the lower end just because of the shift in Easter"
158,"I guess in the end, we could have tried to be a little more precise, but it is â€"
159,“ we think both quarters are within those ranges and we tried to keep it simple
160,"But Easter is going to help first quarter, it's going to hurt second quarter, moving from April â€"
161,“ moving into April from March
162,"No, I'd say it's probably two-thirds, one-third"
163,If I had to approximate it
164,Two-thirds in the fee
165,"Good morning, Joe"
166,Yeah
167,"I think what's baked into our assumptions is that we're going to see, throughout the year, we're going to go from last year, where it was circa 1% to â€"
168,"“ if we wanted to get to the mid to the higher end of the ranges, we're obviously always trying to do is get the best performance we can"
169,I think it's more 1% to 2% than 1%
170,"As I said, I think group is going to perform in a consistent way"
171,We don't see any leisure issues at the moment
172,"Now, there's lots of things that could happen"
173,"But at the moment, we think leisure keeps clicking around â€“ or keeps clicking along"
174,"So, I think if you get â€"
175,"“ if you can get business transient up over the 1% and 1.5%, 2%, I think it's what could lead you to being in midpoint or hopefully higher than the midpoint of the range"
176,"And I think that's possible and that's sort of what we've been seeing, if you look at â€"
177,"“ if you cleanse December and January of noise, that's sort of where we've been, is 1.5% to 2% on business transient"
178,"The only caution â€“ again, that's all great"
179,and I know
180,I'm sort of guiding to the mid or high in those comments
181,The only caution is
182,"it's very early in the year, okay, and January is not the biggest business transient travel month, nor is December"
183,They're amongst the weakest business transient travel months we have
184,"So, I'm not trying to be negative, just trying to be objective"
185,We need more time to â€
186,“ we need more time to sort of play out
187,and we need to be able to â€
