,Word,Lemma,POSTag,Shape
0,Thank,thank,VBP,Xxxxx
1,you,-PRON-,PRP,xxx
2,",",",",",",","
3,Jill,Jill,NNP,Xxxx
4,",",",",",",","
5,and,and,CC,xxx
6,good,good,JJ,xxxx
7,morning,morning,NN,xxxx
8,everyone,everyone,NN,xxxx
9,",",",",",",","
10,and,and,CC,xxx
11,thanks,thank,NNS,xxxx
12,for,for,IN,xxx
13,joining,join,VBG,xxxx
14,us,-PRON-,PRP,xx
15,this,this,DT,xxxx
16,morning,morning,NN,xxxx
17,for,for,IN,xxx
18,the,the,DT,xxx
19,call,call,NN,xxxx
20,"
","
",_SP,"
"
21,We,-PRON-,PRP,Xx
22,'re,be,VBP,'xx
23,pleased,pleased,JJ,xxxx
24,to,to,TO,xx
25,report,report,VB,xxxx
26,our,-PRON-,PRP$,xxx
27,fourth,fourth,JJ,xxxx
28,quarter,quarter,NN,xxxx
29,and,and,CC,xxx
30,full,full,JJ,xxxx
31,year,year,NN,xxxx
32,2016,2016,CD,dddd
33,results,result,VBZ,xxxx
34,with,with,IN,xxxx
35,RevPAR,revpar,NN,XxxXXX
36,growth,growth,NN,xxxx
37,",",",",",",","
38,adjusted,adjust,VBN,xxxx
39,EBITDA,EBITDA,NNP,XXXX
40,and,and,CC,xxx
41,adjusted,adjust,VBN,xxxx
42,EPS,EPS,NNP,XXX
43,all,all,DT,xxx
44,in,in,IN,xx
45,line,line,NN,xxxx
46,with,with,IN,xxxx
47,our,-PRON-,PRP$,xxx
48,expectations,expectation,NNS,xxxx
49,"
","
",_SP,"
"
50,We,-PRON-,PRP,Xx
51,'re,be,VBP,'xx
52,also,also,RB,xxxx
53,very,very,RB,xxxx
54,happy,happy,JJ,xxxx
55,with,with,IN,xxxx
56,our,-PRON-,PRP$,xxx
57,continued,continue,VBN,xxxx
58,momentum,momentum,NN,xxxx
59,in,in,IN,xx
60,the,the,DT,xxx
61,development,development,NN,xxxx
62,side,side,NN,xxxx
63,of,of,IN,xx
64,the,the,DT,xxx
65,business,business,NN,xxxx
66,"
","
",_SP,"
"
67,With,with,IN,Xxxx
68,the,the,DT,xxx
69,spins,spin,NNS,xxxx
70,of,of,IN,xx
71,Park,Park,NNP,Xxxx
72,and,and,CC,xxx
73,HGV,HGV,NNP,XXX
74,successfully,successfully,RB,xxxx
75,completed,complete,VBD,xxxx
76,last,last,JJ,xxxx
77,month,month,NN,xxxx
78,",",",",",",","
79,this,this,DT,xxxx
80,will,will,MD,xxxx
81,be,be,VB,xx
82,the,the,DT,xxx
83,last,last,JJ,xxxx
84,quarter,quarter,NN,xxxx
85,we,-PRON-,PRP,xx
86,report,report,VBP,xxxx
87,as,as,IN,xx
88,legacy,legacy,NN,xxxx
89,Hilton,Hilton,NNP,Xxxxx
90,Holdco,Holdco,NNP,Xxxxx
91,",",",",",",","
92,as,as,IN,xx
93,each,each,DT,xxxx
94,company,company,NN,xxxx
95,will,will,MD,xxxx
96,be,be,VB,xx
97,hosting,host,VBG,xxxx
98,separate,separate,JJ,xxxx
99,calls,call,NNS,xxxx
100,to,to,TO,xx
101,discuss,discuss,VB,xxxx
102,their,-PRON-,PRP$,xxxx
103,results,result,NNS,xxxx
104,and,and,CC,xxx
105,outlook,outlook,NN,xxxx
106,"
","
",_SP,"
"
107,As,as,IN,Xx
108,we,-PRON-,PRP,xx
109,talked,talk,VBD,xxxx
110,about,about,IN,xxxx
111,during,during,IN,xxxx
112,our,-PRON-,PRP$,xxx
113,Investor,Investor,NNP,Xxxxx
114,Day,Day,NNP,Xxx
115,in,in,IN,xx
116,December,December,NNP,Xxxxx
117,",",",",",",","
118,the,the,DT,xxx
119,new,new,JJ,xxx
120,Hilton,Hilton,NNP,Xxxxx
121,is,be,VBZ,xx
122,a,a,DT,x
123,resilient,resilient,JJ,xxxx
124,fee,fee,NN,xxx
125,-,-,HYPH,-
126,driven,drive,VBN,xxxx
127,business,business,NN,xxxx
128,"
","
",_SP,"
"
129,Our,-PRON-,PRP$,Xxx
130,two,two,CD,xxx
131,primary,primary,JJ,xxxx
132,drivers,driver,NNS,xxxx
