,Sentences
0,"Thank you, Ted, and good morning, everyone"
1,"In the fourth quarter, sales were $22.2 billion, a 5.8% increase from last year"
2,"Versus last year, foreign currency rates, primarily a weaker Mexican peso, negatively impacted total sales growth by approximately $96 million or 0.5%"
3,"Our total company comps, or same-store sales, were positive 5.8% for the quarter with positive comps of 5.7% in November, 7.1% in December and 4.7% in January"
4,"stores were positive 6.3% for the quarter, with positive comps of 6% in November, 8% in December and 5.1% in January"
5,"For fiscal 2016, our sales increased 6.9% to $94.6 billion and total company comp sales were positive 5.6%"
6,Comps for U.S
7,stores were positive 6.2%
8,"During the year, a stronger U.S"
9,"dollar negatively impacted sales growth by approximately $549 million, or 0.6%"
10,"Our total company gross margin was 34% for the quarter, a decrease of 10 basis points from last year"
11,The change in our gross margin is explained largely by the following factors
12,"First, we had 8 basis points of gross margin expansion in our supply chain, driven primarily by increased productivity"
13,"Second, we had 15 basis points of gross margin contraction due to higher shrink than one year ago"
14,"And finally, we had approximately 3 basis points of gross margin contraction, due mainly to a change in the mix of products sold"
15,"For the year, we experienced 3 basis points of gross margin contraction"
16,"In the fourth quarter, operating expense as a percent of sales decreased by 113 basis points to 20.8%"
17,Our expense leverage was driven principally by our strong sales performance and good expense control
18,Our total company expenses were $11 million higher than planned due to expenses associated with our 2014 payment data breach
19,"With this, we now believe the majority of expenses associated with our payment data breach are behind us"
20,"Fiscal 2016 operating expense as a percent of sales was 20%, a decrease of 92 basis points from what we reported last year"
21,"For the year, our expenses grew at 30% of our sales growth rates"
22,Our operating margin for the quarter was 13.2% and for the year was 14.2%
23,"Reflecting favorable tax reserve adjustments, in the fourth quarter, our effective tax rate was 35.2% and for the year, our effective tax rate was 36.3%"
24,"Our diluted earnings per share for the fourth quarter were $1.44, an increase of 23.1% from last year"
25,"For the year, diluted earnings per share were $6.45, an increase of 18.1% compared to fiscal 2015."
26,"Now moving to some additional highlights, during the fiscal year, we opened four new stores in Mexico, bringing our total store count to 2,278 and selling square footage to 237 million square feet"
27,"For the year, total sales per square foot increased 5.5% to $391, our highest sales per square foot since 2001."
28,"At the end of the quarter, merchandise inventories were $12.5 billion, up $740 million from last year, and inventory turns were 4.9 times, flat with last year"
29,"Moving on to capital allocation, in fiscal 2016, we generated approximately $9.8 billion of cash from operations and used that cash, as well as proceeds from $2 billion of incremental long-term debt issuances, to invest in the business, repurchase our shares, and pay dividends to our shareholders"
30,"During the year, we invested approximately $1.62 billion back into the business through capital expenditures"
31,"Further, we repurchased approximately $7 billion, or about 53 million of our outstanding shares, including roughly $2.4 billion or 18 million shares in the fourth quarter"
32,"And finally, during the year, we paid $3.4 billion in dividends to our shareholders"
33,"Computed on the average of beginning and ending long-term debt and equity for the trailing 12 months, return on invested capital was 31.4%, 330 basis points higher than at the end of fiscal 2015."
34,"Now looking ahead, this morning we issued a press release with our guidance for fiscal 2017."
35,And I want to take a few moments to comment on the highlights
36,"Remember that we guide off of GAAP, so our fiscal 2017 guidance will launch from our reported results for fiscal 2016."
37,"As we look to 2017, we remain encouraged by the strength of our core business and by what we are seeing in the housing environment"
