,Word,Lemma,POSTag,Shape
0,Thanks,thanks,UH,Xxxxx
1,",",",",",",","
2,Wes,Wes,NNP,Xxx
3,"
","
",_SP,"
"
4,While,while,IN,Xxxxx
5,I,-PRON-,PRP,X
6,would,would,MD,xxxx
7,like,like,VB,xxxx
8,to,to,TO,xx
9,make,make,VB,xxxx
10,a,a,DT,x
11,few,few,JJ,xxx
12,comments,comment,NNS,xxxx
13,regarding,regard,VBG,xxxx
14,2016,2016,CD,dddd
15,",",",",",",","
16,most,most,JJS,xxxx
17,of,of,IN,xx
18,my,-PRON-,PRP$,xx
19,thoughts,thought,NNS,xxxx
20,will,will,MD,xxxx
21,be,be,VB,xx
22,focused,focus,VBN,xxxx
23,on,on,IN,xx
24,our,-PRON-,PRP$,xxx
25,plans,plan,NNS,xxxx
26,for,for,IN,xxx
27,2017,2017,CD,dddd
28,and,and,CC,xxx
29,beyond,beyond,IN,xxxx
30,"
","
",_SP,"
"
31,From,from,IN,Xxxx
32,a,a,DT,x
33,strength,strength,NN,xxxx
34,perspective,perspective,NN,xxxx
35,",",",",",",","
36,we,-PRON-,PRP,xx
37,made,make,VBD,xxxx
38,great,great,JJ,xxxx
39,progress,progress,NN,xxxx
40,last,last,JJ,xxxx
41,year,year,NN,xxxx
42,on,on,IN,xx
43,the,the,DT,xxx
44,management,management,NN,xxxx
45,of,of,IN,xx
46,our,-PRON-,PRP$,xxx
47,inventory,inventory,NN,xxxx
48,levels,level,NNS,xxxx
49,and,and,CC,xxx
50,expenses,expense,NNS,xxxx
51,across,across,IN,xxxx
52,the,the,DT,xxx
53,company,company,NN,xxxx
54,"
","
",_SP,"
"
55,We,-PRON-,PRP,Xx
56,also,also,RB,xxxx
57,showed,show,VBD,xxxx
58,great,great,JJ,xxxx
59,improvement,improvement,NN,xxxx
60,during,during,IN,xxxx
61,the,the,DT,xxx
62,course,course,NN,xxxx
63,of,of,IN,xx
64,the,the,DT,xxx
65,year,year,NN,xxxx
66,on,on,IN,xx
67,merchandise,merchandise,NN,xxxx
68,margin,margin,NN,xxxx
69,"
","
",_SP,"
"
70,Our,-PRON-,PRP$,Xxx
71,opportunity,opportunity,NN,xxxx
72,",",",",",",","
73,of,of,IN,xx
74,course,course,NN,xxxx
