,Sentences
0,"Thanks, Bruce"
1,"Let me start with a few comments on the overall results for the quarter, and then I'll provide more color and the progress we're making around each of our key pillars and the Greatness Agenda"
2,"Most importantly, we returned to a positive comp increase in the third quarter and we continued the steady improvement in sales results we've seen all year"
3,"As you know, driving traffic is one of the two key priorities for our company"
4,"And as Bruce shared, there was sequential improvement again in our store traffic metrics and this increase in traffic"
5,was the driver of our improved sales performance
6,"From a timing perspective in the quarter, we had a strong back-to-school selling season with sales from the beginning of August through Labor Day, up low single-digit"
7,"This was driven by particularly strong performance in kids and footwear, and continued strength in Activewear"
8,"The rest of the September sales period was weak, affected substantially by the impact of hurricanes in some of our regions and unseasonably warm weather throughout almost all of our regions"
9,"Sales turned positive again in October, driven by particular strength in the back half of the month"
10,"Regular price sales for the quarter were up 1%, while clearance sales were down 7%"
11,This was driven by lower levels of clearance inventory
12,"On an overall basis, a portion of our improvement in our sales trend is attributable to our targeted efforts to capture share from competitive store closures in some of our trade areas"
13,"And we expect this will continue, if not accelerate, through the holiday seasons"
14,"From a category standpoint, the positive comp performance was broad-based with nearly all categories improving their sales trends"
15,"Menâ€™s, footwear, kids in home, all reported positive comp increases in the quarter"
16,"Our core womenâ€™s business was negative, but we did see continuing improvement in the trend, particularly in our private brands"
17,The accessories category continued to lag the company was down mid single-digit
18,"Looking at our progress on our individual key pillars, on the product front, our active business increased almost 20% for the quarter, an acceleration of the year-to-date trend"
19,"Both apparel and footwear categories in Active were strong and this was driven by large increases in both Nike and Adidas, as well as continued strong performance from Under Armour"
20,We continue to gain market share in Active and we expect the very strong holiday performance in both Active apparel and footwear categories
21,"Our national brand penetration rose to 56% for the quarter, up 300 basis points"
22,"This was driven primarily by the Active growth, but we also had growth in several other important national brands, including Leviâ€™s, Carter's, Van Heusen, Tag Heuer, Columbia and Fitbit"
23,We also launched the Clarks footwear brand to further expand our footwear offering
24,Our private brand performance saw significant improvement and substantially all brands reported improve trends
25,This was driven by the growing impact of our speed to market efforts and improved performance of our Jumping Beans
26,childrenâ€™s brand at back-to-school and the re-launch of our Apartment 9 brand
27,"Our exclusive brand performance continued to lag the total, but thatâ€™s primarily result the paring down of brands and categories in that area of the business"
28,"Two of our most important exclusive brands, Vera Wang and Lauren Conrad, grew by double-digits for both the quarter and year-to-date"
29,"In our efforts to provide a seamless and easy experience, we continue to make great progress in delivering the best in class omnichannel experience"
30,Online generated demand sales grew 15% for the quarter and we continued to grow the percentage of those online orders that are fulfilled by stores
31,Stores fulfilled 30% of the total units for the quarter with both Opus and ship from store growing significantly compared to last year
32,"Productivity metrics improved again, resulting in lower cost of shipping and fulfillment as a percent of total digital sales, which aided profitability"
33,"We also opened our 5th DFC, which we expect to contribute significantly to our ability to grow our business and improve efficiency, beginning next year"
34,Improved experiences in our mobile applications increased digital conversion at a low double-digit rate and mobile accounted for 67% of our traffic in the quarter
35,"In the area of personalization and savings, we continue to enhance our capability in using data and analytics to drive our marketing, digital and personalization efforts"
36,"In the quarter, we increased our level of personalization and key marketing events, as well as leveraged our new insight based pricing tools to deliver new promotional events that are resonating with our customers"
37,We completed the rollout of Your Price during the third quarter
38,Your Price shows the personalized price of individual items based on the customer specific offers and provides immediate visibility to the value of those customers receive at Kohl's
39,Our personalized search initiative makes it easier for customers to find what theyâ€™re looking for based on shopping preferences from previous online and in-store purchases
40,"And finally, our smartcard application continues to provide customers an opportunity to save more by choosing to pick-up in-store versus ship-to-home on their online orders"
41,"During our second quarter earnings call, I mentioned that we would pilot a further evolution of our loyalty program next year"
42,"Our royalty program includes the Kohl's Charge, Yes2You Rewards and Kohl's Cash Elements"
43,"The objective of the pilot is to simplify the program, broaden the reach and provide even more rewards to users in a program that already is best-in-class"
44,"With over 30 million unique customers utilizing at least one of the elements of our loyalty program, we believe this next evolution has great opportunity to drive a step change in traffic and sales"
45,The timing of the pilot has now been set for the second quarter of next year and approximately 100 stores will participate
46,We would then include the learning from this pilot in an expected companywide roll out intended for fiscal 2019.
47,"Finally, in the area of store optimization"
48,We continue to make progress in amplifying the role and the relevancy of our physical stores across a number of fronts
49,Success many of these efforts has built further conviction and the importance of our physical stores and our long-term success
50,"First, we opened four new 35,000 square foot stores in dense trade areas in the third quarter, and the openings were extremely successful"
51,We now have 12 of these stores across the country in both secondary and major markets
52,"Beyond the potential for growth these stores provide us, they importantly provide us insights into how we can operate our other stores more effectively in the future"
53,"Second, our standard to small store strategy continues to drive lower inventory levels and is resulting in improved profitability in over 300 of our stores"
54,"As Bruce indicated, inventory per store at the end of the third quarter was down low single-digits and is expected to be down mid single-digits at the end of the year"
55,This is our seventh consecutive quarter of lower inventory per store
