,Word,Lemma,POSTag,Shape
0,Thank,thank,VBP,Xxxxx
1,you,-PRON-,PRP,xxx
2,",",",",",",","
3,Joe,Joe,NNP,Xxx
4,",",",",",",","
5,and,and,CC,xxx
6,good,good,JJ,xxxx
7,morning,morning,NN,xxxx
8,to,to,IN,xx
9,everybody,everybody,NN,xxxx
10,on,on,IN,xx
11,the,the,DT,xxx
12,call,call,NN,xxxx
13,"
","
",_SP,"
"
14,I,-PRON-,PRP,X
15,am,be,VBP,xx
16,delighted,delighted,JJ,xxxx
17,to,to,TO,xx
18,share,share,VB,xxxx
19,the,the,DT,xxx
20,results,result,NNS,xxxx
21,for,for,IN,xxx
22,our,-PRON-,PRP$,xxx
23,most,most,RBS,xxxx
24,recent,recent,JJ,xxxx
25,quarter,quarter,NN,xxxx
26,with,with,IN,xxxx
27,you,-PRON-,PRP,xxx
28,"
","
",_SP,"
"
29,I,-PRON-,PRP,X
30,will,will,MD,xxxx
31,begin,begin,VB,xxxx
32,with,with,IN,xxxx
33,a,a,DT,x
34,few,few,JJ,xxx
35,high,high,JJ,xxxx
36,-,-,HYPH,-
37,level,level,NN,xxxx
38,financial,financial,JJ,xxxx
39,metrics,metric,NNS,xxxx
40,before,before,IN,xxxx
41,providing,provide,VBG,xxxx
42,an,an,DT,xx
43,update,update,NN,xxxx
44,on,on,IN,xx
45,our,-PRON-,PRP$,xxx
46,operating,operating,NN,xxxx
47,segments,segment,NNS,xxxx
48,and,and,CC,xxx
49,discussing,discuss,VBG,xxxx
50,a,a,DT,x
51,few,few,JJ,xxx
52,of,of,IN,xx
53,the,the,DT,xxx
54,macro,macro,JJ,xxxx
55,trends,trend,NNS,xxxx
56,we,-PRON-,PRP,xx
57,witnessed,witness,VBD,xxxx
58,during,during,IN,xxxx
59,the,the,DT,xxx
60,quarter,quarter,NN,xxxx
61,"
","
",_SP,"
"
62,I,-PRON-,PRP,X
63,will,will,MD,xxxx
64,then,then,RB,xxxx
65,turn,turn,VB,xxxx
66,the,the,DT,xxx
67,call,call,NN,xxxx
68,over,over,RP,xxxx
69,to,to,IN,xx
70,Michael,Michael,NNP,Xxxxx
71,Clark,Clark,NNP,Xxxxx
72,",",",",",",","
73,who,who,WP,xxx
74,will,will,MD,xxxx
75,provide,provide,VB,xxxx
76,some,some,DT,xxxx
77,segment,segment,NN,xxxx
78,-,-,HYPH,-
79,level,level,NN,xxxx
80,financial,financial,JJ,xxxx
81,detail,detail,NN,xxxx
82,",",",",",",","
83,and,and,CC,xxx
84,then,then,RB,xxxx
85,I,-PRON-,PRP,X
86,will,will,MD,xxxx
87,come,come,VB,xxxx
88,back,back,RB,xxxx
89,to,to,TO,xx
90,comment,comment,VB,xxxx
91,on,on,IN,xx
92,our,-PRON-,PRP$,xxx
93,updated,update,VBN,xxxx
94,guidance,guidance,NN,xxxx
95,and,and,CC,xxx
96,make,make,VB,xxxx
97,a,a,DT,x
98,few,few,JJ,xxx
99,final,final,JJ,xxxx
100,remarks,remark,NNS,xxxx
101,before,before,IN,xxxx
102,taking,take,VBG,xxxx
103,your,-PRON-,PRP$,xxxx
104,questions,question,NNS,xxxx
105,"
","
",_SP,"
"
106,All,all,RB,Xxx
107,-,-,HYPH,-
108,in,in,IN,xx
109,-,-,HYPH,-
110,all,all,DT,xxx
111,",",",",",",","
112,we,-PRON-,PRP,xx
113,believe,believe,VBP,xxxx
114,Q2,Q2,NNP,Xd
115,was,be,VBD,xxx
116,a,a,DT,x
117,strong,strong,JJ,xxxx
118,quarter,quarter,NN,xxxx
119,for,for,IN,xxx
120,our,-PRON-,PRP$,xxx
121,company,company,NN,xxxx
122,and,and,CC,xxx
123,we,-PRON-,PRP,xx
124,are,be,VBP,xxx
125,pleased,pleased,JJ,xxxx
126,with,with,IN,xxxx
127,the,the,DT,xxx
128,results,result,NNS,xxxx
129,"
","
",_SP,"
"
130,As,as,IN,Xx
131,noted,note,VBN,xxxx
132,on,on,IN,xx
133,slide,slide,NN,xxxx
134,3,3,CD,d
135,",",",",",",","
136,consolidated,consolidated,JJ,xxxx
137,revenue,revenue,NN,xxxx
