,Sentences
0,"Great, thank you, David"
1,"This morning, I'm with Rick Beckwitt, our President; Bruce Gross, our Chief Financial Officer; Dianne Bessette, our Vice President and Treasurer; and of course, David Collins, who you just heard from"
2,"And we also have Jeff Krasnoff, CEO of Rialto here and Eric Feder, from the Rialto Group; John Jaffe, our Chief Operating Officer; is also with us by phone from California and will participate in the Q&A portion"
3,"As always, I am going to start with a brief overview, Bruce will deliver further detail, and weâ€™d like to ask that during the Q&A portion that you limit your questions to one question and one follow-up, so that we can accommodate as many participants as possible in the hour allotted"
4,"So let me go ahead and begin by saying that we are very pleased to announce a very strong earnings for the second quarter, with strong and balance results being reported by each of our operating segments"
5,"While in our first quarter, we noted that the somewhat sluggish overhang from the end of 2016 had negatively impacted margins and therefore our operating results"
6,"We felt that the market was improving, as sales picked up throughout the first quarter"
7,We anticipated that the spring selling season would be solid and that we would in fact see improved results as the year progress
8,These are exactly the conditions that drove our results for the second quarter
9,"We have continued to see strength in the housing market through the second quarter and have seen new orders, home deliveries and margins exceed our initial expectations"
10,"Generally speaking, in spite of the often noisy political environment, there continues to be a general sense of optimism in the market, there continues to be a perception that jobs are being created across the country and that wages are generally moving positively"
11,We often discussed labor shortage in many sectors of the economy is translating into a sense that many job sectors compensation is moving up and while much of the data collected by the government doesnâ€™t seem to reflect significant wage growth
12,The customers visiting our welcome home centers are reflecting an optimistic sentiment
13,There continues to be a general sentiment that the business environment is positive and that the governmental pro-business environment will result in at least job security and possibly some tax relief as well
14,"Overall, the attitude of our customers continues to confirm the sense that we have as business operators that the economic environment in general is strong and stable and improving"
15,The slow and steady though sometimes erratic market improvement that we have seen for the entirety of this recovery continues to seem to be giving way to a more definitive reversion to normal
16,"We continue to feel that limited supply and production deficits from the past years are now intersecting with land and labor shortage and we started to see some pricing power as we have moved through the selling season, somewhat offset however by construction costs increases"
17,Additionally the economic realities of a constrained and supply of housing options and the economic realities of higher rental rates are beginning to have a rational impact on decision making for the first time home buyer as millennials are continuing to come to the housing market
18,Across our platform each of our business segments benefits from the overall improvement in the market as we look ahead through the remainder of 2017.
19,We are expecting that each of our business segments will continue to grow to mature and to improve as we enter the back half of the year
20,"Against that backdrop, let me briefly discuss each of our operating business segments"
21,"To begin, our for sale core homebuilding operations continue to be extremely well positioned for a very strong 2017."
