,Word,Lemma,POSTag,Shape
0,Good,good,JJ,Xxxx
1,morning,morning,NN,xxxx
2,and,and,CC,xxx
3,thank,thank,VBP,xxxx
4,you,-PRON-,PRP,xxx
5,"
","
",_SP,"
"
6,This,this,DT,Xxxx
7,morning,morning,NN,xxxx
8,",",",",",",","
9,I,-PRON-,PRP,X
10,'m,be,VBP,'x
11,here,here,RB,xxxx
12,with,with,IN,xxxx
13,Rick,Rick,NNP,Xxxx
14,Beckwitt,Beckwitt,NNP,Xxxxx
15,",",",",",",","
16,our,-PRON-,PRP$,xxx
17,President,President,NNP,Xxxxx
18,;,;,:,;
19,Jon,Jon,NNP,Xxx
20,Jaffe,Jaffe,NNP,Xxxxx
21,",",",",",",","
22,Chief,Chief,NNP,Xxxxx
23,Operating,Operating,NNP,Xxxxx
24,Officer,Officer,NNP,Xxxxx
25,;,;,:,;
26,Bruce,Bruce,NNP,Xxxxx
27,Gross,Gross,NNP,Xxxxx
28,",",",",",",","
29,our,-PRON-,PRP$,xxx
30,Chief,Chief,NNP,Xxxxx
31,Financial,Financial,NNP,Xxxxx
32,Officer,Officer,NNP,Xxxxx
33,;,;,:,;
34,Dianne,Dianne,NNP,Xxxxx
35,Bessette,Bessette,NNP,Xxxxx
36,",",",",",",","
37,our,-PRON-,PRP$,xxx
38,Vice,Vice,NNP,Xxxx
39,President,President,NNP,Xxxxx
40,and,and,CC,xxx
41,Treasurer,Treasurer,NNP,Xxxxx
42,;,;,:,;
43,David,David,NNP,Xxxxx
44,Collins,Collins,NNP,Xxxxx
45,",",",",",",","
46,who,who,WP,xxx
47,you,-PRON-,PRP,xxx
48,just,just,RB,xxxx
49,heard,hear,VBD,xxxx
50,from,from,IN,xxxx
51,;,;,:,;
52,Jeff,Jeff,NNP,Xxxx
53,Krasnoff,Krasnoff,NNP,Xxxxx
54,",",",",",",","
55,CEO,CEO,NNP,XXX
56,of,of,IN,xx
57,Rialto,Rialto,NNP,Xxxxx
58,and,and,CC,xxx
59,others,other,NNS,xxxx
60,as,as,RB,xx
61,well,well,RB,xxxx
62,"
","
",_SP,"
"
63,As,as,IN,Xx
64,always,always,RB,xxxx
65,",",",",",",","
66,Iâ€,Iâ€,NNP,Xx€
67,™,™,CD,™
68,m,m,NNP,x
69,going,go,VBG,xxxx
70,to,to,TO,xx
71,start,start,VB,xxxx
72,with,with,IN,xxxx
73,a,a,DT,x
74,brief,brief,JJ,xxxx
75,overview,overview,NN,xxxx
76,"
","
",_SP,"
"
77,Bruce,Bruce,NNP,Xxxxx
78,will,will,MD,xxxx
79,deliver,deliver,VB,xxxx
80,further,further,JJ,xxxx
81,detail,detail,NN,xxxx
82,"
","
",_SP,"
"
83,And,and,CC,Xxx
84,then,then,RB,xxxx
85,weâ€,weâ€,NNP,xxx€
86,™,™,CD,™
87,ll,ll,VBD,xx
88,go,go,VB,xx
89,to,to,IN,xx
90,our,-PRON-,PRP$,xxx
91,Q&A,Q&A,NNP,X&X
92,portion,portion,NN,xxxx
93,where,where,WRB,xxxx
94,we,-PRON-,PRP,xx
95,ask,ask,VBP,xxx
96,your,-PRON-,PRP$,xxxx
97,indulgence,indulgence,NN,xxxx
98,that,that,IN,xxxx
99,you,-PRON-,PRP,xxx
100,limit,limit,VBP,xxxx
101,yourself,-PRON-,PRP,xxxx
102,to,to,IN,xx
103,one,one,CD,xxx
104,question,question,NN,xxxx
105,and,and,CC,xxx
106,one,one,CD,xxx
107,follow,follow,NN,xxxx
108,-,-,HYPH,-
109,up,up,NN,xx
110,so,so,IN,xx
111,that,that,IN,xxxx
112,we,-PRON-,PRP,xx
113,can,can,MD,xxx
114,accommodate,accommodate,VB,xxxx
115,as,as,RB,xx
116,many,many,JJ,xxxx
117,participants,participant,NNS,xxxx
118,as,as,IN,xx
119,possible,possible,JJ,xxxx
120,in,in,IN,xx
121,the,the,DT,xxx
122,hour,hour,NN,xxxx
123,that,that,WDT,xxxx
124,weâ€,weâ€,NNP,xxx€
125,™,™,CD,™
126,ve,ve,NNP,xx
127,allotted,allot,VBD,xxxx
128,"
","
",_SP,"
"
129,So,so,CC,Xx
130,let,let,VB,xxx
131,me,-PRON-,PRP,xx
132,go,go,VB,xx
133,ahead,ahead,RB,xxxx
134,and,and,CC,xxx
135,begin,begin,VB,xxxx
136,by,by,IN,xx
137,saying,say,VBG,xxxx
138,that,that,IN,xxxx
139,we,-PRON-,PRP,xx
140,are,be,VBP,xxx
141,very,very,RB,xxxx
142,pleased,pleased,JJ,xxxx
143,to,to,TO,xx
144,announce,announce,VB,xxxx
145,very,very,RB,xxxx
146,healthy,healthy,JJ,xxxx
147,earnings,earning,NNS,xxxx
148,for,for,IN,xxx
149,our,-PRON-,PRP$,xxx
150,third,third,JJ,xxxx
151,quarter,quarter,NN,xxxx
152,",",",",",",","
153,in,in,IN,xx
154,spite,spite,NN,xxxx
155,of,of,IN,xx
156,the,the,DT,xxx
157,active,active,JJ,xxxx
