,Word,Lemma,POSTag,Shape
0,Thanks,thanks,UH,Xxxxx
1,",",",",",",","
2,Rick,Rick,NNP,Xxxx
3,",",",",",",","
4,and,and,CC,xxx
5,good,good,JJ,xxxx
6,morning,morning,NN,xxxx
7,",",",",",",","
8,everyone,everyone,NN,xxxx
9,"
","
",_SP,"
"
10,Sales,sale,NNS,Xxxxx
11,for,for,IN,xxx
12,the,the,DT,xxx
13,second,second,JJ,xxxx
14,quarter,quarter,NN,xxxx
15,increased,increase,VBD,xxxx
16,6.8,6.8,CD,d.d
17,%,%,NN,%
18,to,to,IN,xx
19,$,$,$,$
20,19.5,19.5,CD,dd.d
21,billion,billion,CD,xxxx
22,",",",",",",","
23,supported,support,VBN,xxxx
24,by,by,IN,xx
25,total,total,JJ,xxxx
26,customer,customer,NN,xxxx
27,transaction,transaction,NN,xxxx
28,growth,growth,NN,xxxx
29,of,of,IN,xx
30,3.1,3.1,CD,d.d
31,%,%,NN,%
32,and,and,CC,xxx
33,average,average,JJ,xxxx
34,total,total,JJ,xxxx
35,ticket,ticket,NN,xxxx
36,growth,growth,NN,xxxx
37,of,of,IN,xx
38,3.5,3.5,CD,d.d
39,%,%,NN,%
40,to,to,IN,xx
41,$,$,$,$
42,71.40,71.40,CD,dd.dd
43,.,.,.,.
44,RONA,rona,NN,XXXX
45,sales,sale,NNS,xxxx
46,were,be,VBD,xxxx
47,approximately,approximately,RB,xxxx
48,$,$,$,$
49,1,1,CD,d
50,billion,billion,CD,xxxx
51,or,or,CC,xx
52,3,3,CD,d
53,%,%,NN,%
54,of,of,IN,xx
55,sales,sale,NNS,xxxx
56,growth,growth,NN,xxxx
57,"
","
",_SP,"
"
58,As,as,IN,Xx
59,a,a,DT,x
60,result,result,NN,xxxx
61,of,of,IN,xx
62,the,the,DT,xxx
63,calendar,calendar,NN,xxxx
64,shift,shift,NN,xxxx
65,from,from,IN,xxxx
66,the,the,DT,xxx
67,53rd,53rd,JJ,ddxx
68,week,week,NN,xxxx
69,in,in,IN,xx
70,fiscal,fiscal,JJ,xxxx
71,2016,2016,CD,dddd
72,",",",",",",","
73,this,this,DT,xxxx
74,yearâ€,yearâ€,NN,xxxx€
75,™,™,CD,™
76,s,s,POS,x
