,Word,Lemma,POSTag,Shape
0,Thank,thank,VBP,Xxxxx
1,you,-PRON-,PRP,xxx
2,",",",",",",","
3,Steve,Steve,NNP,Xxxxx
4,"
","
",_SP,"
"
5,I,-PRON-,PRP,X
6,appreciate,appreciate,VBP,xxxx
7,the,the,DT,xxx
8,opportunity,opportunity,NN,xxxx
9,to,to,TO,xx
10,join,join,VB,xxxx
11,the,the,DT,xxx
12,call,call,NN,xxxx
13,today,today,NN,xxxx
14,and,and,CC,xxx
15,update,update,VB,xxxx
16,everyone,everyone,NN,xxxx
17,on,on,IN,xx
18,the,the,DT,xxx
19,state,state,NN,xxxx
20,of,of,IN,xx
21,our,-PRON-,PRP$,xxx
22,U.S,U.S,NNP,X.X
23,"
","
",_SP,"
"
24,business,business,NN,xxxx
25,"
","
",_SP,"
"
26,continues,continue,VBZ,xxxx
27,to,to,TO,xx
28,demonstrate,demonstrate,VB,xxxx
29,solid,solid,JJ,xxxx
30,growth,growth,NN,xxxx
31,",",",",",",","
32,and,and,CC,xxx
33,I,-PRON-,PRP,X
34,'m,be,VBP,'x
35,proud,proud,JJ,xxxx
36,of,of,IN,xx
37,our,-PRON-,PRP$,xxx
38,system,system,NN,xxxx
39,and,and,CC,xxx
40,the,the,DT,xxx
41,progress,progress,NN,xxxx
42,we,-PRON-,PRP,xx
43,'re,be,VBP,'xx
44,making,make,VBG,xxxx
45,"
","
",_SP,"
"
46,As,as,IN,Xx
47,I,-PRON-,PRP,X
48,look,look,VBP,xxxx
49,ahead,ahead,RB,xxxx
50,to,to,IN,xx
51,2018,2018,CD,dddd
52,",",",",",",","
53,I,-PRON-,PRP,X
54,'m,be,VBP,'x
55,excited,excited,JJ,xxxx
56,about,about,IN,xxxx
57,our,-PRON-,PRP$,xxx
58,pipeline,pipeline,NN,xxxx
59,of,of,IN,xx
60,ideas,idea,NNS,xxxx
61,and,and,CC,xxx
62,the,the,DT,xxx
63,growth,growth,NN,xxxx
64,potential,potential,NN,xxxx
65,they,-PRON-,PRP,xxxx
66,offer,offer,VBP,xxxx
67,"
","
",_SP,"
"
68,For,for,IN,Xxx
69,us,-PRON-,PRP,xx
70,",",",",",",","
71,the,the,DT,xxx
72,key,key,NN,xxx
73,will,will,MD,xxxx
74,be,be,VB,xx
75,to,to,TO,xx
76,execute,execute,VB,xxxx
77,at,at,IN,xx
78,a,a,DT,x
79,really,really,RB,xxxx
80,high,high,JJ,xxxx
81,level,level,NN,xxxx
82,across,across,IN,xxxx
83,a,a,DT,x
84,number,number,NN,xxxx
85,of,of,IN,xx
86,initiatives,initiative,NNS,xxxx
87,and,and,CC,xxx
88,we,-PRON-,PRP,xx
89,'re,be,VBP,'xx
90,investing,invest,VBG,xxxx
91,a,a,DT,x
92,lot,lot,NN,xxx
93,of,of,IN,xx
94,time,time,NN,xxxx
95,and,and,CC,xxx
96,effort,effort,NN,xxxx
97,right,right,RB,xxxx
98,now,now,RB,xxx
99,to,to,TO,xx
100,get,get,VB,xxx
101,that,that,DT,xxxx
102,right,right,NN,xxxx
103,"
","
",_SP,"
"
104,Let,let,VB,Xxx
105,me,-PRON-,PRP,xx
106,provide,provide,VB,xxxx
107,more,more,JJR,xxxx
108,insight,insight,NN,xxxx
109,into,into,IN,xxxx
110,our,-PRON-,PRP$,xxx
111,Q3,Q3,NNP,Xd
112,performance,performance,NN,xxxx
113,and,and,CC,xxx
114,then,then,RB,xxxx
115,I,-PRON-,PRP,X
116,'ll,will,MD,'xx
117,talk,talk,VB,xxxx
118,about,about,IN,xxxx
119,how,how,WRB,xxx
120,we,-PRON-,PRP,xx
121,'re,be,VBP,'xx
122,preparing,prepare,VBG,xxxx
123,for,for,IN,xxx
124,2018,2018,CD,dddd
125,.,.,.,.
126,During,during,IN,Xxxxx
127,Q3,Q3,NNP,Xd
128,",",",",",",","
129,we,-PRON-,PRP,xx
130,grew,grow,VBD,xxxx
131,comp,comp,RB,xxxx
132,sales,sale,NNS,xxxx
133,4.1,4.1,CD,d.d
134,%,%,NN,%
135,",",",",",",","
136,resulting,result,VBG,xxxx
137,in,in,IN,xx
