,Word,Lemma,POSTag,Shape
0,Thanks,thanks,UH,Xxxxx
1,",",",",",",","
2,Mike,Mike,NNP,Xxxx
3,",",",",",",","
4,and,and,CC,xxx
5,good,good,JJ,xxxx
6,morning,morning,NN,xxxx
7,",",",",",",","
8,everyone,everyone,NN,xxxx
9,"
","
",_SP,"
"
10,As,as,IN,Xx
11,Mike,Mike,NNP,Xxxx
12,noted,note,VBD,xxxx
13,",",",",",",","
14,we,-PRON-,PRP,xx
15,made,make,VBD,xxxx
16,significant,significant,JJ,xxxx
17,progress,progress,NN,xxxx
18,throughout,throughout,IN,xxxx
19,2016,2016,CD,dddd
20,in,in,IN,xx
21,transforming,transform,VBG,xxxx
22,our,-PRON-,PRP$,xxx
23,organization,organization,NN,xxxx
24,"
","
",_SP,"
"
25,We,-PRON-,PRP,Xx
26,achieved,achieve,VBD,xxxx
27,3.7,3.7,CD,d.d
28,%,%,NN,%
29,core,core,NN,xxxx
30,sales,sale,NNS,xxxx
31,growth,growth,NN,xxxx
32,while,while,IN,xxxx
33,delivering,deliver,VBG,xxxx
34,over,over,IN,xxxx
35,$,$,$,$
36,210,210,CD,ddd
37,million,million,CD,xxxx
38,in,in,IN,xx
39,synergies,synergy,NNS,xxxx
40,and,and,CC,xxx
41,Project,Project,NNP,Xxxxx
42,Renewal,Renewal,NNP,Xxxxx
43,savings,saving,NNS,xxxx
44,and,and,CC,xxx
45,progressed,progress,VBD,xxxx
46,deleveraging,deleverage,VBG,xxxx
47,the,the,DT,xxx
48,balance,balance,NN,xxxx
49,sheet,sheet,NN,xxxx
50,"
","
",_SP,"
"
51,We,-PRON-,PRP,Xx
52,also,also,RB,xxxx
53,refined,refine,VBD,xxxx
54,our,-PRON-,PRP$,xxx
55,portfolio,portfolio,NN,xxxx
56,with,with,IN,xxxx
57,some,some,DT,xxxx
58,strategic,strategic,JJ,xxxx
59,divestitures,divestiture,NNS,xxxx
60,and,and,CC,xxx
61,acquisitions,acquisition,NNS,xxxx
62,"
","
",_SP,"
"
63,Our,-PRON-,PRP$,Xxx
64,fourth,fourth,JJ,xxxx
65,quarter,quarter,NN,xxxx
66,results,result,NNS,xxxx
67,were,be,VBD,xxxx
68,solid,solid,JJ,xxxx
