,Word,Lemma,POSTag,Shape
0,Thanks,thanks,UH,Xxxxx
1,",",",",",",","
2,Mark,Mark,NNP,Xxxx
3,and,and,CC,xxx
4,Trevor,Trevor,NNP,Xxxxx
5,",",",",",",","
6,and,and,CC,xxx
7,hello,hello,UH,xxxx
8,to,to,IN,xx
9,everyone,everyone,NN,xxxx
10,on,on,IN,xx
11,the,the,DT,xxx
12,call,call,NN,xxxx
13,"
","
",_SP,"
"
14,We,-PRON-,PRP,Xx
15,are,be,VBP,xxx
16,pleased,pleased,JJ,xxxx
17,with,with,IN,xxxx
18,the,the,DT,xxx
19,results,result,NNS,xxxx
20,that,that,WDT,xxxx
21,we,-PRON-,PRP,xx
22,delivered,deliver,VBD,xxxx
23,in,in,IN,xx
24,Q3,Q3,NNP,Xd
25,",",",",",",","
26,and,and,CC,xxx
27,",",",",",",","
28,at,at,IN,xx
29,the,the,DT,xxx
30,same,same,JJ,xxxx
31,time,time,NN,xxxx
32,",",",",",",","
33,we,-PRON-,PRP,xx
34,are,be,VBP,xxx
35,not,not,RB,xxx
36,satisfied,satisfied,JJ,xxxx
37,"
","
",_SP,"
"
38,We,-PRON-,PRP,Xx
39,are,be,VBP,xxx
40,pleased,pleased,JJ,xxxx
41,",",",",",",","
42,because,because,IN,xxxx
43,we,-PRON-,PRP,xx
44,continue,continue,VBP,xxxx
45,to,to,TO,xx
46,strengthen,strengthen,VB,xxxx
47,the,the,DT,xxx
48,fundamental,fundamental,JJ,xxxx
49,drivers,driver,NNS,xxxx
50,of,of,IN,xx
51,NIKEâ€,NIKEâ€,NNP,XXXXx€
52,™,™,CD,™
53,s,s,POS,x
54,long,long,JJ,xxxx
55,-,-,HYPH,-
56,term,term,NN,xxxx
57,revenue,revenue,NN,xxxx
58,growth,growth,NN,xxxx
59,and,and,CC,xxx
60,earnings,earning,NNS,xxxx
61,potential,potential,NN,xxxx
62,"
","
",_SP,"
"
63,Our,-PRON-,PRP$,Xxx
64,financial,financial,JJ,xxxx
65,strategy,strategy,NN,xxxx
66,has,have,VBZ,xxx
67,three,three,CD,xxxx
68,pillars,pillar,NNS,xxxx
69,;,;,:,;
70,delivering,deliver,VBG,xxxx
71,strong,strong,JJ,xxxx
