,Word,Lemma,POSTag,Shape
0,Thanks,thanks,UH,Xxxxx
1,",",",",",",","
2,Blake,Blake,NNP,Xxxxx
3,"
","
",_SP,"
"
4,Our,-PRON-,PRP$,Xxx
5,2016,2016,CD,dddd
6,results,result,NNS,xxxx
7,demonstrated,demonstrate,VBD,xxxx
8,our,-PRON-,PRP$,xxx
9,team,team,NN,xxxx
10,'s,'s,POS,'x
11,speed,speed,NN,xxxx
12,and,and,CC,xxx
13,agility,agility,NN,xxxx
14,in,in,IN,xx
15,responding,respond,VBG,xxxx
16,to,to,IN,xx
17,changes,change,NNS,xxxx
18,in,in,IN,xx
19,business,business,NN,xxxx
20,conditions,condition,NNS,xxxx
21,and,and,CC,xxx
22,in,in,IN,xx
23,making,make,VBG,xxxx
24,fundamental,fundamental,JJ,xxxx
25,improvements,improvement,NNS,xxxx
26,to,to,IN,xx
27,our,-PRON-,PRP$,xxx
28,operating,operating,NN,xxxx
29,model,model,NN,xxxx
30,"
","
",_SP,"
"
31,Throughout,throughout,IN,Xxxxx
32,the,the,DT,xxx
33,year,year,NN,xxxx
34,",",",",",",","
35,we,-PRON-,PRP,xx
36,took,take,VBD,xxxx
37,aggressive,aggressive,JJ,xxxx
38,actions,action,NNS,xxxx
39,to,to,TO,xx
40,prioritize,prioritize,VB,xxxx
41,our,-PRON-,PRP$,xxx
42,resources,resource,NNS,xxxx
43,and,and,CC,xxx
44,optimize,optimize,VB,xxxx
45,inventory,inventory,NN,xxxx
46,turns,turn,VBZ,xxxx
47,"
","
",_SP,"
"
48,These,these,DT,Xxxxx
49,efforts,effort,NNS,xxxx
50,have,have,VBP,xxxx
51,translated,translate,VBN,xxxx
52,into,into,IN,xxxx
53,stabilized,stabilize,VBN,xxxx
54,retail,retail,JJ,xxxx
55,operating,operating,NN,xxxx
56,margins,margin,NNS,xxxx
57,over,over,IN,xxxx
58,the,the,DT,xxx
59,past,past,JJ,xxxx
60,three,three,CD,xxxx
61,quarters,quarter,NNS,xxxx
62,combined,combine,VBN,xxxx
63,"
","
",_SP,"
"
64,We,-PRON-,PRP,Xx
65,also,also,RB,xxxx
66,generated,generate,VBD,xxxx
67,operating,operate,VBG,xxxx
68,cash,cash,NN,xxxx
