,Sentences
0,"Good afternoon, and welcome to our call"
1,"In addition to reviewing the third quarter results, Iâ€™ll share some key initiatives that weâ€™re focusing on for the remainder of the year"
2,"For the third quarter, we reported earnings per diluted share of $0.67."
3,"We estimate these earnings were reduced by roughly $0.04 from hurricanes Maria, Irma and Harvey which affected our stores in Puerto Rico, South East Florida and Huston"
4,The damage in Puerto Rico was particularly extensive requiring us to close the store as we continue our repair efforts
5,Weâ€™re grateful to our teams in each of these communities who have extended themselves to help our employees and customers
6,We reported total sales growth of 2% and a comp decrease of 0.9%
7,Lost sales from the hurricanes accounted for approximately $20 million or 60 basis points
8,"When adjusting for this impact, our overall sales performance was generally in line with our expectations"
9,"This reflected consistent trends in our full-price business while in off-price, we experienced some deterioration relative to recent trends"
10,"In our Nordstrom brand, total sales decreased 1.2% and comps decreased 1.9%"
11,Sales in our full-line stores remained consistent with current trends
12,"As we expected, Nordstrom"
13,com sales reflected a higher volume of returns associated with Anniversary sales last quarter
14,"When we combine July and August to adjust for this timing impact, Nordstrom"
15,com grew at a mid-teens rate
16,"In our Nordstrom Rack brand, total sales increased 5.5% and comps increased 0.8%, which reflected a step down from recent trends"
17,"In hindsight, our sales plan at the beginning of the year was too aggressive"
18,"As a result, we found ourselves over-inventoried without the fluidity necessary to chase the business"
19,"This impacted our ability to provide newness, which led to softer results in the third quarter"
20,"We have made significant adjustments to our receipt plans to bring our inventories in line, and believe weâ€™re well- positioned for the fourth quarter in this regard"
21,"We recognize the opportunity to improve our top-line results, and are committed to providing good inventory flow, fashion-right merchandise, and the best value possible"
22,Our Nordstrom Rack business remains a highly productive model and is approaching $5 billion in sales for the year
23,Finding new ways to engage with customers on their terms is as important as ever
24,"Weâ€™re continually testing and learning from new concepts to deliver experiences that improve speed, convenience, and personalization for Nordstrom customers"
25,"This is core to our strategy of providing a differentiated selection of the best products, coupled with a high level of service and experience"
26,"Our most recent example is Nordstrom Local, a test retail concept thatâ€™s focused on services"
27,"Centrally located in West Hollywood, Nordstrom Local gives customers convenient access to personal stylists, alterations, online orders, and more"
28,"In the first four weeks since opening, weâ€™ve had thousands of customer interactions and are applying the learnings to innovate further"
29,"Ultimately, our goal is to drive increased customer engagement and market share"
30,"Another way weâ€™re engaging with customers on their terms is our Reserve Online and Try In-Store service, which we recently expanded to more than 50 stores across the country"
31,Our customers appreciate its speed and convenience
32,"It frees up their time, and if they choose to do additional shopping in our store, this results in a material lift in their spend"
33,Weâ€™re also connecting the digital and in-store experience with our Style Boards
34,This digital selling tool leverages the expertise of our salespeople and enables customers to receive personalized product recommendations on their mobile phones
35,"Providing newness is an important aspect of our approach with the customer, and weâ€™re encouraged by our recent collaborations with emerging brands"
36,Our Pop-In Shops give customers access to highly sought-after brands like Warby Parker and Goop
37,Our recent partnership with Everlane has been our most successful Pop-
38,In concept to date
39,Our partnerships with fashion influencers are another way weâ€™re creating inspiration and discovery for customers
40,"We collaborated with the popular fashion blog, Something Navy, to launch an exclusive capsule collection with our in-house Treasure & Bond brand"
41,"It was our largest brand launch ever, generating $2 million in demand for the first day"
42,We made additional progress in growing limited distribution products and our private label brands continue to outperform the Company average
43,We view our stores as a competitive asset and have invested in the markets in which we serve customers
44,Weâ€™ve strengthened our presence in Southern California with the relocation of two full-line stores to Century City and University Towne Center
45,Both openings well exceeded our plans
46,"Also this fall, we had 11 new Rack openings and one relocation in markets that include Los Angeles, Manhattan, and Seattle"
47,"In Canada, we opened the sixth and final of our announced full-line stores with our new store at Sherway Gardens in Toronto"
48,We look forward to introducing Nordstrom Rack to our Canadian customers starting next spring in Calgary and Toronto
