,Word,Lemma,POSTag,Shape
0,Thank,thank,VBP,Xxxxx
1,you,-PRON-,PRP,xxx
2,",",",",",",","
3,Barbara,Barbara,NNP,Xxxxx
4,"
","
",_SP,"
"
5,Our,-PRON-,PRP$,Xxx
6,3,3,CD,d
7,%,%,NN,%
8,comparable,comparable,JJ,xxxx
9,store,store,NN,xxxx
10,sales,sale,NNS,xxxx
11,gain,gain,NN,xxxx
12,was,be,VBD,xxx
13,driven,drive,VBN,xxxx
14,by,by,IN,xx
15,higher,high,JJR,xxxx
16,traffic,traffic,NN,xxxx
17,as,as,RB,xx
18,well,well,RB,xxxx
19,as,as,IN,xx
20,an,an,DT,xx
21,increase,increase,NN,xxxx
22,in,in,IN,xx
23,the,the,DT,xxx
24,size,size,NN,xxxx
25,of,of,IN,xx
26,the,the,DT,xxx
27,average,average,JJ,xxxx
28,basket,basket,NN,xxxx
29,"
","
",_SP,"
"
30,While,while,IN,Xxxxx
31,first,first,JJ,xxxx
32,quarter,quarter,NN,xxxx
33,operating,operate,VBG,xxxx
34,margin,margin,NN,xxxx
35,of,of,IN,xx
36,15.2,15.2,CD,dd.d
37,%,%,NN,%
38,decreased,decrease,VBD,xxxx
39,relative,relative,JJ,xxxx
40,to,to,IN,xx
41,last,last,JJ,xxxx
42,yearâ€,yearâ€,NNP,xxxx€
43,™,™,CD,™
44,s,s,POS,x
45,15.4,15.4,CD,dd.d
46,%,%,NN,%
47,",",",",",",","
48,it,-PRON-,PRP,xx
49,exceeded,exceed,VBD,xxxx
50,our,-PRON-,PRP$,xxx
51,expectations,expectation,NNS,xxxx
52,"
","
",_SP,"
"
53,Cost,cost,NN,Xxxx
54,of,of,IN,xx
55,goods,good,NNS,xxxx
56,sold,sell,VBN,xxxx
57,was,be,VBD,xxx
58,flat,flat,JJ,xxxx
59,for,for,IN,xxx
60,the,the,DT,xxx
61,quarter,quarter,NN,xxxx
62,"
","
",_SP,"
"
63,Merchandise,merchandise,NN,Xxxxx
64,margins,margin,NNS,xxxx
65,improved,improve,VBN,xxxx
66,by,by,IN,xx
67,15,15,CD,dd
68,basis,basis,NN,xxxx
69,points,point,NNS,xxxx
70,while,while,IN,xxxx
71,distribution,distribution,NN,xxxx
72,and,and,CC,xxx
73,occupancy,occupancy,NN,xxxx
74,costs,cost,NNS,xxxx
75,declined,decline,VBD,xxxx
76,by,by,IN,xx
77,15,15,CD,dd
78,and,and,CC,xxx
79,5,5,CD,d
80,basis,basis,NN,xxxx
81,points,point,NNS,xxxx
82,respectively,respectively,RB,xxxx
83,"
","
",_SP,"
"
84,These,these,DT,Xxxxx
85,improvements,improvement,NNS,xxxx
86,were,be,VBD,xxxx
87,offset,offset,VBN,xxxx
88,by,by,IN,xx
89,a,a,DT,x
90,35,35,CD,dd
91,basis,basis,NN,xxxx
92,point,point,NN,xxxx
93,increase,increase,NN,xxxx
94,in,in,IN,xx
95,freight,freight,NN,xxxx
96,expenses,expense,NNS,xxxx
97,"
","
",_SP,"
"
98,Selling,selling,NN,Xxxxx
99,",",",",",",","
100,general,general,JJ,xxxx
101,",",",",",",","
102,and,and,CC,xxx
103,administrative,administrative,JJ,xxxx
104,expenses,expense,NNS,xxxx
105,during,during,IN,xxxx
106,the,the,DT,xxx
107,period,period,NN,xxxx
108,increased,increase,VBN,xxxx
109,by,by,IN,xx
110,20,20,CD,dd
111,basis,basis,NN,xxxx
112,points,point,NNS,xxxx
113,mainly,mainly,RB,xxxx
114,due,due,IN,xxx
115,to,to,IN,xx
116,higher,high,JJR,xxxx
117,wages,wage,NNS,xxxx
118,"
","
",_SP,"
"
119,Earnings,earning,NNS,Xxxxx
120,per,per,IN,xxx
121,share,share,NN,xxxx
122,for,for,IN,xxx
123,the,the,DT,xxx
124,quarter,quarter,NN,xxxx
125,also,also,RB,xxxx
126,benefited,benefit,VBN,xxxx
127,by,by,IN,xx
128,$,$,$,$
129,0.01,0.01,CD,d.dd
130,due,due,IN,xxx
131,to,to,IN,xx
132,favorable,favorable,JJ,xxxx
133,expense,expense,NN,xxxx
134,timing,timing,NN,xxxx
135,that,that,WDT,xxxx
