,Word,Lemma,POSTag,Shape
0,Thank,thank,VBP,Xxxxx
1,you,-PRON-,PRP,xxx
2,",",",",",",","
3,Jason,Jason,NNP,Xxxxx
4,",",",",",",","
5,good,good,JJ,xxxx
6,morning,morning,NN,xxxx
7,",",",",",",","
8,everyone,everyone,NN,xxxx
9,"
","
",_SP,"
"
10,It,-PRON-,PRP,Xx
11,'s,be,VBZ,'x
12,been,be,VBN,xxxx
13,an,an,DT,xx
14,eventful,eventful,JJ,xxxx
15,quarter,quarter,NN,xxxx
16,and,and,CC,xxx
17,certainly,certainly,RB,xxxx
18,an,an,DT,xx
19,eventful,eventful,JJ,xxxx
20,year,year,NN,xxxx
21,and,and,CC,xxx
22,as,as,IN,xx
23,always,always,RB,xxxx
24,",",",",",",","
25,I,-PRON-,PRP,X
26,am,be,VBP,xx
27,pleased,pleased,JJ,xxxx
28,to,to,TO,xx
29,give,give,VB,xxxx
30,some,some,DT,xxxx
31,commentary,commentary,NN,xxxx
32,"
","
",_SP,"
"
33,I,-PRON-,PRP,X
34,'ll,will,MD,'xx
35,start,start,VB,xxxx
36,by,by,IN,xx
37,commenting,comment,VBG,xxxx
38,on,on,IN,xx
39,the,the,DT,xxx
40,unusual,unusual,JJ,xxxx
41,set,set,NN,xxx
42,of,of,IN,xx
43,hurricanes,hurricane,NNS,xxxx
44,we,-PRON-,PRP,xx
45,experienced,experience,VBD,xxxx
46,this,this,DT,xxxx
47,summer,summer,NN,xxxx
48,"
","
",_SP,"
"
49,I,-PRON-,PRP,X
50,know,know,VBP,xxxx
51,that,that,IN,xxxx
52,most,most,JJS,xxxx
53,of,of,IN,xx
54,the,the,DT,xxx
55,country,country,NN,xxxx
56,has,have,VBZ,xxx
57,moved,move,VBN,xxxx
58,on,on,RP,xx
59,to,to,IN,xx
60,other,other,JJ,xxxx
61,things,thing,NNS,xxxx
62,",",",",",",","
63,but,but,CC,xxx
64,this,this,DT,xxxx
65,was,be,VBD,xxx
66,such,such,PDT,xxxx
67,an,an,DT,xx
68,unusual,unusual,JJ,xxxx
69,and,and,CC,xxx
70,such,such,JJ,xxxx
71,an,an,DT,xx
72,impactful,impactful,JJ,xxxx
73,set,set,NN,xxx
74,of,of,IN,xx
75,storms,storm,NNS,xxxx
76,that,that,WDT,xxxx
77,I,-PRON-,PRP,X
78,need,need,VBP,xxxx
79,to,to,TO,xx
80,comment,comment,VB,xxxx
81,on,on,IN,xx
82,it,-PRON-,PRP,xx
83,"
","
",_SP,"
"
84,Firstly,firstly,RB,Xxxxx
85,",",",",",",","
86,I,-PRON-,PRP,X
87,would,would,MD,xxxx
88,like,like,VB,xxxx
89,to,to,TO,xx
90,emphasize,emphasize,VB,xxxx
91,just,just,RB,xxxx
92,how,how,WRB,xxx
93,unique,unique,JJ,xxxx
94,this,this,DT,xxxx
95,series,series,NN,xxxx
96,of,of,IN,xx
97,storms,storm,NNS,xxxx
98,was,be,VBD,xxx
99,"
","
",_SP,"
"
100,It,-PRON-,PRP,Xx
101,'s,be,VBZ,'x
102,highly,highly,RB,xxxx
103,unusual,unusual,JJ,xxxx
104,to,to,TO,xx
105,be,be,VB,xx
106,hit,hit,VBN,xxx
107,with,with,IN,xxxx
108,five,five,CD,xxxx
109,major,major,JJ,xxxx
110,hurricanes,hurricane,NNS,xxxx
111,in,in,IN,xx
112,a,a,DT,x
113,row,row,NN,xxx
114,under,under,IN,xxxx
115,any,any,DT,xxx
116,circumstances,circumstance,NNS,xxxx
117,",",",",",",","
118,but,but,CC,xxx
119,these,these,DT,xxxx
120,storms,storm,NNS,xxxx
121,were,be,VBD,xxxx
122,unusual,unusual,JJ,xxxx
123,for,for,IN,xxx
124,another,another,DT,xxxx
125,reason,reason,NN,xxxx
126,as,as,RB,xx
127,well,well,RB,xxxx
128,"
","
",_SP,"
"
129,Each,each,DT,Xxxx
130,of,of,IN,xx
131,these,these,DT,xxxx
132,storms,storm,NNS,xxxx
133,followed,follow,VBD,xxxx
134,a,a,DT,x
135,path,path,NN,xxxx
136,that,that,WDT,xxxx
137,exactly,exactly,RB,xxxx
138,matched,match,VBD,xxxx
