,Word,Lemma,POSTag,Shape
0,Thank,thank,VBP,Xxxxx
1,you,-PRON-,PRP,xxx
2,",",",",",",","
3,Howard,Howard,NNP,Xxxxx
4,",",",",",",","
5,and,and,CC,xxx
6,good,good,JJ,xxxx
7,afternoon,afternoon,NN,xxxx
8,",",",",",",","
9,everyone,everyone,NN,xxxx
10,"
","
",_SP,"
"
11,I,-PRON-,PRP,X
12,will,will,MD,xxxx
13,provide,provide,VB,xxxx
14,an,an,DT,xx
15,overview,overview,NN,xxxx
16,of,of,IN,xx
17,business,business,NN,xxxx
18,segment,segment,NN,xxxx
19,performance,performance,NN,xxxx
20,and,and,CC,xxx
21,highlight,highlight,VB,xxxx
22,some,some,DT,xxxx
23,of,of,IN,xx
24,the,the,DT,xxx
25,key,key,JJ,xxx
26,initiatives,initiative,NNS,xxxx
27,that,that,WDT,xxxx
28,are,be,VBP,xxx
29,under,under,IN,xxxx
30,way,way,NN,xxx
31,"
","
",_SP,"
"
32,I,-PRON-,PRP,X
33,will,will,MD,xxxx
34,then,then,RB,xxxx
35,turn,turn,VB,xxxx
36,the,the,DT,xxx
37,call,call,NN,xxxx
38,over,over,RP,xxxx
39,to,to,IN,xx
40,Scott,Scott,NNP,Xxxxx
41,to,to,TO,xx
42,take,take,VB,xxxx
43,us,-PRON-,PRP,xx
44,through,through,IN,xxxx
45,the,the,DT,xxx
46,financials,financial,NNS,xxxx
47,and,and,CC,xxx
48,our,-PRON-,PRP$,xxx
49,targets,target,NNS,xxxx
50,for,for,IN,xxx
51,Q2,Q2,NNP,Xd
52,.,.,.,.
53,At,at,IN,Xx
54,our,-PRON-,PRP$,xxx
55,Investor,Investor,NNP,Xxxxx
56,Day,Day,NNP,Xxx
57,in,in,IN,xx
58,December,December,NNP,Xxxxx
59,",",",",",",","
60,we,-PRON-,PRP,xx
61,outlined,outline,VBD,xxxx
62,a,a,DT,x
63,multiyear,multiyear,JJ,xxxx
64,plan,plan,NN,xxxx
65,to,to,TO,xx
66,further,further,RB,xxxx
67,elevate,elevate,VB,xxxx
68,the,the,DT,xxx
69,Starbucks,Starbucks,NNP,Xxxxx
70,brand,brand,NN,xxxx
71,",",",",",",","
72,elevate,elevate,VB,xxxx
73,our,-PRON-,PRP$,xxx
74,customer,customer,NN,xxxx
75,experience,experience,NN,xxxx
76,",",",",",",","
77,and,and,CC,xxx
78,ultimately,ultimately,RB,xxxx
79,amplify,amplify,VB,xxxx
80,Starbucks,Starbucks,NNP,Xxxxx
81,as,as,IN,xx
82,a,a,DT,x
83,consumer,consumer,NN,xxxx
84,destination,destination,NN,xxxx
85,around,around,IN,xxxx
86,the,the,DT,xxx
87,world,world,NN,xxxx
88,"
","
",_SP,"
"
89,We,-PRON-,PRP,Xx
90,also,also,RB,xxxx
91,reaffirmed,reaffirm,VBD,xxxx
92,our,-PRON-,PRP$,xxx
93,strategic,strategic,JJ,xxxx
94,priorities,priority,NNS,xxxx
95,over,over,IN,xxxx
96,the,the,DT,xxx
97,next,next,JJ,xxxx
98,five,five,CD,xxxx
99,years,year,NNS,xxxx
100,and,and,CC,xxx
101,provided,provide,VBN,xxxx
102,more,more,JJR,xxxx
103,clarity,clarity,NN,xxxx
104,around,around,IN,xxxx
105,our,-PRON-,PRP$,xxx
106,ongoing,ongoing,JJ,xxxx
107,investments,investment,NNS,xxxx
108,in,in,IN,xx
109,retail,retail,NN,xxxx
110,",",",",",",","
111,beverage,beverage,NN,xxxx
112,",",",",",",","
113,and,and,CC,xxx
114,digital,digital,JJ,xxxx
115,innovation,innovation,NN,xxxx
116,",",",",",",","
117,as,as,RB,xx
118,well,well,RB,xxxx
119,as,as,IN,xx
120,in,in,IN,xx
121,our,-PRON-,PRP$,xxx
122,partners,partner,NNS,xxxx
123,"
","
",_SP,"
"
124,Looking,look,VBG,Xxxxx
125,ahead,ahead,RB,xxxx
126,",",",",",",","
127,we,-PRON-,PRP,xx
128,believe,believe,VBP,xxxx
129,that,that,IN,xxxx
130,our,-PRON-,PRP$,xxx
131,clear,clear,JJ,xxxx
132,",",",",",",","
133,long,long,JJ,xxxx
