,Word,Lemma,POSTag,Shape
0,Good,good,JJ,Xxxx
1,morning,morning,NN,xxxx
2,"
","
",_SP,"
"
3,And,and,CC,Xxx
4,welcome,welcome,VB,xxxx
5,everyone,everyone,NN,xxxx
6,"
","
",_SP,"
"
7,As,as,IN,Xx
8,noted,note,VBN,xxxx
9,in,in,IN,xx
10,our,-PRON-,PRP$,xxx
11,press,press,NN,xxxx
12,release,release,NN,xxxx
13,",",",",",",","
14,we,-PRON-,PRP,xx
15,are,be,VBP,xxx
16,pleased,pleased,JJ,xxxx
17,with,with,IN,xxxx
18,and,and,CC,xxx
19,proud,proud,JJ,xxxx
20,of,of,IN,xx
21,our,-PRON-,PRP$,xxx
22,performance,performance,NN,xxxx
23,this,this,DT,xxxx
24,holiday,holiday,NN,xxxx
25,season,season,NN,xxxx
26,",",",",",",","
27,particularly,particularly,RB,xxxx
28,in,in,IN,xx
29,light,light,NN,xxxx
30,of,of,IN,xx
31,the,the,DT,xxx
32,challenging,challenging,JJ,xxxx
33,and,and,CC,xxx
34,volatile,volatile,JJ,xxxx
35,global,global,JJ,xxxx
36,retail,retail,JJ,xxxx
37,environment,environment,NN,xxxx
38,"
","
",_SP,"
"
39,Our,-PRON-,PRP$,Xxx
40,team,team,NN,xxxx
41,delivered,deliver,VBD,xxxx
42,top,top,JJ,xxx
43,line,line,NN,xxxx
44,growth,growth,NN,xxxx
45,in,in,IN,xx
46,each,each,DT,xxxx
47,of,of,IN,xx
48,our,-PRON-,PRP$,xxx
49,segments,segment,NNS,xxxx
50,",",",",",",","
51,highlighted,highlight,VBN,xxxx
52,by,by,IN,xx
53,positive,positive,JJ,xxxx
54,comparable,comparable,JJ,xxxx
55,store,store,NN,xxxx
56,sales,sale,NNS,xxxx
57,in,in,IN,xx
58,North,North,NNP,Xxxxx
59,America,America,NNP,Xxxxx
60,with,with,IN,xxxx
61,solid,solid,JJ,xxxx
62,demand,demand,NN,xxxx
63,across,across,IN,xxxx
64,channels,channel,NNS,xxxx
65,and,and,CC,xxx
66,overall,overall,JJ,xxxx
67,gross,gross,JJ,xxxx
68,margin,margin,NN,xxxx
69,expansion,expansion,NN,xxxx
70,"
","
",_SP,"
"
71,We,-PRON-,PRP,Xx
72,continued,continue,VBD,xxxx
73,to,to,TO,xx
74,grow,grow,VB,xxxx
75,our,-PRON-,PRP$,xxx
76,business,business,NN,xxxx
77,internationally,internationally,RB,xxxx
78,with,with,IN,xxxx
79,notable,notable,JJ,xxxx
80,strength,strength,NN,xxxx
81,in,in,IN,xx
82,Europe,Europe,NNP,Xxxxx
83,and,and,CC,xxx
84,mainland,mainland,NN,xxxx
85,China,China,NNP,Xxxxx
86,which,which,WDT,xxxx
87,represents,represent,VBZ,xxxx
88,significant,significant,JJ,xxxx
89,opportunities,opportunity,NNS,xxxx
90,for,for,IN,xxx
91,our,-PRON-,PRP$,xxx
92,brands,brand,NNS,xxxx
93,"
","
",_SP,"
"
94,Importantly,importantly,RB,Xxxxx
95,we,-PRON-,PRP,xx
96,opened,open,VBD,xxxx
97,our,-PRON-,PRP$,xxx
98,first,first,JJ,xxxx
99,Coach,Coach,NNP,Xxxxx
100,House,House,NNP,Xxxxx
101,global,global,JJ,xxxx
102,flagship,flagship,NN,xxxx
103,locations,location,NNS,xxxx
104,on,on,IN,xx
105,Fifth,Fifth,NNP,Xxxxx
106,Avenue,Avenue,NNP,Xxxxx
107,in,in,IN,xx
108,New,New,NNP,Xxx
109,York,York,NNP,Xxxx
110,City,City,NNP,Xxxx
111,and,and,CC,xxx
112,Regent,Regent,NNP,Xxxxx
113,Street,Street,NNP,Xxxxx
114,in,in,IN,xx
115,London,London,NNP,Xxxxx
116,which,which,WDT,xxxx
117,represent,represent,VBP,xxxx
118,the,the,DT,xxx
119,fullest,full,JJS,xxxx
120,expression,expression,NN,xxxx
121,of,of,IN,xx
122,our,-PRON-,PRP$,xxx
123,modern,modern,JJ,xxxx
124,luxury,luxury,NN,xxxx
125,vision,vision,NN,xxxx
126,to,to,IN,xx
127,date,date,NN,xxxx
128,and,and,CC,xxx
129,celebrate,celebrate,VB,xxxx
130,our,-PRON-,PRP$,xxx
131,heritage,heritage,NN,xxxx
132,and,and,CC,xxx
133,seventy,seventy,CD,xxxx
134,-,-,HYPH,-
135,five,five,CD,xxxx
136,year,year,NN,xxxx
137,history,history,NN,xxxx
138,of,of,IN,xx
139,craftsmanship,craftsmanship,NN,xxxx
140,"
","
",_SP,"
"
141,And,and,CC,Xxx
142,despite,despite,IN,xxxx
143,our,-PRON-,PRP$,xxx
144,deliberate,deliberate,JJ,xxxx
145,pullback,pullback,NN,xxxx
146,in,in,IN,xx
147,the,the,DT,xxx
148,North,North,NNP,Xxxxx
149,America,America,NNP,Xxxxx
150,wholesale,wholesale,JJ,xxxx
151,channel,channel,NN,xxxx
152,and,and,CC,xxx
153,unanticipated,unanticipated,JJ,xxxx
154,currency,currency,NN,xxxx
