,Sentences
0,"Thanks, John"
1,"As you have been hearing from many of the industry peers, this continues to be a challenging competitive and consumer environment"
2,"Thatâ€™s why we are particularly pleased by the ongoing progress we saw in the second quarter when we gained further momentum in the areas that we are already performing well and so improvement in the areas where performance needed more focus and our aggressive has come from both stores and digital channels, wherever our guests wants to shop us"
3,"From market share perspective, we saw broad-based market share gains across all ad discretionary categories"
4,"In hardlines, comparable sales grew between 3% and 4% in the second quarter, the strongest performance we have seen in 10 years"
5,Growth in this area was broad-based including double-digit growth in both videogames driven by Nintendo switch and Apple within electronics
6,Toys grew more than 3% with board games continuing to be a strong highlight
7,"This is an area where we already enjoy a leading market share position, but continue to grow and take further share due to our focus on innovation and differentiation within our assortment"
8,Our apparel and home categories both grew sales and market share in these tough markets
9,"In apparel, growth was widespread across subcategories as guests responded to fashion and newness all underpinned by value through great price right daily items"
10,"We were particularly pleased with the ongoing positive performance in kids, which continues to benefit from last yearâ€™s launch of Cat & Jack and is now achieving strong year-on-year sales growth and in our strong swim business"
11,"Like a performance in board games, we came to the year with the number one market share in swim and have extended that lead to become the clear destination for swim in the U.S"
12,"In home, digital was an important growth driver and we saw particularly strong performance from our threshold brand"
13,We are also very pleased with the performance of our seasonal businesses from greeting cards to outdoor furniture
14,"Within the seasonal event moments, our 4th of July holiday was strong as we quickly leverage guest and business insights from Memorial Day"
15,"In essentials, comp sales were up almost 1% benefiting from the launch of our Target Run and Done campaign that began in the first quarter"
16,"We are pleased with the response from our guests specifically with awareness and return on ad spend for this campaign, where results are higher than average"
17,"The top two messages guests recall from the campaign are that Target is convenient and I can fulfill all of my need to Target, which were our cool campaign goals"
18,Essentials are also seeing the early benefit from our work to improve our value perception
19,"Specifically, when we are price right daily on key audit and essentials, we are seeing increased traffic and unit sales trends"
20,"As Brian mentioned earlier, comp sales in the food and beverage category have stabilized and were flat in the second quarter"
21,We are seeing improvement based on our work to improve freshness and reliability as well as the work on value perception
22,"In produce, we saw high single-digit comp increases in the second quarter driven by even stronger growth in organics"
23,"And in adult beverage, we saw ongoing double-digit comp growth driven by assortment and display enhancements we have been rolling out across the country"
24,"Importantly, we continue to build food and beverage expertise on our team"
25,"Following the hiring of Jeff Burt to lead food and beverage in merchandising at the end of the first quarter, we announced that we have hired two new members of his team earlier this week"
26,"Looking ahead, Japanese total team, are focused on building on recent momentum"
27,"We know we need to enhance our assortment of convenient options for our guests through this ready to eat, ready to heat or ready to cook and save families time and money"
28,"In addition, we are focused on enhancing our exclusive brand assortment in food and beverage, while ensuring we are priced-right daily on key opening price point items"
29,"While overall we have much more to accomplish in the third quarter, our work to improve value perception across all of our assortment is already beginning to have an impact"
30,"Specifically, surveys are showing that consumers are noticing Targetâ€™s investment in price and value and we saw a much stronger mix of regular price selling in the second quarter as we sort to simplify our promotions, clarify our voice and bring great price right daily items into focus"
31,And itâ€™s working
32,"In fact, our second quarter balance of regular and promotional sales was consistent with levels we havenâ€™t seen since 2012, well before our credit card data breach that changed our promotional cadence and stance"
33,"Also encouraging was the fact that our unit share in key categories grew more quickly in dollar share, which is a key leading indicator of the impact of this work"
34,"At a high level, our second quarter average ticket also reflects the impact of this work"
35,"At first glance, reporting a slight decline in average ticket might not sound like good news, but when itâ€™s more than offset by an increase in traffic, the picture is more positive"
