,Word,Lemma,POSTag,Shape
0,Thanks,thanks,UH,Xxxxx
1,",",",",",",","
2,Brian,Brian,NNP,Xxxxx
3,",",",",",",","
4,and,and,CC,xxx
5,good,good,JJ,xxxx
6,morning,morning,NN,xxxx
7,",",",",",",","
8,everyone,everyone,NN,xxxx
9,"
","
",_SP,"
"
10,As,as,IN,Xx
11,Brian,Brian,NNP,Xxxxx
12,mentioned,mention,VBD,xxxx
13,earlier,earlier,RBR,xxxx
14,",",",",",",","
15,a,a,DT,x
16,key,key,JJ,xxx
17,priority,priority,NN,xxxx
18,of,of,IN,xx
19,our,-PRON-,PRP$,xxx
20,work,work,NN,xxxx
21,and,and,CC,xxx
22,operations,operation,NNS,xxxx
23,is,be,VBZ,xx
24,based,base,VBN,xxxx
25,on,on,IN,xx
26,the,the,DT,xxx
27,goal,goal,NN,xxxx
28,to,to,TO,xx
29,provide,provide,VB,xxxx
30,new,new,JJ,xxx
31,and,and,CC,xxx
32,reliable,reliable,JJ,xxxx
33,fulfillment,fulfillment,NN,xxxx
34,options,option,NNS,xxxx
35,for,for,IN,xxx
36,our,-PRON-,PRP$,xxx
37,guests,guest,NNS,xxxx
38,"
","
",_SP,"
"
39,As,as,IN,Xx
40,of,of,IN,xx
41,today,today,NN,xxxx
42,",",",",",",","
43,we,-PRON-,PRP,xx
44,have,have,VBP,xxxx
45,multiple,multiple,JJ,xxxx
46,new,new,JJ,xxx
47,fulfillment,fulfillment,NN,xxxx
48,options,option,NNS,xxxx
49,that,that,WDT,xxxx
50,are,be,VBP,xxx
51,in,in,IN,xx
52,some,some,DT,xxxx
53,phase,phase,NN,xxxx
54,of,of,IN,xx
55,testing,testing,NN,xxxx
56,or,or,CC,xx
57,rollout,rollout,NN,xxxx
58,across,across,IN,xxxx
59,our,-PRON-,PRP$,xxx
60,network,network,NN,xxxx
61,"
","
",_SP,"
"
62,We,-PRON-,PRP,Xx
63,offer,offer,VBP,xxxx
64,in,in,IN,xx
65,-,-,HYPH,-
66,store,store,NN,xxxx
67,pickup,pickup,NN,xxxx
68,of,of,IN,xx
69,digital,digital,JJ,xxxx
70,orders,order,NNS,xxxx
71,",",",",",",","
72,available,available,JJ,xxxx
73,in,in,IN,xx
