,Word,Lemma,POSTag,Shape
0,Thanks,thanks,UH,Xxxxx
1,",",",",",",","
2,Greg,Greg,NNP,Xxxx
3,",",",",",",","
4,and,and,CC,xxx
5,good,good,JJ,xxxx
6,afternoon,afternoon,NN,xxxx
7,",",",",",",","
8,everyone,everyone,NN,xxxx
9,"
","
",_SP,"
"
10,I,-PRON-,PRP,X
11,want,want,VBP,xxxx
12,to,to,TO,xx
13,take,take,VB,xxxx
14,a,a,DT,x
15,minute,minute,NN,xxxx
16,to,to,TO,xx
17,thank,thank,VB,xxxx
18,Greg,Greg,NNP,Xxxx
19,for,for,IN,xxx
20,allowing,allow,VBG,xxxx
21,me,-PRON-,PRP,xx
22,to,to,TO,xx
23,be,be,VB,xx
24,part,part,NN,xxxx
25,of,of,IN,xx
26,the,the,DT,xxx
27,best,good,JJS,xxxx
28,team,team,NN,xxxx
29,in,in,IN,xx
30,retail,retail,NN,xxxx
31,as,as,RB,xx
32,well,well,RB,xxxx
33,as,as,IN,xx
34,thank,thank,VBP,xxxx
35,all,all,DT,xxx
36,of,of,IN,xx
37,our,-PRON-,PRP$,xxx
38,dedicated,dedicated,JJ,xxxx
39,team,team,NN,xxxx
40,members,member,NNS,xxxx
41,that,that,WDT,xxxx
42,are,be,VBP,xxx
43,truly,truly,RB,xxxx
44,the,the,DT,xxx
45,heart,heart,NN,xxxx
46,and,and,CC,xxx
47,soul,soul,NN,xxxx
48,of,of,IN,xx
49,Tractor,Tractor,NNP,Xxxxx
50,Supply,Supply,NNP,Xxxxx
51,and,and,CC,xxx
52,have,have,VBP,xxxx
53,made,make,VBN,xxxx
54,the,the,DT,xxx
55,past,past,JJ,xxxx
56,11,11,CD,dd
57,years,year,NNS,xxxx
58,the,the,DT,xxx
59,best,good,JJS,xxxx
60,of,of,IN,xx
61,my,-PRON-,PRP$,xx
62,career,career,NN,xxxx
63,"
","
",_SP,"
"
64,We,-PRON-,PRP,Xx
65,will,will,MD,xxxx
66,be,be,VB,xx
67,completing,complete,VBG,xxxx
68,the,the,DT,xxx
69,transition,transition,NN,xxxx
70,at,at,IN,xx
71,the,the,DT,xxx
72,end,end,NN,xxx
73,of,of,IN,xx
74,February,February,NNP,Xxxxx
75,",",",",",",","
