,Sentences
0,"Thank you, Laurel"
1,Good afternoon everyone the Ulta Beauty team delivered very strong fourth quarter results capping an exceptional year of sales and earnings growth
2,While investing to drive market share gains and create substantial long-term shareholder value
3,Let me start with the quick review of the headwinds for the fourth quarter
4,We grew the top-line 24.6% and delivered 16.6% comps on top of 12.5% comps in the fourth quarter of 2015 driven by strong traffic and ticket growth
5,"Multiple factors strength across our product offerings, our best-in-class loyalty programs, great in store execution, investing in marketing and labor and steadily improving supply chain capabilities all work together to driver seller growth across both our retail and online business"
6,E-commerce growth exceeded our plan driven by strong traffic and outstanding fulfillment execution during the holiday
7,"Our services continue to gain share as we grow our business with existing guest and acquire new ones, significantly outpacing industry growth"
8,"In contrast with above plan sales growth, earnings per share growth of 32.5% also exceeded our expectations"
9,"Before I guide with the detailed review of the fourth quarter, I would like to highlight some of our key accomplishments for the full year"
10,"In fiscal 2016 we drove top-line growth of 23.7% and earnings growth of 30.9% well above our expectations at the beginning of the year achieving robust market share gains, solid execution and strong flow through on better than expected sales"
11,We achieved a 15.8% comps with 13.4% comps in-stores and 56.2% growth in e-commerce with healthy traffic and tick growth each quarter during the year
12,Underlying this financial performance with a many significant accomplishments we achieved as we executed against our six strategic imperatives
13,We opened 100 net new stores and continue to deliver very healthy new store productivity
14,"We completed more than 500 prestige brand expansions across new and existing stores and also executed update to the Ulta Beauty collection, fragrance area and nail fixtures"
15,"We added 69 new brands to our portfolio, reflecting the fact that Ulta Beauty is a great place for our brand partners to grow"
16,"We grew active membership in our loyalty program by 5.2 million members to 23.4 million active members, an increase of 28%"
17,We increased our aided brand awareness to 86% as we continue to drive marketing effectiveness and efficiency
18,We launched our - successfully launched our Ulta Beauty credit card program
19,"We continue to improve our supply chain capabilities, successfully opening a new DC in Dallas and further ramping the Greenwood DC we opened in 2015."
20,"Finally, we also seamlessly implemented several new core merchandising systems, which will improve our capabilities across merchandise planning and forecasting, as well as stage planning allocation, driving higher in stock as we continue to grow"
21,I am so proud of this team and the traffic year we delivered
22,Iâ€™d now like to go into a little bit more detail on some of the key drivers specific to our fourth quarter performance
