,Word,Lemma,POSTag,Shape
0,Good,good,JJ,Xxxx
1,afternoon,afternoon,NN,xxxx
2,",",",",",",","
3,everyone,everyone,NN,xxxx
4,"
","
",_SP,"
"
5,Our,-PRON-,PRP$,Xxx
6,third,third,JJ,xxxx
7,quarter,quarter,NN,xxxx
8,results,result,NNS,xxxx
9,clearly,clearly,RB,xxxx
10,demonstrate,demonstrate,VBP,xxxx
11,the,the,DT,xxx
12,strength,strength,NN,xxxx
13,and,and,CC,xxx
14,distinct,distinct,JJ,xxxx
15,advantages,advantage,NNS,xxxx
16,of,of,IN,xx
17,the,the,DT,xxx
18,Ulta,Ulta,NNP,Xxxx
19,Beauty,Beauty,NNP,Xxxxx
20,business,business,NN,xxxx
21,model,model,NN,xxxx
22,"
","
",_SP,"
"
23,We,-PRON-,PRP,Xx
24,delivered,deliver,VBD,xxxx
25,a,a,DT,x
26,double,double,JJ,xxxx
27,-,-,HYPH,-
28,digit,digit,NN,xxxx
29,comp,comp,NN,xxxx
30,in,in,IN,xx
31,spite,spite,NN,xxxx
32,of,of,IN,xx
33,a,a,DT,x
34,moderation,moderation,NN,xxxx
35,in,in,IN,xx
36,the,the,DT,xxx
37,growth,growth,NN,xxxx
38,rate,rate,NN,xxxx
39,of,of,IN,xx
40,our,-PRON-,PRP$,xxx
41,largest,large,JJS,xxxx
42,category,category,NN,xxxx
43,",",",",",",","
44,makeup,makeup,NN,xxxx
45,",",",",",",","
46,and,and,CC,xxx
47,meaningful,meaningful,JJ,xxxx
48,disruption,disruption,NN,xxxx
49,from,from,IN,xxxx
50,hurricanes,hurricane,NNS,xxxx
51,"
","
",_SP,"
"
52,We,-PRON-,PRP,Xx
53,flexed,flex,VBD,xxxx
54,our,-PRON-,PRP$,xxx
55,merchandising,merchandising,NN,xxxx
56,and,and,CC,xxx
57,marketing,marketing,NN,xxxx
58,plans,plan,NNS,xxxx
59,",",",",",",","
60,leveraged,leverage,VBN,xxxx
61,our,-PRON-,PRP$,xxx
62,consumer,consumer,NN,xxxx
63,insights,insight,NNS,xxxx
64,and,and,CC,xxx
65,CRM,CRM,NNP,XXX
66,platform,platform,NN,xxxx
67,",",",",",",","
68,and,and,CC,xxx
69,worked,work,VBD,xxxx
70,with,with,IN,xxxx
71,our,-PRON-,PRP$,xxx
72,brand,brand,NN,xxxx
73,partners,partner,NNS,xxxx
74,to,to,TO,xx
75,create,create,VB,xxxx
76,compelling,compelling,JJ,xxxx
77,offers,offer,NNS,xxxx
78,for,for,IN,xxx
79,our,-PRON-,PRP$,xxx
80,guests,guest,NNS,xxxx
81,"
","
",_SP,"
"
82,We,-PRON-,PRP,Xx
83,also,also,RB,xxxx
84,benefitted,benefit,VBD,xxxx
85,from,from,IN,xxxx
86,the,the,DT,xxx
87,unmatched,unmatched,JJ,xxxx
88,breadth,breadth,NN,xxxx
89,of,of,IN,xx
90,beauty,beauty,NN,xxxx
91,categories,category,NNS,xxxx
92,and,and,CC,xxx
93,products,product,NNS,xxxx
94,that,that,WDT,xxxx
95,we,-PRON-,PRP,xx
96,offer,offer,VBP,xxxx
97,"
","
",_SP,"
"
98,These,these,DT,Xxxxx
99,levers,lever,NNS,xxxx
100,allowed,allow,VBD,xxxx
101,us,-PRON-,PRP,xx
102,to,to,TO,xx
103,drive,drive,VB,xxxx
104,significant,significant,JJ,xxxx
105,share,share,NN,xxxx
106,gains,gain,NNS,xxxx
107,",",",",",",","
108,continue,continue,VBP,xxxx
109,to,to,TO,xx
110,rapidly,rapidly,RB,xxxx
111,grow,grow,VB,xxxx
112,our,-PRON-,PRP$,xxx
113,base,base,NN,xxxx
114,of,of,IN,xx
115,loyalty,loyalty,NN,xxxx
116,members,member,NNS,xxxx
117,",",",",",",","
118,and,and,CC,xxx
119,thrive,thrive,VB,xxxx
120,in,in,IN,xx
121,spite,spite,NN,xxxx
122,of,of,IN,xx
123,shifting,shift,VBG,xxxx
124,category,category,NN,xxxx
125,trends,trend,NNS,xxxx
126,within,within,IN,xxxx
127,the,the,DT,xxx
128,beauty,beauty,NN,xxxx
129,industry,industry,NN,xxxx
130,and,and,CC,xxx
131,disruption,disruption,NN,xxxx
132,in,in,IN,xx
133,some,some,DT,xxxx
134,of,of,IN,xx
135,our,-PRON-,PRP$,xxx
136,largest,large,JJS,xxxx
137,markets,market,NNS,xxxx
138,"
","
",_SP,"
"
139,Before,before,IN,Xxxxx
140,I,-PRON-,PRP,X
141,share,share,VBP,xxxx
142,our,-PRON-,PRP$,xxx
143,results,result,NNS,xxxx
144,",",",",",",","
145,including,include,VBG,xxxx
146,the,the,DT,xxx
147,financial,financial,JJ,xxxx
148,impact,impact,NN,xxxx
149,of,of,IN,xx
150,the,the,DT,xxx
151,hurricanes,hurricane,NNS,xxxx
152,",",",",",",","
153,I,-PRON-,PRP,X
154,would,would,MD,xxxx
155,like,like,VB,xxxx
156,to,to,TO,xx
157,take,take,VB,xxxx
158,a,a,DT,x
159,moment,moment,NN,xxxx
160,to,to,TO,xx
161,mention,mention,VB,xxxx
162,the,the,DT,xxx
163,fantastic,fantastic,JJ,xxxx
164,job,job,NN,xxx
165,our,-PRON-,PRP$,xxx
166,teams,team,NNS,xxxx
167,did,do,VBD,xxx
168,to,to,TO,xx
169,prepare,prepare,VB,xxxx
170,for,for,IN,xxx
171,the,the,DT,xxx
172,storms,storm,NNS,xxxx
173,",",",",",",","
174,support,support,VB,xxxx
175,our,-PRON-,PRP$,xxx
176,field,field,NN,xxxx
177,associates,associate,NNS,xxxx
178,who,who,WP,xxx
179,were,be,VBD,xxxx
180,personally,personally,RB,xxxx
181,impacted,impact,VBN,xxxx
182,and,and,CC,xxx
183,get,get,VB,xxx
184,our,-PRON-,PRP$,xxx
185,stores,store,NNS,xxxx
186,back,back,RB,xxxx
187,up,up,RB,xx
188,and,and,CC,xxx
189,running,run,VBG,xxxx
190,following,follow,VBG,xxxx
191,an,an,DT,xx
192,incredibly,incredibly,RB,xxxx
193,challenging,challenging,JJ,xxxx
194,time,time,NN,xxxx
195,for,for,IN,xxx
196,these,these,DT,xxxx
197,regions,region,NNS,xxxx
198,"
","
",_SP,"
"
199,It,-PRON-,PRP,Xx
200,was,be,VBD,xxx
201,truly,truly,RB,xxxx
202,inspiring,inspiring,JJ,xxxx
203,to,to,TO,xx
204,see,see,VB,xxx
205,the,the,DT,xxx
206,collaboration,collaboration,NN,xxxx
207,and,and,CC,xxx
208,caring,care,VBG,xxxx
209,from,from,IN,xxxx
210,all,all,DT,xxx
211,corners,corner,NNS,xxxx
212,of,of,IN,xx
213,our,-PRON-,PRP$,xxx
214,organization,organization,NN,xxxx
215,to,to,TO,xx
216,manage,manage,VB,xxxx
217,through,through,IN,xxxx
218,this,this,DT,xxxx
219,period,period,NN,xxxx
220,"
","
",_SP,"
"
221,To,to,TO,Xx
222,recap,recap,VB,xxxx
223,our,-PRON-,PRP$,xxx
224,third,third,JJ,xxxx
225,quarter,quarter,NN,xxxx
226,financial,financial,JJ,xxxx
227,performance,performance,NN,xxxx
228,",",",",",",","
229,we,-PRON-,PRP,xx
230,grew,grow,VBD,xxxx
231,the,the,DT,xxx
232,top,top,JJ,xxx
233,line,line,NN,xxxx
234,18.6,18.6,CD,dd.d
235,%,%,NN,%
236,and,and,CC,xxx
237,delivered,deliver,VBD,xxxx
238,healthy,healthy,JJ,xxxx
239,10.3,10.3,CD,dd.d
240,%,%,NN,%
241,comps,comp,NNS,xxxx
242,on,on,IN,xx
243,top,top,NN,xxx
244,of,of,IN,xx
245,16.7,16.7,CD,dd.d
246,%,%,NN,%
247,comps,comp,NNS,xxxx
248,in,in,IN,xx
249,the,the,DT,xxx
250,third,third,JJ,xxxx
251,quarter,quarter,NN,xxxx
252,of,of,IN,xx
253,2016,2016,CD,dddd
254,",",",",",",","
255,an,an,DT,xx
256,acceleration,acceleration,NN,xxxx
257,on,on,IN,xx
258,a,a,DT,x
259,two,two,CD,xxx
260,-,-,HYPH,-
261,year,year,NN,xxxx
262,stack,stack,NN,xxxx
263,compared,compare,VBN,xxxx
264,to,to,IN,xx
265,the,the,DT,xxx
266,second,second,JJ,xxxx
267,quarter,quarter,NN,xxxx
268,"
","
",_SP,"
"
269,The,the,DT,Xxx
270,disruption,disruption,NN,xxxx
271,from,from,IN,xxxx
272,the,the,DT,xxx
273,hurricanes,hurricane,NNS,xxxx
274,of,of,IN,xx
275,Florida,Florida,NNP,Xxxxx
276,and,and,CC,xxx
277,Texas,Texas,NNP,Xxxxx
278,negatively,negatively,RB,xxxx
279,impacted,impact,VBD,xxxx
280,our,-PRON-,PRP$,xxx
281,results,result,NNS,xxxx
282,by,by,IN,xx
283,a,a,DT,x
284,little,little,JJ,xxxx
285,more,more,JJR,xxxx
286,than,than,IN,xxxx
287,a,a,DT,x
288,point,point,NN,xxxx
289,of,of,IN,xx
290,comp,comp,NNP,xxxx
291,"
","
",_SP,"
"
292,Comp,Comp,NNP,Xxxx
293,sales,sale,NNS,xxxx
294,were,be,VBD,xxxx
295,driven,drive,VBN,xxxx
296,by,by,IN,xx
297,balanced,balanced,JJ,xxxx
298,traffic,traffic,NN,xxxx
299,and,and,CC,xxx
300,ticket,ticket,NN,xxxx
301,growth,growth,NN,xxxx
302,and,and,CC,xxx
303,continued,continued,JJ,xxxx
304,strength,strength,NN,xxxx
305,in,in,IN,xx
306,e,e,NN,x
307,-,-,NN,-
308,commerce,commerce,NN,xxxx
309,"
","
",_SP,"
"
310,In,in,IN,Xx
311,terms,term,NNS,xxxx
312,of,of,IN,xx
313,category,category,NN,xxxx
314,trends,trend,NNS,xxxx
315,",",",",",",","
316,our,-PRON-,PRP$,xxx
317,highest,high,JJS,xxxx
