,Word,Lemma,POSTag,Shape
0,Thank,thank,VBP,Xxxxx
1,you,-PRON-,PRP,xxx
2,Keith,Keith,NNP,Xxxxx
3,and,and,CC,xxx
4,good,good,JJ,xxxx
5,morning,morning,NN,xxxx
6,",",",",",",","
7,everyone,everyone,NN,xxxx
8,"
","
",_SP,"
"
9,Given,give,VBN,Xxxxx
10,the,the,DT,xxx
11,weather,weather,NN,xxxx
12,that,that,WDT,xxxx
13,I,-PRON-,PRP,X
14,see,see,VBP,xxx
15,in,in,IN,xx
16,the,the,DT,xxx
17,Northeast,Northeast,NNP,Xxxxx
18,this,this,DT,xxxx
19,morning,morning,NN,xxxx
20,",",",",",",","
21,I,-PRON-,PRP,X
22,am,be,VBP,xx
23,pleased,pleased,JJ,xxxx
24,that,that,IN,xxxx
25,you,-PRON-,PRP,xxx
26,could,could,MD,xxxx
27,join,join,VB,xxxx
28,us,-PRON-,PRP,xx
29,today,today,NN,xxxx
30,as,as,IN,xx
31,we,-PRON-,PRP,xx
32,share,share,VBP,xxxx
33,with,with,IN,xxxx
34,you,-PRON-,PRP,xxx
35,a,a,DT,x
36,review,review,NN,xxxx
37,of,of,IN,xx
38,our,-PRON-,PRP$,xxx
39,results,result,NNS,xxxx
40,and,and,CC,xxx
41,discuss,discuss,VB,xxxx
42,the,the,DT,xxx
43,future,future,JJ,xxxx
44,opportunities,opportunity,NNS,xxxx
45,for,for,IN,xxx
46,Yum,Yum,NNP,Xxx
47,!,!,.,!
48,Brands,brand,NNS,Xxxxx
49,"
","
",_SP,"
"
50,2016,2016,CD,dddd
51,was,be,VBD,xxx
52,truly,truly,RB,xxxx
53,a,a,DT,x
54,landmark,landmark,NN,xxxx
55,year,year,NN,xxxx
56,"
","
",_SP,"
"
57,On,on,IN,Xx
58,October,October,NNP,Xxxxx
59,31,31,CD,dd
60,",",",",",",","
61,we,-PRON-,PRP,xx
62,completed,complete,VBD,xxxx
63,the,the,DT,xxx
64,spinoff,spinoff,NN,xxxx
65,of,of,IN,xx
66,the,the,DT,xxx
67,China,China,NNP,Xxxxx
68,business,business,NN,xxxx
69,"
","
",_SP,"
"
70,This,this,DT,Xxxx
71,marked,mark,VBD,xxxx
72,the,the,DT,xxx
73,largest,large,JJS,xxxx
74,strategic,strategic,JJ,xxxx
75,initiative,initiative,NN,xxxx
76,undertaken,undertake,VBN,xxxx
77,by,by,IN,xx
78,Yum,Yum,NNP,Xxx
79,!,!,.,!
80,since,since,IN,xxxx
81,our,-PRON-,PRP$,xxx
82,spinoff,spinoff,NN,xxxx
83,from,from,IN,xxxx
84,Pepsi,Pepsi,NNP,Xxxxx
85,20,20,CD,dd
86,years,year,NNS,xxxx
87,ago,ago,RB,xxx
88,"
","
",_SP,"
"
89,I,-PRON-,PRP,X
90,'d,would,MD,'x
91,like,like,VB,xxxx
92,to,to,TO,xx
93,recognize,recognize,VB,xxxx
94,the,the,DT,xxx
95,work,work,NN,xxxx
96,",",",",",",","
97,effort,effort,NN,xxxx
98,",",",",",",","
99,and,and,CC,xxx
100,diligence,diligence,NN,xxxx
101,across,across,IN,xxxx
102,the,the,DT,xxx
103,organization,organization,NN,xxxx
104,that,that,WDT,xxxx
105,enabled,enable,VBD,xxxx
106,us,-PRON-,PRP,xx
107,to,to,TO,xx
108,complete,complete,VB,xxxx
109,the,the,DT,xxx
110,spinoff,spinoff,NN,xxxx
111,on,on,IN,xx
112,time,time,NN,xxxx
113,and,and,CC,xxx
114,with,with,IN,xxxx
115,such,such,JJ,xxxx
116,success,success,NN,xxxx
117,"
","
",_SP,"
"
118,The,the,DT,Xxx
119,spinoff,spinoff,NN,xxxx
120,and,and,CC,xxx
121,concurrent,concurrent,JJ,xxxx
122,return,return,NN,xxxx
123,of,of,IN,xx
124,$,$,$,$
125,6.2,6.2,CD,d.d
126,billion,billion,CD,xxxx
127,to,to,IN,xx
128,shareholders,shareholder,NNS,xxxx
129,in,in,IN,xx
130,2016,2016,CD,dddd
131,concluded,conclude,VBN,xxxx
132,step,step,NN,xxxx
133,one,one,CD,xxx
134,in,in,IN,xx
