,Sentences
0,"Thank you, Keith, and good morning, everyone"
1,"We are pleased our momentum continued through yet another quarter, driven by our continued focus on our four key growth drivers"
2,For the second quarter Yum!
3,"Brands delivered core operating profit growth of 19% and EPS excluding Special Items of $0.68, representing 21% growth over prior year"
4,System sales grew 6% comprised of 2% same-store sales growth and 3% net new unit development
5,The underlying base rate of growth in our business both in terms of sales trends and profit contribution continues to track in line with our plans and longer term goals
6,"As such, we are maintaining our 2017 full-year guidance"
7,"Before I review our key growth drivers, I want to note that our core operating profit growth for the second quarter in our KFC Division benefited from several items outside of our normal run rate, which David will discuss in more detail next"
8,"Now to our four key growth drivers, which are at the forefront of every decision at Yum!"
9,I will talk to you about unrivaled culture and talent and our distinctive relevant brand
10,Then David will discuss unmatched franchise operating capability and bold restaurant development
11,"First, unrivaled culture and talent, Yum!'s greatest asset for driving results"
12,"This year, I'm continuing my commitment to championing our culture and talent not only with our own employees but also throughout the franchise system"
13,I strongly believe that leading and investing in our culture is the best way to fuel better business result
14,and I'm excited to see our franchisees embracing these ideas and learning to grow our iconic brand
15,"I can tell you that our people and our franchisees are energized, our transformation agenda is taking hold, and our culture is stronger than ever"
16,"Next, let's talk about how this culture is fueling results in our three distinctive relevant brands, starting with KFC, which is truly a global powerhouse"
17,The brand continues to be Yum!
18,"'s most consistent, largest and fastest growing concept with a presence across 129 countries, providing the scale and diversification for a powerful business model"
19,"Representing approximately 50% of Yum!'s operating profit, KFC has nearly 21,000 units across the globe"
20,"During the second quarter, system sales grew 7% with same-store sales growth of 3% and net new development of 4%"
21,"We are proud to highlight that in 18 of our 20 KFC business units across both emerging and developed countries, KFC reported positive same-store system sales this quarter"
22,"the second quarter represented KFC's 12th consecutive quarter of same-store sales growth at a healthy 2%, or 4% on a two-year stack"
23,The $5 Individual Fill Up and $20 Family Fill Up are at price points that resonate with the consumers and leverage the core menu of finger lickin' good chicken and sides
24,The team has truly embraced the idea of moving from food as fuel to food as an experience
25,"Just look at the Colonel drive-thru robot, the online retail store and the proof that KFC is literally out of this world"
26,Who else has sent a sandwich into space?
27,"As further proof KFC is back atop the cultural conversation, the online retail store, KFC Ltd"
28,", was mentioned in media spanning from the Huffington Post to Golf Digest"
29,"At the end of launch day, 18 of 29 products had sold out"
30,"The standout item was a $20,000 400-year-old meteorite in the shape of a Zinger chicken sandwich, selling within 24 hours with several other interested buyers as the sale was pending"
31,These are truly remarkable events and something no one would have believed possible three years ago
32,"Our KFC international markets, representing nearly 90% of KFC's profits, also performed well, in particular, our Turkey and Australia markets"
33,"In fact, our Australia market delivered 7% same-store sales growth, driven by the launch of frozen beverages and a strong value, such as the $2.50 chips and gravy and 24 nuggets for $10."
34,"Our Turkey market delivered same-store sales growth of 23%, driven by balancing the promotional mix between high-end bucket promotions and low-end offerings along with LTOs, which attracted new customers and grew transaction"
