,Word,Lemma,POSTag,Shape
0,Thanks,thank,NNS,Xxxxx
1,Devin,Devin,NNP,Xxxxx
2,"
","
",_SP,"
"
3,Letâ€,Letâ€,NNP,Xxxx€
4,™,™,CD,™
5,s,s,PRP,x
6,begin,begin,VBP,xxxx
7,with,with,IN,xxxx
8,Q4,Q4,NNP,Xd
9,",",",",",",","
10,performance,performance,NN,xxxx
11,starting,start,VBG,xxxx
12,on,on,IN,xx
13,Slide,Slide,NNP,Xxxxx
14,4,4,CD,d
15,",",",",",",","
16,of,of,IN,xx
17,the,the,DT,xxx
18,earnings,earning,NNS,xxxx
19,presentation,presentation,NN,xxxx
20,"
","
",_SP,"
"
21,In,in,IN,Xx
22,Q4,Q4,NNP,Xd
23,",",",",",",","
24,we,-PRON-,PRP,xx
25,generated,generate,VBD,xxxx
26,$,$,$,$
27,2.4,2.4,CD,d.d
28,billion,billion,CD,xxxx
29,of,of,IN,xx
30,total,total,JJ,xxxx
31,revenue,revenue,NN,xxxx
32,",",",",",",","
33,$,$,$,$
34,0.54,0.54,CD,d.dd
35,of,of,IN,xx
36,non,non,JJ,xxx
37,-,-,JJ,-
38,GAAP,gaap,JJ,XXXX
39,EPS,EPS,NNP,XXX
40,",",",",",",","
41,$,$,$,$
42,484,484,CD,ddd
43,million,million,CD,xxxx
44,in,in,IN,xx
45,free,free,JJ,xxxx
46,cash,cash,NN,xxxx
47,flow,flow,NN,xxxx
48,",",",",",",","
49,and,and,CC,xxx
50,we,-PRON-,PRP,xx
51,repurchased,repurchase,VBD,xxxx
52,$,$,$,$
53,1,1,CD,d
54,billion,billion,CD,xxxx
55,of,of,IN,xx
56,our,-PRON-,PRP$,xxx
57,stock,stock,NN,xxxx
58,"
","
",_SP,"
"
59,Letâ€,Letâ€,NNP,Xxxx€
60,™,™,CD,™
61,s,s,POS,x
62,start,start,NN,xxxx
63,with,with,IN,xxxx
64,Q4,Q4,NNP,Xd
65,active,active,JJ,xxxx
66,buyers,buyer,NNS,xxxx
67,on,on,IN,xx
68,Slide,Slide,NNP,Xxxxx
69,5,5,CD,d
70,.,.,.,.
71,In,in,IN,Xx
72,the,the,DT,xxx
73,quarter,quarter,NN,xxxx
74,",",",",",",","
75,trailing,trail,VBG,xxxx
76,12-month,12-month,CD,dd-xxxx
77,growth,growth,NN,xxxx
78,was,be,VBD,xxx
79,3,3,CD,d
80,%,%,NN,%
81,year,year,NN,xxxx
82,-,-,HYPH,-
83,over,over,IN,xxxx
84,-,-,HYPH,-
85,year,year,NN,xxxx
86,resulting,result,VBG,xxxx
