,Sentences
0,"As we discuss our growth rates, keep in mind that growth was negatively impacted by a point as we lapped leap year, somewhat offset by the timing of Easter"
1,"We generated net revenues of $2.2 billion, up 7% on an FX neutral basis"
2,A one point acceleration and up 6% organically stable versus the prior quarter
3,"We delivered $1.7 billion of transaction revenue, up 6%, and $488 million of marketing services and other revenue, up 9%"
4,"Total Marketplace revenue was $1.8 billion, up 5% year-over-year, a one point acceleration versus the prior quarter"
5,Moving to Slide 10.
6,"In Q1, classifieds grew revenue 10%, a three point deceleration versus Q4."
7,"We saw a strong growth in eBay Kleinanzeigen, offset by lapping price increases in our motors vertical last year, and continued ad monetization pressure from the ongoing shift to mobile"
8,"In Q1, we delivered non-GAAP operating margin of 30%, which is down 340 basis points versus last year driven by a 110 basis points each in product development and G&A"
9,"The impact of foreign exchange was felt across all spend category, so I will focus my comments on the operational dynamics of our expenses"
10,"Cost of revenue increased year-over-year driven by expenses related to our TicketbiS operations and the previously mentioned expansion of our first-party inventory program in Korea, partially offset by good operating leverage"
11,Product development costs were up as we continue to invest in our product experiences across all of our platforms
12,As always you can find a detailed reconciliation of GAAP to non-GAAP financial measures in our press release and earnings presentation
13,On Slide 13.
14,"In Q1, we generated $447 million of free cash flow, which was down 7% on a year-over-year basis primarily driven by lower net income and differences in the timing of cash tax payment"
15,We continue to be disciplined capital allocators and align our actions against our capital allocation tenets [ph]
16,"We're excited about the recent announcement of our partnership with Flipkart, and we believe our $500 million investment along with the contribution of our eBay India business, significantly improves our competitive position in a strategically important market"
17,"We expect this deal to close early in the second half of 2017, and upon deal close we will no longer report active buyer GMV and related financials for eBay India"
18,Turning to Q2 guidance on Slide 15.
19,We're projecting revenue between $2.28 billion and $2.32 billion representing organic FX neutral growth of 5% to 7% year-over-year
20,This growth range takes into account Marketplace volume and revenue growth acceleration offset by StubHub and PayPal operating agreement comparisons
21,We expect non-GAAP EPS of $0.43 to $0.45 per share representing year-over-year growth of 0% to 5% on an as reported basis
22,EPS growth will be driven by revenue growth and the net benefit of our share repurchase program offset by our increased investment to drive improved user experiences and to market our brand
23,"For Q2, we expect GAAP EPS in the range of $0.20 to $0.40."
24,"Our full-year non-GAAP guidance remains unchanged from January as we continue to execute on our strategy to deliver the best choice, the most relevance and a powerful selling platform"
25,"Additionally, we continue to expect CapEx of 7% to 9% of revenue and free cash flow of $2.2 billion to $2.4 billion"
26,The difference between our non-GAAP and GAAP EPS primarily consists of amortization of intangible stock-based compensation and tax impacts from our ongoing legal structure realignment
27,The first is we feel like our new experiences that are being expanded to a larger portion of our buyers are beginning to help
28,"Second, our structured data pages on SCO are starting to contribute to new buyer growth, and while not at a material scale"
29,yet we are seeing early positive signs
30,"And so, look, the improvements in our buyer funnel have not been linear"
31,"I do think that as we look towards the future it might not be linear, but we believe that active buyer growth is one of the metrics to your question that we look at closely and should portend an acceleration in GMV"
