,Word,Lemma,POSTag,Shape
0,Thanks,thanks,UH,Xxxxx
1,",",",",",",","
2,Marty,Marty,NNP,Xxxxx
3,",",",",",",","
4,and,and,CC,xxx
5,good,good,JJ,xxxx
6,morning,morning,NN,xxxx
7,",",",",",",","
8,everyone,everyone,NN,xxxx
9,"
","
",_SP,"
"
10,Let,let,VB,Xxx
11,me,-PRON-,PRP,xx
12,start,start,VB,xxxx
13,with,with,IN,xxxx
14,the,the,DT,xxx
15,smokeable,smokeable,JJ,xxxx
16,products,product,NNS,xxxx
17,segment,segment,NN,xxxx
18,"
","
",_SP,"
"
19,Adjusted,adjusted,JJ,Xxxxx
20,OCI,OCI,NNP,XXX
21,margins,margin,NNS,xxxx
22,expanded,expand,VBN,xxxx
23,by,by,IN,xx
24,2.9,2.9,CD,d.d
25,percentage,percentage,NN,xxxx
26,points,point,NNS,xxxx
27,in,in,IN,xx
28,the,the,DT,xxx
29,first,first,JJ,xxxx
30,quarter,quarter,NN,xxxx
31,to,to,IN,xx
32,51,51,CD,dd
33,%,%,NN,%
34,",",",",",",","
35,due,due,JJ,xxx
36,primarily,primarily,RB,xxxx
37,to,to,IN,xx
38,higher,high,JJR,xxxx
39,net,net,JJ,xxx
40,pricing,pricing,NN,xxxx
41,and,and,CC,xxx
42,lower,low,JJR,xxxx
43,resolution,resolution,NN,xxxx
44,expenses,expense,NNS,xxxx
45,"
","
",_SP,"
"
46,Smokeable,Smokeable,NNP,Xxxxx
47,reported,report,VBD,xxxx
48,cigarette,cigarette,NN,xxxx
49,shipment,shipment,NN,xxxx
50,volume,volume,NN,xxxx
51,declined,decline,VBD,xxxx
52,2.7,2.7,CD,d.d
53,%,%,NN,%
54,in,in,IN,xx
55,the,the,DT,xxx
56,quarter,quarter,NN,xxxx
57,"
","
",_SP,"
"
58,After,after,IN,Xxxxx
59,adjusting,adjust,VBG,xxxx
60,for,for,IN,xxx
61,trade,trade,NN,xxxx
62,inventory,inventory,NN,xxxx
63,movements,movement,NNS,xxxx
64,and,and,CC,xxx
65,other,other,JJ,xxxx
66,factors,factor,NNS,xxxx
67,",",",",",",","
68,PM,pm,NN,XX
69,USA,USA,NNP,XXX
70,estimates,estimate,VBZ,xxxx
