,Word,Lemma,POSTag,Shape
0,Thanks,thanks,UH,Xxxxx
1,",",",",",",","
2,Juan,Juan,NNP,Xxxx
3,"
","
",_SP,"
"
4,Slide,slide,NN,Xxxxx
5,4,4,CD,d
6,provides,provide,VBZ,xxxx
7,some,some,DT,xxxx
8,financial,financial,JJ,xxxx
9,highlights,highlight,NNS,xxxx
10,for,for,IN,xxx
11,the,the,DT,xxx
12,quarter,quarter,NN,xxxx
13,"
","
",_SP,"
"
14,Adjusted,adjust,VBN,Xxxxx
15,EPS,EPS,NNP,XXX
16,for,for,IN,xxx
17,the,the,DT,xxx
18,quarter,quarter,NN,xxxx
19,was,be,VBD,xxx
20,$,$,$,$
21,0.60,0.60,CD,d.dd
22,",",",",",",","
23,up,up,RB,xx
24,from,from,IN,xxxx
25,the,the,DT,xxx
26,$,$,$,$
27,0.42,0.42,CD,d.dd
28,last,last,JJ,xxxx
29,year,year,NN,xxxx
30,"
","
",_SP,"
"
31,Excluding,exclude,VBG,Xxxxx
32,specified,specify,VBN,xxxx
33,items,item,NNS,xxxx
34,",",",",",",","
35,adjusted,adjust,VBN,xxxx
36,segment,segment,NN,xxxx
37,operating,operating,NN,xxxx
38,profit,profit,NN,xxxx
39,was,be,VBD,xxx
40,$,$,$,$
41,678,678,CD,ddd
42,million,million,CD,xxxx
43,",",",",",",","
44,up,up,RB,xx
45,$,$,$,$
46,105,105,CD,ddd
47,million,million,CD,xxxx
48,from,from,IN,xxxx
49,the,the,DT,xxx
50,year,year,NN,xxxx
51,-,-,HYPH,-
52,ago,ago,JJ,xxx
53,quarter,quarter,NN,xxxx
54,"
","
",_SP,"
"
55,The,the,DT,Xxx
56,effective,effective,JJ,xxxx
57,tax,tax,NN,xxx
58,rate,rate,NN,xxxx
59,for,for,IN,xxx
60,the,the,DT,xxx
61,first,first,JJ,xxxx
62,quarter,quarter,NN,xxxx
63,was,be,VBD,xxx
64,26,26,CD,dd
65,%,%,NN,%
66,compared,compare,VBN,xxxx
67,to,to,IN,xx
68,25,25,CD,dd
69,%,%,NN,%
70,in,in,IN,xx
71,the,the,DT,xxx
72,first,first,JJ,xxxx
73,quarter,quarter,NN,xxxx
74,of,of,IN,xx
75,the,the,DT,xxx
