,Word,Lemma,POSTag,Shape
0,Thank,thank,VBP,Xxxxx
1,you,-PRON-,PRP,xxx
2,",",",",",",","
3,Ken,Ken,NNP,Xxx
4,"
","
",_SP,"
"
5,Good,good,JJ,Xxxx
6,morning,morning,NN,xxxx
7,",",",",",",","
8,everyone,everyone,NN,xxxx
9,",",",",",",","
10,and,and,CC,xxx
11,welcome,welcome,VB,xxxx
12,to,to,IN,xx
13,our,-PRON-,PRP$,xxx
14,second,second,JJ,xxxx
15,quarter,quarter,NN,xxxx
16,earnings,earning,NNS,xxxx
17,call,call,NN,xxxx
18,"
","
",_SP,"
"
19,Today,today,NN,Xxxxx
20,I,-PRON-,PRP,X
21,'ll,will,MD,'xx
22,share,share,VB,xxxx
23,my,-PRON-,PRP$,xx
24,perspective,perspective,NN,xxxx
25,on,on,IN,xx
26,our,-PRON-,PRP$,xxx
27,performance,performance,NN,xxxx
28,in,in,IN,xx
29,the,the,DT,xxx
30,quarter,quarter,NN,xxxx
31,and,and,CC,xxx
32,provide,provide,VB,xxxx
33,my,-PRON-,PRP$,xx
34,view,view,NN,xxxx
35,on,on,IN,xx
36,our,-PRON-,PRP$,xxx
37,progress,progress,NN,xxxx
38,across,across,IN,xxxx
39,each,each,DT,xxxx
40,of,of,IN,xx
41,our,-PRON-,PRP$,xxx
42,three,three,CD,xxxx
43,divisions,division,NNS,xxxx
44,"
","
",_SP,"
"
45,Anthony,Anthony,NNP,Xxxxx
46,will,will,MD,xxxx
47,follow,follow,VB,xxxx
48,with,with,IN,xxxx
49,a,a,DT,x
50,detailed,detailed,JJ,xxxx
51,financial,financial,JJ,xxxx
52,review,review,NN,xxxx
53,"
","
",_SP,"
"
54,Let,let,VB,Xxx
55,'s,-PRON-,PRP,'x
56,be,be,VB,xx
57,real,real,JJ,xxxx
58,"
","
",_SP,"
"
59,I,-PRON-,PRP,X
60,am,be,VBP,xx
61,not,not,RB,xxx
62,satisfied,satisfied,JJ,xxxx
63,with,with,IN,xxxx
64,our,-PRON-,PRP$,xxx
65,overall,overall,JJ,xxxx
66,sales,sale,NNS,xxxx
67,performance,performance,NN,xxxx
68,in,in,IN,xx
69,the,the,DT,xxx
70,quarter,quarter,NN,xxxx
71,"
","
",_SP,"
"
72,Organic,organic,JJ,Xxxxx
73,sales,sale,NNS,xxxx
74,declined,decline,VBD,xxxx
75,2,2,CD,d
76,%,%,NN,%
77,",",",",",",","
78,with,with,IN,xxxx
79,the,the,DT,xxx
80,most,most,RBS,xxxx
81,prominent,prominent,JJ,xxxx
82,declines,decline,NNS,xxxx
83,in,in,IN,xx
84,Campbell,Campbell,NNP,Xxxxx
85,Fresh,Fresh,NNP,Xxxxx
86,and,and,CC,xxx
87,V8,V8,NNP,Xd
88,shelf,shelf,NN,xxxx
89,-,-,HYPH,-
90,stable,stable,JJ,xxxx
91,beverages,beverage,NNS,xxxx
92,"
","
",_SP,"
"
93,Additionally,additionally,RB,Xxxxx
94,",",",",",",","
95,in,in,IN,xx
96,the,the,DT,xxx
97,Campbell,Campbell,NNP,Xxxxx
98,Fresh,Fresh,NNP,Xxxxx
99,segment,segment,NN,xxxx
100,",",",",",",","
101,we,-PRON-,PRP,xx
102,recorded,record,VBD,xxxx
103,non,non,JJ,xxx
104,-,-,JJ,-
105,cash,cash,JJ,xxxx
106,impairment,impairment,NN,xxxx
107,charges,charge,NNS,xxxx
108,related,relate,VBN,xxxx
109,to,to,IN,xx
110,the,the,DT,xxx
111,carrot,carrot,NN,xxxx
112,and,and,CC,xxx
113,carrot,carrot,NN,xxxx
114,ingredient,ingredient,NN,xxxx
115,and,and,CC,xxx
116,Garden,Garden,NNP,Xxxxx
117,Fresh,Fresh,NNP,Xxxxx
118,Gourmet,Gourmet,NNP,Xxxxx
119,reporting,reporting,NN,xxxx
120,units,unit,NNS,xxxx
121,"
","
",_SP,"
"
122,Anthony,Anthony,NNP,Xxxxx
123,will,will,MD,xxxx
124,walk,walk,VB,xxxx
125,you,-PRON-,PRP,xxx
126,through,through,IN,xxxx
127,additional,additional,JJ,xxxx
128,details,detail,NNS,xxxx
