,Sentences
0,"Thank you, Ken"
1,"Good morning, everyone and welcome to our fourth quarter call"
2,"Today, I’ll focus my remarks on the marketplace, our performance, our plans and our outlook for fiscal 2018."
3,"As we’ve discussed previously, the operating environment remains challenging across the food industry"
4,While macro economic conditions in the U.S
5,"continue to improve in the quarter, the seismic shifts we’ve described in the past continue to alter the consumer food and retail landscapes"
6,"These disruptions include shifting demographics, changing consumer preferences for food with a focus on fresh and health and well-being and increase snacking behavior, a range of socioeconomic forces and technology advancements that are reshaping the consumer shopping experience"
7,"Additionally, there is no denying that the retailer landscape is changing dramatically with the emergence of new players, new store formats, and evolving business models"
8,"Several variables are at play, including value players expanding their presence in the U.S"
9,", the growth of store brands and the explosion of e-commerce and meal delivery services disrupting the market"
10,We expect conditions to remain hypercompetitive for the foreseeable future
11,In this environment what is Campbell doing to compete differently?
12,"First, we’re prioritizing investments, aligning our resources to future growth areas and creating opportunities from the disruptions in the market"
13,"To our growth agenda, we’re focusing on four strategic imperatives to strengthen our core business and at the same time expand in the faster growing spaces"
14,"Second, we’ve redesigned our retailer selling and support capabilities in June of fiscal 2017."
15,Our new integrated structure aligns our sales and marketing resources to drive growth with existing customers and to pursue business in new channels
16,"We’re rethinking our approach to collaborating with key customers around platform merchandising, such as health and well-being and snacking"
17,We’re enhancing our data-driven shopper insights
18,"And through our strategic foresights work, we’re better positioned to drive innovation and customization across both the perimeter and in the center store"
19,Most customers have welcomed this new level of engagement and collaboration
20,"Third, we’ve established a distinct digital e-commerce business unit to address both pure play and omni-channel opportunities"
21,"Finally, we believe that investing to differentiate our brands is the best way to appeal to consumers and build loyalty in a crowded market"
22,"Make no mistakes, these shifts are accelerating and converging"
23,and they’re having a dramatic impact on Campbell and across the industry
24,"In this environment, sales growth remains challenging"
25,"With this as a backdrop, our performance in the quarter was mixed"
26,"Organic sales declined 1%, while adjusted EBIT and adjusted EPS, both increased double-digits"
27,"Despite multiple headwinds, we finished fiscal 2017 within our guidance and delivered another year of growth in adjusted EBIT and adjusted EPS"
28,"For the fourth quarter, our Global Biscuits and Snacks performance was slightly below what I would have liked in terms of the top line, but the team delivered a double-digit earnings increase versus the year-ago quarter"
29,"Americas Simple Meals and Beverages continued to deliver against its portfolio role, with sales performance in line with the categories in which we compete and margin expansion"
30,"I’m not happy with our performance in Campbell Fresh, but remain encouraged by the progress we’ve made this year to address our key executional issues"
31,C-Fresh delivered modest sales growth and we expect this business to return to profitable growth in fiscal 2018.
32,"Let me now offer my perspective on each division’s performance and highlight our plans for fiscal 2018, starting with Global Biscuits and Snacks"
33,"Overall, I’m satisfied with the performance of the division in the quarter"
34,"Organic sales were comparable to a year ago, with expected gains in Pepperidge Farm, but below my expectations in Arnott’s due to our performance in Indonesia"
35,"Importantly, the business delivered a double-digit increase in operating earnings"
36,"I’m particularly pleased with the performance of Pepperidge Farm snacks, especially the Goldfish brand, which once again delivered strong sales results"
