,Word,Lemma,POSTag,Shape
0,Good,good,JJ,Xxxx
1,morning,morning,NN,xxxx
2,",",",",",",","
3,everyone,everyone,NN,xxxx
4,"
","
",_SP,"
"
5,Thanks,thank,NNS,Xxxxx
6,for,for,IN,xxx
7,joining,join,VBG,xxxx
8,us,-PRON-,PRP,xx
9,",",",",",",","
10,today,today,NN,xxxx
11,"
","
",_SP,"
"
12,I,-PRON-,PRP,X
13,'ll,will,MD,'xx
14,provide,provide,VB,xxxx
15,some,some,DT,xxxx
16,color,color,NN,xxxx
17,on,on,IN,xx
18,the,the,DT,xxx
19,quarter,quarter,NN,xxxx
20,",",",",",",","
21,and,and,CC,xxx
22,then,then,RB,xxxx
23,turn,turn,VB,xxxx
24,the,the,DT,xxx
25,call,call,NN,xxxx
26,over,over,RP,xxxx
27,to,to,IN,xx
28,Rick,Rick,NNP,Xxxx
29,Dierker,Dierker,NNP,Xxxxx
30,",",",",",",","
31,our,-PRON-,PRP$,xxx
32,CFO,cfo,NN,XXX
33,"
","
",_SP,"
"
34,When,when,WRB,Xxxx
35,Rick,Rick,NNP,Xxxx
36,is,be,VBZ,xx
37,finished,finish,VBN,xxxx
38,",",",",",",","
39,we,-PRON-,PRP,xx
40,'ll,will,MD,'xx
41,have,have,VB,xxxx
42,a,a,DT,x
43,Q&A,Q&A,NNP,X&X
44,session,session,NN,xxxx
45,"
","
",_SP,"
"
46,So,so,RB,Xx
47,reported,report,VBN,xxxx
48,growth,growth,NN,xxxx
49,was,be,VBD,xxx
50,11.2,11.2,CD,dd.d
51,%,%,NN,%
52,",",",",",",","
53,which,which,WDT,xxxx
54,reflects,reflect,VBZ,xxxx
55,strong,strong,JJ,xxxx
56,organic,organic,JJ,xxxx
57,growth,growth,NN,xxxx
58,and,and,CC,xxx
59,the,the,DT,xxx
60,Waterpik,Waterpik,NNP,Xxxxx
61,acquisition,acquisition,NN,xxxx
62,"
","
",_SP,"
"
63,We,-PRON-,PRP,Xx
64,'re,be,VBP,'xx
65,very,very,RB,xxxx
66,pleased,pleased,JJ,xxxx
67,with,with,IN,xxxx
68,the,the,DT,xxx
69,organic,organic,JJ,xxxx
70,sales,sale,NNS,xxxx
71,growth,growth,NN,xxxx
72,of,of,IN,xx
73,3.2,3.2,CD,d.d
74,%,%,NN,%
75,"
","
",_SP,"
"
76,That,that,DT,Xxxx
77,was,be,VBD,xxx
78,driven,drive,VBN,xxxx
79,by,by,IN,xx
80,7.1,7.1,CD,d.d
81,%,%,NN,%
82,volume,volume,NN,xxxx
83,growth,growth,NN,xxxx
84,domestically,domestically,RB,xxxx
85,"
","
",_SP,"
"
86,Our,-PRON-,PRP$,Xxx
87,targeted,target,VBN,xxxx
88,investment,investment,NN,xxxx
89,spending,spending,NN,xxxx
90,has,have,VBZ,xxx
91,translated,translate,VBN,xxxx
92,into,into,IN,xxxx
93,share,share,NN,xxxx
94,growth,growth,NN,xxxx
95,",",",",",",","
96,as,as,IN,xx
97,7,7,CD,d
98,out,out,IN,xxx
99,of,of,IN,xx
100,our,-PRON-,PRP$,xxx
101,11,11,CD,dd
102,power,power,NN,xxxx
103,brands,brand,NNS,xxxx
104,exceeded,exceed,VBD,xxxx
105,or,or,CC,xx
106,met,meet,VBD,xxx
107,category,category,NN,xxxx
108,growth,growth,NN,xxxx
109,"
","
",_SP,"
"
110,Both,both,DT,Xxxx
111,the,the,DT,xxx
112,International,International,NNP,Xxxxx
113,Consumer,Consumer,NNP,Xxxxx
114,business,business,NN,xxxx
115,and,and,CC,xxx
116,the,the,DT,xxx
117,Specialty,Specialty,NNP,Xxxxx
118,Products,Products,NNPS,Xxxxx
119,business,business,NN,xxxx
120,turned,turn,VBD,xxxx
121,in,in,RP,xx
122,really,really,RB,xxxx
123,strong,strong,JJ,xxxx
124,numbers,number,NNS,xxxx
125,"
","
",_SP,"
"
126,We,-PRON-,PRP,Xx
127,'re,be,VBP,'xx
128,on,on,IN,xx
129,track,track,NN,xxxx
130,to,to,TO,xx
131,achieve,achieve,VB,xxxx
132,8.5,8.5,CD,d.d
133,%,%,NN,%
134,full,full,JJ,xxxx
135,year,year,NN,xxxx
136,earnings,earning,NNS,xxxx
137,growth,growth,NN,xxxx
138,"
","
",_SP,"
"
139,Our,-PRON-,PRP$,Xxx
140,International,International,NNP,Xxxxx
141,Consumer,Consumer,NNP,Xxxxx
142,business,business,NN,xxxx
143,exceeded,exceed,VBD,xxxx
144,our,-PRON-,PRP$,xxx
145,expectations,expectation,NNS,xxxx
146,with,with,IN,xxxx
147,6.2,6.2,CD,d.d
148,%,%,NN,%
149,organic,organic,JJ,xxxx
150,growth,growth,NN,xxxx
151,"
","
",_SP,"
"
152,As,as,IN,Xx
153,you,-PRON-,PRP,xxx
154,know,know,VBP,xxxx
155,",",",",",",","
156,we,-PRON-,PRP,xx
157,continue,continue,VBP,xxxx
158,to,to,TO,xx
159,invest,invest,VB,xxxx
160,in,in,IN,xx
