,Sentences
0,"Thanks, Brian"
1,"Good morning everyone, happy holidays"
2,Thank you for joining our second quarter fiscal 2018 earnings conference call
3,We delivered strong results in Q2 and remain squarely on track with our transformation plan
4,Strategically our top priority this year is strengthening top line performance behind modernized brands and a strong innovation slate
5,"Two quarters in, we like what we see, our top line return to organic growth in the second quarter, ahead of schedule"
6,"After a fast start to the year, we were in a position to add incremental support behind our brands in Q2 to enhance distribution, merchandizing, and consumer trial"
7,Most of these investments were above the net sales line and consistent with our strategy to reacquaint our consumer base with our modernized brands
8,"However, we again experienced elevated inflation, including increased costs as a result of the recent hurricanes"
9,"The net result in Q2 was that, despite pricing ahead of our categories, gross margins were pressured by the convergence of higher startup costs to support our brands and elevated inflation"
10,"Importantly, we remain confident in our long-term margin expansion opportunity and our ability to deliver on the 2020 outlook we provided at our investor day last year"
11,We continue to be active with our M&A agenda to bolster our strong positions in the important Snacks and Frozen categories
12,"During the quarter, we completed our $250 million acquisition of Angie's Artisan Treats, the maker of Angie's Boom Chicka Pop, the fastest growing national read-to-eat popcorn brand in the U.S"
13,", and as you saw earlier today, we announced an agreement to acquire Sandwich Bros"
14,", which I will elaborate on in a few minutes"
15,We also continue to deliver on our target to repurchase $1.1 billion of shares during fiscal 2018.
16,We repurchased approximately $280 million of common stock during the second quarter
17,"The bottom line is we're encouraged about our year-to-date performance, and we're updating our 2018 guidance to reflect organic net sales and adjusted EPS to be near the high end of their respective guidance ranges"
18,"During the quarter, we marked our one-year anniversary as a branded pure play CPG company"
19,And compared to where we were just three years ago the transformation has been quite remarkable
20,"Between exiting private brands, successfully spinning off Lamb Weston as a thriving public company, and remaking our core business and culture into a more energized competitive unit, we have been and we will continue to be relentlessly focused on value creation"
21,"It's been heavy lifting unwinding decades of engrained behaviors, but we like where we are, and we're confident in our future"
22,Most of you are familiar with the expected cadence of our transformation plan shown on slide seven
23,I'm happy to say that we remain squarely on track with these expectations
24,Fiscal 2016 and 2017 were indeed a heavy lift as we put in the work to thoughtfully and methodically upgrade our revenue base and reset the top line by cutting back on excessive deep discount promotions and rationalizing a long tail of low-performing skews
25,We also focused on improving efficiencies to build a strong foundation on the bottom line and expand margins
26,"But as we've said all along, we can't cut our way to prosperity; we must grow the top line"
27,"And we will do it the right way, by investing in renovation and innovation to achieve sustainable growth over the long-term"
28,As we entered fiscal 2018 we were working from a much stronger revenue base
29,"We have a healthier, less promotional business in U.S"
30,retail
31,"And our focus is now on improving brand saliency, which means reacquainting consumers with our modernized brands, and making them top-of-mind again"
32,"Accordingly, we're making investments in innovation and renovation to enhance distribution, merchandizing, and consumer trial to drive top line growth"
33,And top line growth is exactly what we've achieved
34,"On slide eight, you can see organic net sales grew 2.3% in the quarter"
35,Strong volume performance particularly in our U.S
36,retail businesses drove this result
37,"Further, we estimate that even after adjusting for the positive impact of the recent hurricanes we delivered slight organic net sales growth in the second quarter"
38,We estimate an approximately 220 basis point benefit related to hurricanes during the quarter
39,"Our Food Service segment saw a one-time benefit from the hurricanes, and our Grocery and Snacks segment benefited from some customer warehouse and consumer pantry stocking"
40,But the underlying strength of our core business is an encouraging affirmation of our plan and aggressive actions to jumpstart the top line
41,"Make no mistake, we have much more to do, but we're making great progress in bending the sales trend and we're doing it the right way"
42,The data on slide nine speaks to the quality of our growth
43,"Our distribution performance shown here as TPDs, or total points of distribution is continuing to improve, we expect this trend to move upward in the back half supported by net gains as the pruning of low-performing skews abates and innovation"
44,continues to roll out
45,"Importantly, we have continued to increase sales velocity as we upgraded the quality of our TPDs"
46,When we modernize our product and discontinue to weak skews we recondition consumers to purchase updated products off the shelf at full margin and the velocities are getting better every time we look at the data
47,"As our base sales velocities improve our dollar sales have followed, turning positive in the second quarter"
48,"As you can see on slide 10, these trends have allowed us to continue to price above our categories on average"
49,We have also remained true to our value-over-volume strategy as the present sold on promotion has decreased every quarter for more than two years
50,"While that trend is not sustainable in perpetuity, this clearly indicates that our strong volume performance was not driven by deep discounts or price rollbacks"
51,We remain squarely focused on improving our base sales and reducing our reliance on inefficient trade promotion
52,"Turning to slide 11, we remain on track to deliver against our 2020 margin goals"
53,In the early innings of our transformation plan we got a fast start on margin improvement as we began to implement our value-over-volume strategy
54,"But as we've always said, the path forward will not always be linear"
55,Our margin improvement will not be a straight line particularly as we make the necessary investments to support innovation and drive trial and distribution across our brands
56,"Margins may also move around quarter-to-quarter as we confront dynamics, like inflation, exiting lower margin businesses, and enhancing our portfolio with margin accretive acquisitions"
57,"As I said at our inaugural investor day, when you take on a transformation of this magnitude there will be quarterly volatility in gross margin from time to time"
58,"But regardless of short-term dynamics, we will move the centerline of our profitability north over time"
59,"As I noted earlier, there were a few near-term factors impacting our gross margin performance"
60,Better than expected top line performance through Q2 is enabling us to invest more in our U.S
61,"retail business and add incremental support to further enhance the distribution, merchandizing, and consumer trial of our brands, especially where we have new renovation and innovation"
62,"As I mentioned earlier, this is consistent with our strategy to increase brand saliency with consumers"
63,"This increased investment had a near-term impact on our overall price mix, which is reflected in our results this quarter"
64,"Some of this will show up as slotting, and some of this will show up as priced given the structure of our joint business planning partnerships with customers this is not surprising"
65,"Simply put, we are focused on strategic investments behind higher quality product presentation, and our investments will be brand and customer specific as we both reacquaint consumers with legacy brands and introduce new offerings to the market"
66,We are strategically using trade as a catalyst for our modernized brands
67,"This fuels new distribution, better shelf presentation, end-aisle display, and customer circular visibility to generate awareness of the new relevant benefits of our products"
68,Dave will provide a bit more detail on the additional factors that impacted near-term gross margin performance shortly
69,But the bottom line is that none of these factors change our long-term margin outlook or our commitment to chip away at the margin opportunity over time
70,"Now turning to our segment performance on slide 12, you can see the continued growth in our Refrigerated and Frozen segment, which was aided this quarter by innovation launched under the Marie Callender's, Healthy Choice, and Banquet trademarks"
71,"In addition, the Frontera brand introduced frozen mean innovation, and we also saw continued growth in the core Reddi-wip business"
72,"On slide 13, you can see scanner data that highlights the acceleration in this segment"
73,"Looking at the chart on the left, you can see the top line improvement in our frozen single-serve meal business through the end of Q2, which we believe is the best proxy for the traction of our plan"
74,"As you know, our recent brand renovation work focused on Frozen"
75,"And within Frozen, we put significant effort toward renovating Banquet, the largest single-serve frozen meal brand by volume in the U.S"
76,", after considerable effort to modernize the brand and recondition shoppers to purchase the products off shelf at full margin, Banquet returned to growth in the second quarter"
77,"We're pleased to have this brand back on track, and are encouraged by the positive consumer response"
78,We're also mindful of our expectation for the brand and its role in our portfolio as a reliable contributor
79,"We do not expect Banquet to be a rapid grower growing forward, but it is a large important brand"
80,"We're very pleased to have liberated it from a $1 retail price point, and to have improved both top and bottom line performance"
81,"Overall, you can begin to get a sense for why we feel good about our growth"
82,algorithm both this year and for the long-term
83,One of the most compelling reasons for our optimism continues to be the success of our innovation slate which is building distribution and performing well in its early days in the market
84,"We started rebuilding our innovation slate with a focus on our Frozen business, and you can expect to see us apply the same level of rigor and discipline across our portfolio where we see opportunity"
85,"Turning to our Grocery and Snacks segment on slide 15, you can see that we're continuing to drive improvement"
86,We estimate organic sales were roughly flat for the quarter after adjusting for the hurricanes
87,That's a significant improvement over Q1.
88,"Our Q2 Grocery and Snacks reported sales reflect approximately 200 basis points of positive impact related to the hurricanes, which drove customer warehouse and consumer pantry stocking behavior"
89,"While this was a benefit in Q2, we expect the shift to negatively impact Q3 sales in this segment"
90,"The improvement in the base business is encouraging, but it is still very early days"
91,"We have a lot of work to do ahead to renovate certain brands and provide the appropriate investment support, similar to the work we've done with our Frozen portfolio"
92,So let me take a step back and provide some perspective on how we think about this segment
93,Clearly we see Snacks as an attractive growth opportunity
94,"As a reminder, our snacks business includes strong brands such as Slim Jim, one of the leading players in mean snacks with increasing household penetration among millennials; Orville Redenbacher, the largest selling brand in microwave popcorn and the best selling brand of popcorn online; David Seeds, the leader in seeds with more than twice the share of the next largest competitor; Swiss Miss, which accounts for over half of the volume of hot cocoa sold in U.S"
95,"retail, it's also the preferred choice of millennials by more than four times over the nearest competitor; and Act II which is growth both domestically and internationally"
96,"We're also very pleased with the robust performance of recently added brands such as Duke's, Bigs, and Frontera"
97,And we're quite excited about the opportunities presented by the acquisition of Angie's Boom Chicka Pop
98,"So overall, snacks will be an extremely important area for us going forward, and we're just getting warmed up"
99,We'll be sharing more about snacking renovation and innovation in the months to come
100,"As we articulated at investor day, a simple way to think about our large grocery business is to break it into two groups; condiments and enhancers, and shelf stable meals and sides"
101,We do that because generally speaking these groups will play different roles over time
102,"With condiments and enhancers, such as Hunt's Tomatoes, Ro-Tel, Frontera Salsa, and Pam, we see on-trend brands that align with the needs of young millennial households which are starting to cook affordable by flavorful meals at home"
103,"Accordingly, they will be a focus area for continued investment"
104,"The role of shelf stable means and side dishes such as Chef Boyardee, Libby's, and La Choy is to be reliable contributors, providing steady cash flow to fund growth opportunities elsewhere in the portfolio"
105,"That doesn't mean, we will neglect these brands to the contrary, we absolutely need to keep them fresh so they continue to reliably contribute"
106,"Overall, we remain focused on our disciplined portfolio segmentation approach to apply the appropriate support for each brand"
107,"So while it's early days, we're happy with our growth momentum and we're excited about the future"
108,"Importantly, we're growing share and our categories are growing with our sharpened focus and enhanced capabilities we have reason to be excited about our future"
109,"And before I wrap up, a few thoughts on M&A, as you can see on Slide 19, we have been highly active leveraging M&A to reshape our portfolio for better long-term growth and margins, clearly the inbound businesses have been smaller modernizing acquisitions versus larger more synergistic deals"
110,You should not interpret that as a string of pearl strategy in lieu of more transformational deals
111,"As I've said many times, we are always on the lookout for both modernizing and synergistic acquisitions the former tend to be more plentiful than the latter"
112,but we're always in a position of readiness
113,should the right property and the reasonable valuation emerge
114,"Earlier today, we announced our planned acquisition of the Sandwich Bros"
115,"business simply put this is a frozen capability play, handhelds offer great convenience to consumers and this business provides some terrific capabilities"
