,Word,Lemma,POSTag,Shape
0,Thanks,thank,NNS,Xxxxx
1,",",",",",",","
2,Brian,Brian,NNP,Xxxxx
3,"
","
",_SP,"
"
4,Good,good,JJ,Xxxx
5,morning,morning,NN,xxxx
6,everyone,everyone,NN,xxxx
7,",",",",",",","
8,happy,happy,JJ,xxxx
9,holidays,holiday,NNS,xxxx
10,"
","
",_SP,"
"
11,Thank,thank,VBP,Xxxxx
12,you,-PRON-,PRP,xxx
13,for,for,IN,xxx
14,joining,join,VBG,xxxx
15,our,-PRON-,PRP$,xxx
16,second,second,JJ,xxxx
17,quarter,quarter,NN,xxxx
18,fiscal,fiscal,JJ,xxxx
19,2018,2018,CD,dddd
20,earnings,earning,NNS,xxxx
21,conference,conference,NN,xxxx
22,call,call,NN,xxxx
23,"
","
",_SP,"
"
24,We,-PRON-,PRP,Xx
25,delivered,deliver,VBD,xxxx
26,strong,strong,JJ,xxxx
27,results,result,NNS,xxxx
28,in,in,IN,xx
29,Q2,q2,NN,Xd
30,and,and,CC,xxx
31,remain,remain,VBP,xxxx
32,squarely,squarely,RB,xxxx
33,on,on,IN,xx
34,track,track,NN,xxxx
35,with,with,IN,xxxx
36,our,-PRON-,PRP$,xxx
37,transformation,transformation,NN,xxxx
38,plan,plan,NN,xxxx
39,"
","
",_SP,"
"
40,Strategically,strategically,RB,Xxxxx
41,our,-PRON-,PRP$,xxx
42,top,top,JJ,xxx
43,priority,priority,NN,xxxx
44,this,this,DT,xxxx
45,year,year,NN,xxxx
46,is,be,VBZ,xx
47,strengthening,strengthen,VBG,xxxx
48,top,top,JJ,xxx
49,line,line,NN,xxxx
50,performance,performance,NN,xxxx
51,behind,behind,IN,xxxx
52,modernized,modernized,JJ,xxxx
53,brands,brand,NNS,xxxx
54,and,and,CC,xxx
55,a,a,DT,x
56,strong,strong,JJ,xxxx
57,innovation,innovation,NN,xxxx
58,slate,slate,NN,xxxx
59,"
","
",_SP,"
"
60,Two,two,CD,Xxx
61,quarters,quarter,NNS,xxxx
62,in,in,IN,xx
63,",",",",",",","
64,we,-PRON-,PRP,xx
65,like,like,VBP,xxxx
66,what,what,WP,xxxx
67,we,-PRON-,PRP,xx
68,see,see,VBP,xxx
69,",",",",",",","
70,our,-PRON-,PRP$,xxx
71,top,top,JJ,xxx
72,line,line,NN,xxxx
73,return,return,NN,xxxx
74,to,to,IN,xx
75,organic,organic,JJ,xxxx
76,growth,growth,NN,xxxx
77,in,in,IN,xx
78,the,the,DT,xxx
79,second,second,JJ,xxxx
80,quarter,quarter,NN,xxxx
81,",",",",",",","
82,ahead,ahead,RB,xxxx
83,of,of,IN,xx
84,schedule,schedule,NN,xxxx
85,"
","
",_SP,"
"
86,After,after,IN,Xxxxx
87,a,a,DT,x
88,fast,fast,JJ,xxxx
89,start,start,NN,xxxx
90,to,to,IN,xx
91,the,the,DT,xxx
92,year,year,NN,xxxx
93,",",",",",",","
94,we,-PRON-,PRP,xx
95,were,be,VBD,xxxx
96,in,in,IN,xx
97,a,a,DT,x
98,position,position,NN,xxxx
99,to,to,TO,xx
100,add,add,VB,xxx
101,incremental,incremental,JJ,xxxx
102,support,support,NN,xxxx
103,behind,behind,IN,xxxx
104,our,-PRON-,PRP$,xxx
105,brands,brand,NNS,xxxx
106,in,in,IN,xx
107,Q2,Q2,NNP,Xd
108,to,to,TO,xx
109,enhance,enhance,VB,xxxx
110,distribution,distribution,NN,xxxx
111,",",",",",",","
112,merchandizing,merchandizing,NN,xxxx
113,",",",",",",","
114,and,and,CC,xxx
115,consumer,consumer,NN,xxxx
116,trial,trial,NN,xxxx
117,"
","
",_SP,"
"
118,Most,Most,JJS,Xxxx
119,of,of,IN,xx
120,these,these,DT,xxxx
121,investments,investment,NNS,xxxx
122,were,be,VBD,xxxx
123,above,above,IN,xxxx
124,the,the,DT,xxx
125,net,net,JJ,xxx
126,sales,sale,NNS,xxxx
127,line,line,NN,xxxx
128,and,and,CC,xxx
129,consistent,consistent,JJ,xxxx
130,with,with,IN,xxxx
131,our,-PRON-,PRP$,xxx
132,strategy,strategy,NN,xxxx
133,to,to,TO,xx
134,reacquaint,reacquaint,VB,xxxx
135,our,-PRON-,PRP$,xxx
136,consumer,consumer,NN,xxxx
137,base,base,NN,xxxx
138,with,with,IN,xxxx
139,our,-PRON-,PRP$,xxx
140,modernized,modernized,JJ,xxxx
141,brands,brand,NNS,xxxx
142,"
","
",_SP,"
"
143,However,however,RB,Xxxxx
144,",",",",",",","
145,we,-PRON-,PRP,xx
146,again,again,RB,xxxx
147,experienced,experience,VBD,xxxx
148,elevated,elevated,JJ,xxxx
149,inflation,inflation,NN,xxxx
150,",",",",",",","
151,including,include,VBG,xxxx
152,increased,increase,VBN,xxxx
153,costs,cost,NNS,xxxx
154,as,as,IN,xx
155,a,a,DT,x
156,result,result,NN,xxxx
157,of,of,IN,xx
158,the,the,DT,xxx
159,recent,recent,JJ,xxxx
160,hurricanes,hurricane,NNS,xxxx
161,"
","
",_SP,"
"
162,The,the,DT,Xxx
163,net,net,JJ,xxx
164,result,result,NN,xxxx
165,in,in,IN,xx
166,Q2,Q2,NNP,Xd
167,was,be,VBD,xxx
168,that,that,IN,xxxx
169,",",",",",",","
170,despite,despite,IN,xxxx
171,pricing,price,VBG,xxxx
172,ahead,ahead,RB,xxxx
173,of,of,IN,xx
174,our,-PRON-,PRP$,xxx
175,categories,category,NNS,xxxx
176,",",",",",",","
177,gross,gross,JJ,xxxx
178,margins,margin,NNS,xxxx
179,were,be,VBD,xxxx
180,pressured,pressure,VBN,xxxx
181,by,by,IN,xx
182,the,the,DT,xxx
183,convergence,convergence,NN,xxxx
184,of,of,IN,xx
185,higher,high,JJR,xxxx
186,startup,startup,NN,xxxx
187,costs,cost,NNS,xxxx
188,to,to,TO,xx
189,support,support,VB,xxxx
190,our,-PRON-,PRP$,xxx
191,brands,brand,NNS,xxxx
192,and,and,CC,xxx
193,elevated,elevated,JJ,xxxx
194,inflation,inflation,NN,xxxx
195,"
","
",_SP,"
"
196,Importantly,importantly,RB,Xxxxx
197,",",",",",",","
198,we,-PRON-,PRP,xx
199,remain,remain,VBP,xxxx
200,confident,confident,JJ,xxxx
201,in,in,IN,xx
202,our,-PRON-,PRP$,xxx
203,long,long,JJ,xxxx
204,-,-,HYPH,-
205,term,term,NN,xxxx
206,margin,margin,NN,xxxx
207,expansion,expansion,NN,xxxx
208,opportunity,opportunity,NN,xxxx
209,and,and,CC,xxx
210,our,-PRON-,PRP$,xxx
211,ability,ability,NN,xxxx
212,to,to,TO,xx
213,deliver,deliver,VB,xxxx
214,on,on,IN,xx
215,the,the,DT,xxx
216,2020,2020,CD,dddd
217,outlook,outlook,NN,xxxx
218,we,-PRON-,PRP,xx
219,provided,provide,VBD,xxxx
220,at,at,IN,xx
221,our,-PRON-,PRP$,xxx
222,investor,investor,NN,xxxx
223,day,day,NN,xxx
224,last,last,JJ,xxxx
225,year,year,NN,xxxx
226,"
","
",_SP,"
"
227,We,-PRON-,PRP,Xx
228,continue,continue,VBP,xxxx
229,to,to,TO,xx
230,be,be,VB,xx
231,active,active,JJ,xxxx
232,with,with,IN,xxxx
233,our,-PRON-,PRP$,xxx
234,M&A,M&A,NNP,X&X
235,agenda,agenda,NN,xxxx
236,to,to,TO,xx
237,bolster,bolster,VB,xxxx
238,our,-PRON-,PRP$,xxx
239,strong,strong,JJ,xxxx
240,positions,position,NNS,xxxx
241,in,in,IN,xx
242,the,the,DT,xxx
243,important,important,JJ,xxxx
244,Snacks,Snacks,NNPS,Xxxxx
245,and,and,CC,xxx
246,Frozen,Frozen,NNP,Xxxxx
247,categories,category,NNS,xxxx
248,"
","
",_SP,"
"
249,During,during,IN,Xxxxx
250,the,the,DT,xxx
251,quarter,quarter,NN,xxxx
252,",",",",",",","
253,we,-PRON-,PRP,xx
254,completed,complete,VBD,xxxx
255,our,-PRON-,PRP$,xxx
256,$,$,$,$
257,250,250,CD,ddd
258,million,million,CD,xxxx
259,acquisition,acquisition,NN,xxxx
260,of,of,IN,xx
261,Angie,Angie,NNP,Xxxxx
262,'s,'s,POS,'x
263,Artisan,Artisan,NNP,Xxxxx
264,Treats,Treats,NNPS,Xxxxx
265,",",",",",",","
266,the,the,DT,xxx
267,maker,maker,NN,xxxx
268,of,of,IN,xx
269,Angie,Angie,NNP,Xxxxx
270,'s,'s,POS,'x
271,Boom,Boom,NNP,Xxxx
272,Chicka,Chicka,NNP,Xxxxx
273,Pop,Pop,NNP,Xxx
274,",",",",",",","
275,the,the,DT,xxx
276,fastest,fastest,RBS,xxxx
277,growing,grow,VBG,xxxx
278,national,national,JJ,xxxx
279,read,read,NN,xxxx
280,-,-,HYPH,-
281,to,to,TO,xx
282,-,-,HYPH,-
283,eat,eat,VB,xxx
284,popcorn,popcorn,NN,xxxx
285,brand,brand,NN,xxxx
286,in,in,IN,xx
287,the,the,DT,xxx
288,U.S,U.S,NNP,X.X
289,"
","
",_SP,"
"
290,",",",",",",","
291,and,and,CC,xxx
292,as,as,IN,xx
293,you,-PRON-,PRP,xxx
294,saw,see,VBD,xxx
295,earlier,earlier,RBR,xxxx
296,today,today,NN,xxxx
297,",",",",",",","
298,we,-PRON-,PRP,xx
299,announced,announce,VBD,xxxx
300,an,an,DT,xx
301,agreement,agreement,NN,xxxx
302,to,to,TO,xx
303,acquire,acquire,VB,xxxx
304,Sandwich,Sandwich,NNP,Xxxxx
305,Bros,Bros,NNP,Xxxx
306,"
","
",_SP,"
"
307,",",",",",",","
308,which,which,WDT,xxxx
309,I,-PRON-,PRP,X
310,will,will,MD,xxxx
311,elaborate,elaborate,VB,xxxx
312,on,on,IN,xx
313,in,in,IN,xx
314,a,a,DT,x
315,few,few,JJ,xxx
316,minutes,minute,NNS,xxxx
317,"
","
",_SP,"
"
318,We,-PRON-,PRP,Xx
319,also,also,RB,xxxx
320,continue,continue,VBP,xxxx
321,to,to,TO,xx
322,deliver,deliver,VB,xxxx
323,on,on,IN,xx
324,our,-PRON-,PRP$,xxx
325,target,target,NN,xxxx
326,to,to,TO,xx
327,repurchase,repurchase,VBN,xxxx
328,$,$,$,$
329,1.1,1.1,CD,d.d
330,billion,billion,CD,xxxx
331,of,of,IN,xx
332,shares,share,NNS,xxxx
333,during,during,IN,xxxx
334,fiscal,fiscal,JJ,xxxx
335,2018,2018,CD,dddd
336,.,.,.,.
337,We,-PRON-,PRP,Xx
338,repurchased,repurchase,VBD,xxxx
339,approximately,approximately,RB,xxxx
340,$,$,$,$
341,280,280,CD,ddd
342,million,million,CD,xxxx
343,of,of,IN,xx
344,common,common,JJ,xxxx
345,stock,stock,NN,xxxx
346,during,during,IN,xxxx
347,the,the,DT,xxx
348,second,second,JJ,xxxx
349,quarter,quarter,NN,xxxx
350,"
","
",_SP,"
"
351,The,the,DT,Xxx
352,bottom,bottom,JJ,xxxx
353,line,line,NN,xxxx
354,is,be,VBZ,xx
355,we,-PRON-,PRP,xx
356,'re,be,VBP,'xx
357,encouraged,encourage,VBN,xxxx
358,about,about,IN,xxxx
359,our,-PRON-,PRP$,xxx
360,year,year,NN,xxxx
361,-,-,HYPH,-
362,to,to,IN,xx
363,-,-,HYPH,-
364,date,date,NN,xxxx
365,performance,performance,NN,xxxx
366,",",",",",",","
367,and,and,CC,xxx
368,we,-PRON-,PRP,xx
369,'re,be,VBP,'xx
370,updating,update,VBG,xxxx
371,our,-PRON-,PRP$,xxx
372,2018,2018,CD,dddd
373,guidance,guidance,NN,xxxx
374,to,to,TO,xx
375,reflect,reflect,VB,xxxx
376,organic,organic,JJ,xxxx
377,net,net,JJ,xxx
378,sales,sale,NNS,xxxx
379,and,and,CC,xxx
380,adjusted,adjust,VBN,xxxx
381,EPS,EPS,NNP,XXX
382,to,to,TO,xx
383,be,be,VB,xx
384,near,near,IN,xxxx
385,the,the,DT,xxx
386,high,high,JJ,xxxx
387,end,end,NN,xxx
388,of,of,IN,xx
389,their,-PRON-,PRP$,xxxx
390,respective,respective,JJ,xxxx
391,guidance,guidance,NN,xxxx
392,ranges,range,VBZ,xxxx
393,"
","
",_SP,"
"
394,During,during,IN,Xxxxx
395,the,the,DT,xxx
396,quarter,quarter,NN,xxxx
397,",",",",",",","
398,we,-PRON-,PRP,xx
399,marked,mark,VBD,xxxx
400,our,-PRON-,PRP$,xxx
401,one,one,CD,xxx
402,-,-,HYPH,-
403,year,year,NN,xxxx
404,anniversary,anniversary,NN,xxxx
405,as,as,IN,xx
406,a,a,DT,x
407,branded,brand,VBN,xxxx
408,pure,pure,JJ,xxxx
