,Sentences
0,"Thank you, Kevin, and welcome, everybody, to Coty's second quarter conference call"
1,I'm delighted to be here speaking with you leading my first earnings call as Coty's CEO
2,"Let me take a moment to reiterate for you Coty's ambition, as previously articulated by Bart, which I embrace and will continue to use as the foundation of my strategic vision"
3,"Our ambition in beauty is to strive to become over time a global industry leader by being a clear challenger in beauty, delighting our consumers, which ultimately should translate into revenue growth, strong cash flow and the creation of long-term shareholder value"
4,"Having completed my first four months in the role, it's clear to me that the combination of our iconic and emerging brands, energized employees and the comprehensive strategy we are laying out for the new organization, will position us well to reach our ambition"
5,Today is our first time reporting as a combined company following the closing of the P&G Beauty transaction October 1.
6,"Consistent with our comments on the last earnings call, Q2 was a challenging quarter"
7,"The business was impacted by significantly higher-than-anticipated inventory levels in the market, on the acquired P&G Beauty Business, competitive pressure in the Consumer Beauty division, and the distraction associated with the integration efforts"
8,"I want to be clear that while the complexity of the merger, the sheer magnitude of this integration and simultaneous reorganization of our total company have impacted our organization and our short-term results, I have initiated additional changes as I'm not satisfied with the underlying performance of several parts of the business"
9,"So although fiscal 2017 is a transitional year, as previously discussed, we have already started to tackle the growth challenges of our business"
10,"As it is my first earnings call and an introduction to how I think about the business, I wanted to go in much more detail into the trends and strategies that I plan going forward"
11,"To reiterate my assessment from the last earnings call, the Coty business is composed of three divisions in different states of evolution"
12,"The Professional Beauty division is performing well overall, fueled by the continued success of the hair portfolio"
13,The Luxury division has been improving its revenue trends in parallel with decreasing wholesale distribution to create a healthy business
14,And we expect the momentum to continue in the coming quarters
15,"However, the Consumer Beauty division is facing a number of challenges, and I'll come back to Consumer Beauty in more detail later"
16,I will now discuss my strategic vision for the company and the specific actions we are implementing to continue the reshaping of our business in order to address the current challenges and return the combined company to growth
17,"First and foremost, we have an amazing portfolio of iconic brands that are loved by millions of consumers throughout the world, including COVERGIRL, Rimmel and Clairol in Consumer Beauty; Calvin Klein, Hugo Boss and Gucci in Luxury; and Wella and OPI in Professional Beauty"
18,"Our first focus on our established global brands is to continue to strengthen and nurture them, particularly as some of them were previously essentially orphaned within a larger corporation"
19,Our second focus is to cultivating (05:03)
20,few of the brands with higher growth potential in our portfolio
21,"Our third focus is to stabilize the remaining brands, whether through active portfolio rationalization or other majors"
22,"Finally, we're also completing the shaping of our new organization, including making sure we have the right talent in key roles to drive growth in our brands"
23,We aim to achieve these objectives through four key pillars
24,"First, we are repositioning some of the brands in order to reconnect these brands with consumers, building on their already strong brand equity"
25,"Second, we are making significant changes to our innovation and product development process in parts of the organization"
26,"Third, we are accelerating our end-to-end digital transformation, including e-commerce"
27,"And fourth, we are working to significantly ramp our in-store execution"
28,"I would like to also highlight that we see a substantial opportunity to use the strength of our growth portfolio brands to reach more and more consumers all over the world, as many of our brands still have substantial opportunity for geographical expansion leveraging our global distribution footprint"
29,"On the M&A front, we're continuing to strengthen the Coty portfolio through highly strategic acquisitions and planned portfolio rationalization"
30,"Both ghd and Younique are expected to be accretive in year one, on both net revenue growth and adjusted earnings"
31,"From a strategic perspective, ghd expands our assortment of premium products for the Salon channel, while the partnership with Younique leverages unique high-growth e-commerce platform and social selling direct-to-consumer business model"
32,"On the portfolio rationalization, we have identified the non-core portfolio brands and are now exploring potential alternatives for these brands, including divestitures"
33,So the comprehensive reshaping of our business for growth is continuing at pace
34,I would now like to take some time to discuss each of Coty's new divisions and the specific action we are implementing to address current challenges and return the combined company to growth
35,I'll start with Consumer Beauty
36,"This division represents approximately half of our combined portfolio in our revenues with around half of the division sales concentrated in color cosmetics, and the other half composed of retail hair, body care and mass fragrances"
37,"The Q2 results of the Consumer Beauty division were clearly disappointing, as I mentioned before"
38,"The main drivers behind these results are the fact that some of the key brands were orphaned in the previous large organization, the high competitive market pressure, and the changing market environment"
39,"Additionally, we're still working through highly elevated (08:08) trade inventories that were built before the close of the P&G Beauty transaction"
40,"So let me go a little deeper into each of these categories, starting with color cosmetics"
41,The color cosmetics category has been growing at an average at a low-single digit pace in key regions
42,"But the category has been rapidly changing with consumers' focus much more on trends in ancillary products, and engaging much more online to discuss and determine what they purchase"
43,A lot of the growth has come from entry (08:44) and smaller brands that are fast to respond to trends and engage with their customers through digital platforms and innovative in-store activation
44,"We are behind on this curve, but we have already taken action and we are working on a multi-pronged approach"
45,"First, we are revamping our product development, as well as our communication process and programs"
46,"Aided by our own digital agency, Beamly, as well as more strategic partnership with our key partner suppliers, the new innovation process is focused on spotting the trends early and slashing our average time to market, which is currently about 12, 18 months"
47,"In parallel, we are working to digitally transform our brands and overall our in-store presence to make sure we're present the best way possible where our consumers shop"
48,"As part of these efforts, we will be shifting more money from traditional media to digital media and investment in the store"
49,"Finally, we are also working with retailers to improve our partnership relationship, bringing value to them and their customers"
50,"From a brand perspective, we believe we have a strong portfolio of cosmetic brands, but we'll be re-launching several of them to regain relevance with consumers"
51,"Specifically, we will be re-launching COVERGIRL and Max Factor in the coming fiscal year, with new brand positioning, new creations, new packaging and new in-store appearance"
52,We will also be announcing Sally Hansen's market approach to build a stronger emotional connection with the consumer
53,"While the full COVERGIRL and Max Factor brand re-launches will kick off in few quarters, we're already seeing some bright spots in the business"
54,COVERGIRL
55,So Lashy!
56,launch is the biggest mascara launch of the season
57,"The innovative (10:35) product, strong consumer insight and the disruptive marketing campaign featuring James Charles and Nura Afia have driven disproportion engagement and above expected results for this novel mascara that works for all lash types"
58,"This multi-pronged approach will take time to yield results, but we strongly believe this is the right way to strengthen our business for the long term"
59,"Turning to retail hair, we believe that Coty has a real opportunity to revive the category through innovation, stronger in-store execution and consumer engagement"
60,"The category has been dormant for the last 10 years, particularly in developed countries"
61,"We believe the biggest players in the category, including Clairol, have been leveraging the category for profit with no real innovation"
62,Our analysis indicates that consumers are intimidated by the difficulty of the shopping for hair color in stores and the complexity of the hair coloring process at home
63,"In turn, the category penetration has been going down, as consumers would rather go to their professional stylist"
64,"As a result of these category issues, retailers have been progressively capping the shelf allocation, which in turn has limited the color assortment, preventing many women from finding their shade"
65,"Against this backdrop, we believe we have an exciting pipeline of innovation in the near future that will revitalize the retail hair category and transform it into a beauty category instead of a functional category"
66,"The Consumer Beauty division will take some time to return to growth, and I'm confident the strategic action that we are putting in place are the right steps to strengthen Coty's position in this beauty category"
67,"Turning to the Luxury division, which accounts for approximately a third of the combined company revenues, we believe we have a very strong portfolio of brands, which span the spectrum of the prestige fragrance category from low premium to ultra-premium"
68,And we are continuing with our strategy of making our portfolio even more prestige
69,Coty Luxury had strong results across several of our brands and pillars in Q2.
70,"However, the division performance in Q2 versus last year was impacted by our continued wholesale distribution reduction, which is a positive for the health of the business, and by the difficult innovation comparison versus the previous year"
71,"On the positive side, we launched the new Hugo Boss fragrance, The Scent For Her, which marked the brand's successful entry into the female category"
72,This was the number one launch in the UK and number two in Spain
73,"The feedback for the new Gucci Guilty marketing campaign has also been very positive, driving market share growth in the Gucci Guilty franchise in both the U.S"
74,and Italy
75,"The core brand continued to grow in market across all key countries, supported by the Flora de Parfum launch"
76,"philosophy also continued to grow in the quarter, fueled by its direct-to-consumer platform"
77,"From a go-to-market perspective, we are continuing to gain share in the travel retail channel where we already have a disproportionate share of the fragrance category"
78,"We evolved to successfully establish a local affiliate in China, steadily improving our distribution in in-market performance"
79,"So, as we look to the second half of 2017, we remain excited by the robust pipeline of initiatives across the Hugo Boss, Gucci and Calvin Klein brands, amongst others"
80,"And while there is more to do on wholesale distribution, we do expect revenue trends in the Luxury division to continue to improve in the coming quarters"
81,"In the Professional Beauty division, which accounts for approximately a fifth of combined company revenues, we're maintaining strong momentum in the hair category, while broadening our portfolio with ghd within hair appliances and a critical adjacency in nail with OPI"
82,"Our Salon hair portfolio continued to grow low to mid-single-digit, consistent with the performance in the two previous fiscal years, and ahead of the salon market, which is growing at approximately 1%"
83,"We are excited by the continued strong performance over the largest brand, Wella, as well as the System Professional brand which is tapping into the premium care segment and the growing trends of customization and personalization with this EnergyCode technology"
84,"ghd, as the new key brand of the Professional Beauty portfolio, has performed well in its first few weeks within Coty"
85,"And we expect momentum to continue throughout the remainder of the fiscal year, notably building on its geographical footprint expansion beyond its core countries"
86,"All together, we expect the Professional Beauty division to see good growth on a combined company basis through the rest of the fiscal 2017 and beyond"
87,"Following on the heels of the ghd acquisition, I'm excited about our partnership with Younique"
88,"I'm extremely pleased that both of the founders, Derek and Melanie, will continue to lead the business, which leverages the exponential potential of online peer-to-peer social selling"
