,Word,Lemma,POSTag,Shape
0,Thank,thank,VBP,Xxxxx
1,you,-PRON-,PRP,xxx
2,",",",",",",","
3,Kevin,Kevin,NNP,Xxxxx
4,",",",",",",","
5,and,and,CC,xxx
6,welcome,welcome,UH,xxxx
7,",",",",",",","
8,everybody,everybody,NN,xxxx
9,",",",",",",","
10,to,to,IN,xx
11,Coty,Coty,NNP,Xxxx
12,’s,’s,POS,’x
13,fiscal,fiscal,JJ,xxxx
14,2017,2017,CD,dddd
15,fourth,fourth,JJ,xxxx
16,quarter,quarter,NN,xxxx
17,and,and,CC,xxx
18,full,full,JJ,xxxx
19,year,year,NN,xxxx
20,conference,conference,NN,xxxx
21,call,call,NN,xxxx
22,"
","
",_SP,"
"
23,Fiscal,fiscal,JJ,Xxxxx
24,2017,2017,CD,dddd
25,was,be,VBD,xxx
26,a,a,DT,x
27,transformational,transformational,JJ,xxxx
28,year,year,NN,xxxx
29,for,for,IN,xxx
30,Coty,Coty,NNP,Xxxx
31,"
","
",_SP,"
"
32,First,first,RB,Xxxxx
33,",",",",",",","
34,we,-PRON-,PRP,xx
35,completed,complete,VBD,xxxx
36,the,the,DT,xxx
37,incredibly,incredibly,RB,xxxx
38,complicated,complicated,JJ,xxxx
39,acquisition,acquisition,NN,xxxx
40,of,of,IN,xx
41,the,the,DT,xxx
42,P&G,P&G,NNP,X&X
43,Beauty,Beauty,NNP,Xxxxx
44,Business,Business,NNP,Xxxxx
45,",",",",",",","
46,dealing,deal,VBG,xxxx
47,with,with,IN,xxxx
48,the,the,DT,xxx
49,complexities,complexity,NNS,xxxx
50,of,of,IN,xx
51,both,both,CC,xxxx
52,the,the,DT,xxx
53,carve,carve,NN,xxxx
54,-,-,HYPH,-
55,out,out,NN,xxx
56,the,the,DT,xxx
57,R&D,r&d,NN,X&X
58,structure,structure,NN,xxxx
59,"
","
",_SP,"
"
60,Second,second,RB,Xxxxx
61,",",",",",",","
62,we,-PRON-,PRP,xx
63,fully,fully,RB,xxxx
64,reorganized,reorganize,VBD,xxxx
65,into,into,IN,xxxx
66,a,a,DT,x
67,product,product,NN,xxxx
68,and,and,CC,xxx
69,customer,customer,NN,xxxx
70,focused,focus,VBD,xxxx
71,organizational,organizational,JJ,xxxx
72,structure,structure,NN,xxxx
73,",",",",",",","
74,centered,center,VBN,xxxx
75,on,on,IN,xx
76,three,three,CD,xxxx
77,vertically,vertically,RB,xxxx
78,integrated,integrate,VBN,xxxx
79,divisions,division,NNS,xxxx
80,"
","
",_SP,"
"
81,Third,third,JJ,Xxxxx
82,",",",",",",","
83,we,-PRON-,PRP,xx
84,reached,reach,VBD,xxxx
85,significant,significant,JJ,xxxx
86,milestones,milestone,NNS,xxxx
87,in,in,IN,xx
88,our,-PRON-,PRP$,xxx
89,integration,integration,NN,xxxx
90,efforts,effort,NNS,xxxx
91,",",",",",",","
92,and,and,CC,xxx
93,fourth,fourth,RB,xxxx
94,",",",",",",","
95,we,-PRON-,PRP,xx
96,strengthened,strengthen,VBD,xxxx
97,our,-PRON-,PRP$,xxx
98,portfolio,portfolio,NN,xxxx
99,through,through,IN,xxxx
100,the,the,DT,xxx
101,additions,addition,NNS,xxxx
102,of,of,IN,xx
103,Younique,Younique,NNP,Xxxxx
104,",",",",",",","
105,ghd,ghd,NNP,xxx
106,",",",",",",","
107,and,and,CC,xxx
108,the,the,DT,xxx
109,pending,pende,VBG,xxxx
110,acquisition,acquisition,NN,xxxx
111,of,of,IN,xx
112,the,the,DT,xxx
113,Burberry,Burberry,NNP,Xxxxx
114,Beauty,Beauty,NNP,Xxxxx
115,license,license,NN,xxxx
116,"
","
",_SP,"
"
117,I,-PRON-,PRP,X
118,am,be,VBP,xx
119,particularly,particularly,RB,xxxx
120,proud,proud,JJ,xxxx
121,of,of,IN,xx
122,the,the,DT,xxx
123,culture,culture,NN,xxxx
124,we,-PRON-,PRP,xx
125,are,be,VBP,xxx
126,building,build,VBG,xxxx
127,within,within,IN,xxxx
128,the,the,DT,xxx
129,new,new,JJ,xxx
130,Coty,Coty,NNP,Xxxx
131,where,where,WRB,xxxx
