,Sentences
0,"Thank you, Dennis, and good morning, everyone"
1,Our new fiscal year is off to a terrific start
2,"We delivered an outstanding financial performance in the first quarter, powered by multiple engines of growth across our business"
3,"Both sales and earnings per share rose double-digits, and all of our regions and major categories advanced"
4,"Our 13% constant currency sales increase exceeded our forecast, and we leveraged the incremental top line results into excellent earnings growth, aided by cost savings and efficiencies"
5,"We accelerated the momentum that we experienced at the end of fiscal year 2017 by continuing to focus on fast growing brands, channels, and countries, and fueled these areas with additional resources and investments"
6,"We targeted new consumers as we expanded our reach, especially with millennials, and they were drawn to our innovative, high-quality products"
7,"More influencers' attention, sophisticated social media programs and a digital-first mindset across our brands helped drive our success"
8,"With an encouraging start to the year and continued confidence in our outlook, we are increasing our full-year sales and EPS guidance"
9,"In constant currency, we now expect our sales to rise 8% to 9% and earnings per share growth of 12% to 14% in fiscal year 2018."
10,"At the same time, we are mindful of external geopolitical and economic issues that could pose challenges to our business"
11,"Looking out our categories, makeup has been strong for several years and continued to be robust across many of our brands"
12,Too Faced and BECCA contributed significantly along with Tom Ford and Estée Lauder
13,"What stood out in this quarter, however, was our skin care performance which rebounded strongly, a trend we are seeing in the industry"
14,"Our improvement stemmed from strength in existing products and successful recent launches from Estée Lauder, La Mer, and GLAMGLOW, as they captured many new consumers"
15,"Our fragrance categories growth came largely from our luxury and our artisanal brands, which are gaining traction worldwide and have developed into a strong growth engine"
16,Nearly all brands in our portfolio advanced globally
17,"Our flagship Estée Lauder brand generated double-digit global growth with positive results in every region, led by particular strengths from Chinese consumers and global travelers"
18,"Aligned with the company's strategy, Estée Lauder has developed multiple engines of growth across its categories, channels, and geographies"
19,Much of the brand's momentum stemmed from an acceleration in skin care on top of continuous strength in makeup
20,"This was reflected in the success of these powerful hero franchises, including the Advanced Night Repair and Re-Nutriv skin care collections and Double Wear and Pure Color makeup lines"
21,"This marks Estée Lauder's fourth consecutive quarter of solid sales growth, in the last two quarters, up double-digits"
22,"Our M·A·C brand grew modestly on a global basis, thanks to excellent gains in Asia/Pacific, particularly in China, where its business more than doubled"
23,"Growth also came from travel retail, where its sales climbed double-digits"
24,"M·A·C has successfully captured new consumers, helping to deliver sequential improvements also in North America"
25,Our luxury brands continued to enjoy strong worldwide demand
26,"La Mer, Jo Malone, Tom Ford each grew double-digits in every region"
27,"And our newness brand are performing well, and we build their equities and broaden their reach to a targeted consumer base"
28,"To stay in the lead in prestige beauty, we continued to successfully pivot to the high-growth channels, where more consumers are shopping"
29,"Our sales in travel retail, specialty-multi and online each grew strong double-digits"
30,"Sales gains in travel retail reflected higher passenger traffic, a greater number of Chinese travelers to Hong Kong and Macau, compelling offering and a wider exposure of some of mid-sized brands"
31,All of our brands benefited from the positive trend
32,"Tom Ford, Jo Malone, and La Mer were standouts while most of the portfolio had healthy gains, including Clinique, which rose sharply on strong demand for its moisturizers"
33,All regions grew in travel retail
34,Asia/Pacific led the growth with Chinese consumer traveling in greater numbers within Asia as well as to key tourist destinations in Europe
35,"We continued rolling out some of our newer brands in major airports, including By Kilian or Le Labo"
36,"For the fiscal year, we expect our travel retail business to remain robust based on expected strong passenger traffic growth, increased conversion of travelers into buyers and sustained demand for our products, particularly from emerging market consumers"
37,We plan to invest more in China and other emerging markets this fiscal year to further build awareness and demand for our brands
38,We should benefit consumption in both the local market and several travel corridors
39,Our strong online business was led by third-party and retailer sites
40,"Globally, our metrics improved across the board, including higher traffic, conversions, and orders"
41,"We continued to garner new consumers throughout our business on Tmall in China, where our sales more than doubled, fueled in part by M·A·C's successful launch in May"
42,"In the recent quarter, M·A·C also successfully launched on a large online platform in Southeast Asia owned by Alibaba called Lazada with a brand building distribution model similar to Tmall, where we control the look and the content of the virtual store"
43,We expect to expand on the platform in more markets and with more brands starting this quarter
44,We continue to broaden our global online footprint with new site launches and retailer distribution expansion
45,"In the quarter, we added more than 100 sites"
46,"The majority were retailers and most of them in the European region, demonstrating the scalability of our digital model"
47,"Spurred by the growth of social media and technology advancement, mobile is the focus of our digital strategies"
48,"In the recent quarter, mobile accounted for 70% of our global online traffic"
49,"We are seeing the results of our investment in mobile, as it is an important factor driving first time digital consumers in emerging markets and increasing the frequency of purchases in more developed countries"
50,We also continue to strengthen our position in specialty-multi retailers globally
51,Many of our brands expanded their target reach as they pushed younger consumers drawn by the channel
52,"M·A·C roll out in ULTA Beauty in North America has resonated strongly, as approximately half the consumer who purchased M·A·C products were new or lapsed users of the brand"
53,M·A·C has become a best-selling makeup brand in the large majority of ULTA Beauty stores where it opened
54,"And based on the strong initial performance, we plan to accelerate its expansion there"
55,"By opening in more specialty-multi stores globally, M·A·C will continue to balance a meaningful presence in all major channels, department stores, freestanding stores, specialty-multi, online, and travel retail"
56,"Internationally, we are strategically expanding our newest brands, Too Faced and BECCA, in the specialty-multi channel which is their primary distribution focus"
