,Word,Lemma,POSTag,Shape
0,Thank,thank,VBP,Xxxxx
1,you,-PRON-,PRP,xxx
2,",",",",",",","
3,Dennis,Dennis,NNP,Xxxxx
4,",",",",",",","
5,and,and,CC,xxx
6,good,good,JJ,xxxx
7,morning,morning,NN,xxxx
8,",",",",",",","
9,everyone,everyone,NN,xxxx
10,"
","
",_SP,"
"
11,Our,-PRON-,PRP$,Xxx
12,new,new,JJ,xxx
13,fiscal,fiscal,JJ,xxxx
14,year,year,NN,xxxx
15,is,be,VBZ,xx
16,off,off,IN,xxx
17,to,to,IN,xx
18,a,a,DT,x
19,terrific,terrific,JJ,xxxx
20,start,start,NN,xxxx
21,"
","
",_SP,"
"
22,We,-PRON-,PRP,Xx
23,delivered,deliver,VBD,xxxx
24,an,an,DT,xx
25,outstanding,outstanding,JJ,xxxx
26,financial,financial,JJ,xxxx
27,performance,performance,NN,xxxx
28,in,in,IN,xx
29,the,the,DT,xxx
30,first,first,JJ,xxxx
31,quarter,quarter,NN,xxxx
32,",",",",",",","
33,powered,power,VBN,xxxx
34,by,by,IN,xx
35,multiple,multiple,JJ,xxxx
36,engines,engine,NNS,xxxx
37,of,of,IN,xx
38,growth,growth,NN,xxxx
39,across,across,IN,xxxx
40,our,-PRON-,PRP$,xxx
41,business,business,NN,xxxx
42,"
","
",_SP,"
"
43,Both,both,DT,Xxxx
44,sales,sale,NNS,xxxx
45,and,and,CC,xxx
46,earnings,earning,NNS,xxxx
47,per,per,IN,xxx
48,share,share,NN,xxxx
49,rose,rise,VBD,xxxx
50,double,double,JJ,xxxx
51,-,-,HYPH,-
52,digits,digit,NNS,xxxx
53,",",",",",",","
54,and,and,CC,xxx
55,all,all,DT,xxx
56,of,of,IN,xx
57,our,-PRON-,PRP$,xxx
58,regions,region,NNS,xxxx
59,and,and,CC,xxx
60,major,major,JJ,xxxx
61,categories,category,NNS,xxxx
62,advanced,advance,VBD,xxxx
63,"
","
",_SP,"
"
64,Our,-PRON-,PRP$,Xxx
65,13,13,CD,dd
66,%,%,NN,%
67,constant,constant,JJ,xxxx
68,currency,currency,NN,xxxx
69,sales,sale,NNS,xxxx
70,increase,increase,NN,xxxx
71,exceeded,exceed,VBD,xxxx
72,our,-PRON-,PRP$,xxx
73,forecast,forecast,NN,xxxx
74,",",",",",",","
75,and,and,CC,xxx
76,we,-PRON-,PRP,xx
77,leveraged,leverage,VBD,xxxx
78,the,the,DT,xxx
79,incremental,incremental,JJ,xxxx
80,top,top,JJ,xxx
81,line,line,NN,xxxx
82,results,result,NNS,xxxx
83,into,into,IN,xxxx
84,excellent,excellent,JJ,xxxx
85,earnings,earning,NNS,xxxx
86,growth,growth,NN,xxxx
87,",",",",",",","
88,aided,aid,VBN,xxxx
89,by,by,IN,xx
90,cost,cost,NN,xxxx
91,savings,saving,NNS,xxxx
92,and,and,CC,xxx
93,efficiencies,efficiency,NNS,xxxx
94,"
","
",_SP,"
"
95,We,-PRON-,PRP,Xx
96,accelerated,accelerate,VBD,xxxx
97,the,the,DT,xxx
98,momentum,momentum,NN,xxxx
99,that,that,WDT,xxxx
100,we,-PRON-,PRP,xx
101,experienced,experience,VBD,xxxx
102,at,at,IN,xx
103,the,the,DT,xxx
104,end,end,NN,xxx
105,of,of,IN,xx
106,fiscal,fiscal,JJ,xxxx
107,year,year,NN,xxxx
108,2017,2017,CD,dddd
109,by,by,IN,xx
110,continuing,continue,VBG,xxxx
111,to,to,TO,xx
112,focus,focus,VB,xxxx
113,on,on,IN,xx
114,fast,fast,JJ,xxxx
115,growing,grow,VBG,xxxx
116,brands,brand,NNS,xxxx
117,",",",",",",","
118,channels,channel,NNS,xxxx
119,",",",",",",","
120,and,and,CC,xxx
121,countries,country,NNS,xxxx
122,",",",",",",","
123,and,and,CC,xxx
124,fueled,fuel,VBD,xxxx
125,these,these,DT,xxxx
126,areas,area,NNS,xxxx
127,with,with,IN,xxxx
128,additional,additional,JJ,xxxx
129,resources,resource,NNS,xxxx
130,and,and,CC,xxx
131,investments,investment,NNS,xxxx
132,"
","
",_SP,"
"
133,We,-PRON-,PRP,Xx
