,Sentences
0,"Thanks, Don"
1,"Good morning, everyone"
2,I appreciate the opportunity to give you a deeper dive into our North American Retail segment
3,I’m proud to lead this team
4,We have great people
5,We’re moving with urgency
6,We’re operating differently than a year ago and I think you can begin to see that translate into our performance
7,The key messages for North America Retail this quarter are similar to headlines for a total company
8,We’re driving broad-based top line improvement with organic sales slightly positive amounting to flat in the quarter
9,"Our profit was down this quarter, but improved sequentially over the first quarter and we have clear initiatives that will deliver profit growth in the second-half"
10,We’re executing well against our fiscal 2018 priorities and we have strong back-half plans in place to maintain our trajectory
11,"Looking at the financial results in the second quarter, organic net sales for this segment were up just under 0.5%"
12,"Cereal posted 7% net sales growth, which was ahead of Nielsen-measured retail sales, due to non-measured channel growth, strong sell-in for new Chocolate Peanut Butter Cheerios and other quarterly timing shifts"
13,"Fiscal year-to-date, U.S"
14,Cereal net sales and retail sales are each roughly flat to last year
15,"Snacks net sales increased 5% in the quarter, with growth on Lärabar, Nature Valley and fruit snacks, partially offset by declines in Fiber One"
16,Canada net sales are up 1% in constant currency and net sales for the U.S
17,Meals & Baking operating units were down 2%
18,"yogurt net sales declined 11% and a 11 point improvement over the first quarter, driven by continued declines in Light and Greek varieties, partially offset by excellent innovation in news and core established brands"
19,"Segment operating profit declined 5% in constant currency in the quarter, driven by higher input costs, unfavorable trade phasing and increased advertising and media expense, partially offset by favorable product mix and benefits from cost savings"
20,We’ve driven sequential improvement in U.S
21,retail sales since the beginning of the year
22,"In fact, our second quarter retail sales trends are almost 700 basis points better than fourth quarter of last year and our improvement is driving better results for our categories"
23,We saw retail sales trend positive in measured channels in the second quarter
24,"And it’s not just a couple of businesses driving this trend, our retail sales trends are better in eight of our nine largest U.S"
25,We’ve had absolute retail sales and dollar shared growth in this quarter on six of these nine businesses
26,"Not only those – not only are these trends broad-based or high-quality, we’ve increased our brand-building investment this year and we’re leveraging new campaigns on some of our biggest brands, generated by new creative agencies and we’re taking a fresh approach towards consumer messaging"
27,"For example, new campaigns on Cereals, Nature Valley and Pillsbury are helping drive baseline sales improvements by as much as double digits for these branches at the end of last year"
28,"We’re also seeing benefits from an increased focus on innovation with retail sales from new products of more than 50% of the share, driven by successes like Oui by Yoplait and Chocolate Peanut Butter Cheerios"
29,"In total, our second quarter baseline sales trends in the U.S"
30,improved by over 600 basis points relative to the fourth quarter of 2017.
31,That represents more than 75% of our overall improvement in the Nielsen-measured channels
32,We’re also driving better merchandising performance this year
33,"Our display support, which is the most effective merchandise vehicle was up double digits in the quarter"
34,"And when you have good brand-building support and strong innovation, your merchandising works even harder for you"
35,It’s important to note that we’re maintaining discipline in our pricing in the market
36,Average unit prices for our overall U.S
37,portfolio were up 5% in the first-half
38,"However, three quarters of that increase was due to significant mix impacts from our year-over-year business"
39,"Excluding year-over-year, average unit prices for the rest of our portfolio were up 2% in the first quarter and about a 0.5% in the second quarter"
40,The quarterly change was driven in part by moving end of the zone or
41,"[ph] dough businesses, where our seasonal pricing is lower than last year, but still higher than two years ago, as we had planned"
42,"As we look ahead to the second-half of fiscal 2018, remember that our Nielsen pricing metrics will compare against periods last year, when our aggregate U.S"
43,pricing was up 5% or more
44,"We’re also driving strong results in growing channels, including exceptional performance in e-commerce"
45,e-commerce business grew 82% in the first-half of the year and we still enjoy higher market shares in online full basket purchases compared to shares in bricks and mortar channels
46,We’re excited about the opportunity that e-commerce provides and we will continue to develop our insights and capabilities to keep our business in advantage position and it’s important in emerging channel
47,"With that as a backdrop, I thought I’d briefly check in on the segment priorities I shared at our Investor Day in July and give you a preview of the product news innovation that will drive results in the back-half of 2018."
48,"Our top priority, North America retailers are driving improved performance in U.S"
49,I’m happy to report that we’re achieving that goal through six months
50,"We’ve seen a strong turnaround performance in measured channels this year, with retail sales growth in the second quarter, and we’ve gained 70 basis points in market share through the first-half"
51,"Four of our largest taste-oriented cereals, which make up over third of our portfolio driving a performance this year"
52,"Year-to-date retail sales are Lucky Charms and Cocoa Puffs reached up 14%, while Cinnamon Toast Crunch and Reese’s Puffs are up 8%, the corn puff and kid cereals, because roughly half of the consumption on these brands is by adults"
53,"Compelling consumer news has been a theme across these brands, whether that’s new marshmallow news each quarter on Lucky Charms or cinnamon news on Cinnamon Toast Crunch, which has driven 43 consecutive months of market share gains for the brands"
54,We’re planning to extend our cereal momentum in the second-half behind some exciting innovation and platform marketing executions
55,"Chocolate Peanut Butter Cheerios, which launched in October is off to a great start and is turning at the top of the category"
56,We’ll continue to fuel this new product in the second-half with strong in third quarter
57,"In January, we launched two new blasted shred cereals in Peanut Butter Chocolate and Cinnamon Toast Crunch flavors and an opportunity to invigorate $400 million shredded wheat segment by delivering on to tidy and taste"
58,What happened in the fast-growing nut butter channel with new almond butter and peanut butter varieties of our Nature Valley Granola Cereals
59,"We’re supporting these launches, as well as the rest of the portfolio with remarkable marketing and merchandising"
60,I’m probably most excited about our cheerios and merchandising initiatives at the Ellen DeGeneres show that begins in January
61,"We’re running an on packed sweepstakes, where consumers share an active good that demonstrated for a chance to win two prizes"
62,One for themselves and one to share with another person as an active good
63,The sweepstakes will be announced on the show next month
64,"Now let’s shift gears to our second priority, which is reshaping our U.S"
65,yogurt portfolio by innovating in faster-growing emerging segments of the category
66,"In 2018, the yogurt innovation has been tremendously successful thus far, led by Oui by Yoplait, which already makes up almost 10% of our U.S"
67,yogurt portfolio
68,"Oui’s glass jar and unique positioning really standout on shelf, which has helped drive strong consumer trial"
69,and we’re seeing an acceleration in repeat purchases
70,"Retailers love wheat, because it is driving more sales with current consumers and attracting new yogurt buyers"
71,"Through the first four months in shelf, we used the largest launch in the category over the past five years"
72,And Yoplait Mix-Ins targets towards traditional yogurt levers looking for great tasting snack options is the second largest launch in the category this year
73,While innovation is critical to our U.S
74,"yogurt strategy, it’s also critical that we stabilize our two large core platforms in kid yogurts and Original Style Yoplait"
75,"This year, we adjusted our biggest consumer paying atGoGurt franchise by making the tubes easier to open"
76,"Consumer investment communicating this change is driving improvement on the GoGurt business, with retail sales nearly flat in the second quarter"
77,"We’re also investing in advertising for Original Style Yoplait, featuring our Mom"
78,"On Campaign, where we celebrate hard working moms and show how Yoplait fits into our busy life, and we’ve seen sales trends improved here as well over the last few quarters"
79,"We have plenty of news to drive further improvement on GoGurt in second-half, and we were launching four additional flavors in January; Raspberry, Key Lime, Mango and Black Berry"
80,We’re also launching a new line of Annie’s
81,powder sugars
82,We make this product using organic home milk and four flavors that combine fruits and vegetables with no added sugar
83,"Fruit is the hero on the traditional yogurt segment, nearly 50% of shoppers like more"
84,"So we’re giving them what they want, adding more fruits to our Original Style Yoplait"
85,"We’re updating the package to communicate the change, and thus using the change on TV and digital advertising"
86,We’ve also seen indulgence opportunity in the traditional yogurt segment
87,and then we can bring more consumers to shelf for the decadent home milk and real food offering
88,Our new fruit sideline shows off its indulging ingredients with clear packaging
89,and it’s
90,price for the dollar to maintain broad appeal
91,We know there’s still a long way to go on the U.S
92,"sugar, but we like the direction we’re heading"
93,We think the combinations were
94,first-half improvements and our back-half news will help us cut our declines to single digits by the end of the year
