,Word,Lemma,POSTag,Shape
0,Thanks,thank,NNS,Xxxxx
1,",",",",",",","
2,Don,Don,NNP,Xxx
3,"
","
",_SP,"
"
4,Good,good,JJ,Xxxx
5,morning,morning,NN,xxxx
6,",",",",",",","
7,everyone,everyone,NN,xxxx
8,"
","
",_SP,"
"
9,I,-PRON-,PRP,X
10,appreciate,appreciate,VBP,xxxx
11,the,the,DT,xxx
12,opportunity,opportunity,NN,xxxx
13,to,to,TO,xx
14,give,give,VB,xxxx
15,you,-PRON-,PRP,xxx
16,a,a,DT,x
17,deeper,deep,JJR,xxxx
18,dive,dive,NN,xxxx
19,into,into,IN,xxxx
20,our,-PRON-,PRP$,xxx
21,North,north,JJ,Xxxxx
22,American,american,JJ,Xxxxx
23,Retail,Retail,NNP,Xxxxx
24,segment,segment,NN,xxxx
25,"
","
",_SP,"
"
26,I,-PRON-,PRP,X
27,’m,be,VBP,’x
28,proud,proud,JJ,xxxx
29,to,to,TO,xx
30,lead,lead,VB,xxxx
31,this,this,DT,xxxx
32,team,team,NN,xxxx
33,"
","
",_SP,"
"
34,We,-PRON-,PRP,Xx
35,have,have,VBP,xxxx
36,great,great,JJ,xxxx
37,people,people,NNS,xxxx
38,"
","
",_SP,"
"
39,We,-PRON-,PRP,Xx
40,’re,be,VBP,’xx
41,moving,move,VBG,xxxx
42,with,with,IN,xxxx
43,urgency,urgency,NN,xxxx
44,"
","
",_SP,"
"
45,We,-PRON-,PRP,Xx
46,’re,be,VBP,’xx
47,operating,operate,VBG,xxxx
48,differently,differently,RB,xxxx
49,than,than,IN,xxxx
50,a,a,DT,x
51,year,year,NN,xxxx
52,ago,ago,RB,xxx
53,and,and,CC,xxx
54,I,-PRON-,PRP,X
55,think,think,VBP,xxxx
56,you,-PRON-,PRP,xxx
57,can,can,MD,xxx
58,begin,begin,VB,xxxx
59,to,to,TO,xx
60,see,see,VB,xxx
61,that,that,DT,xxxx
62,translate,translate,VB,xxxx
63,into,into,IN,xxxx
64,our,-PRON-,PRP$,xxx
65,performance,performance,NN,xxxx
66,"
","
",_SP,"
"
67,The,the,DT,Xxx
68,key,key,JJ,xxx
69,messages,message,NNS,xxxx
70,for,for,IN,xxx
71,North,North,NNP,Xxxxx
72,America,America,NNP,Xxxxx
73,Retail,Retail,NNP,Xxxxx
74,this,this,DT,xxxx
75,quarter,quarter,NN,xxxx
76,are,be,VBP,xxx
77,similar,similar,JJ,xxxx
78,to,to,IN,xx
79,headlines,headline,NNS,xxxx
80,for,for,IN,xxx
81,a,a,DT,x
82,total,total,JJ,xxxx
83,company,company,NN,xxxx
84,"
","
",_SP,"
"
85,We,-PRON-,PRP,Xx
86,’re,be,VBP,’xx
87,driving,drive,VBG,xxxx
88,broad,broad,RB,xxxx
89,-,-,HYPH,-
90,based,base,VBN,xxxx
91,top,top,JJ,xxx
92,line,line,NN,xxxx
93,improvement,improvement,NN,xxxx
94,with,with,IN,xxxx
95,organic,organic,JJ,xxxx
96,sales,sale,NNS,xxxx
97,slightly,slightly,RB,xxxx
98,positive,positive,JJ,xxxx
99,amounting,amounting,NN,xxxx
100,to,to,IN,xx
101,flat,flat,JJ,xxxx
102,in,in,IN,xx
103,the,the,DT,xxx
104,quarter,quarter,NN,xxxx
105,"
","
",_SP,"
"
106,Our,-PRON-,PRP$,Xxx
107,profit,profit,NN,xxxx
108,was,be,VBD,xxx
109,down,down,RB,xxxx
110,this,this,DT,xxxx
111,quarter,quarter,NN,xxxx
112,",",",",",",","
113,but,but,CC,xxx
114,improved,improve,VBD,xxxx
115,sequentially,sequentially,RB,xxxx
116,over,over,IN,xxxx
117,the,the,DT,xxx
118,first,first,JJ,xxxx
119,quarter,quarter,NN,xxxx
120,and,and,CC,xxx
121,we,-PRON-,PRP,xx
122,have,have,VBP,xxxx
123,clear,clear,JJ,xxxx
124,initiatives,initiative,NNS,xxxx
125,that,that,WDT,xxxx
126,will,will,MD,xxxx
127,deliver,deliver,VB,xxxx
128,profit,profit,NN,xxxx
129,growth,growth,NN,xxxx
130,in,in,IN,xx
131,the,the,DT,xxx
132,second,second,JJ,xxxx
133,-,-,HYPH,-
134,half,half,NN,xxxx
135,"
","
",_SP,"
"
136,We,-PRON-,PRP,Xx
137,’re,be,VBP,’xx
138,executing,execute,VBG,xxxx
139,well,well,RB,xxxx
140,against,against,IN,xxxx
141,our,-PRON-,PRP$,xxx
142,fiscal,fiscal,JJ,xxxx
143,2018,2018,CD,dddd
144,priorities,priority,NNS,xxxx
145,and,and,CC,xxx
146,we,-PRON-,PRP,xx
147,have,have,VBP,xxxx
148,strong,strong,JJ,xxxx
149,back,back,JJ,xxxx
150,-,-,HYPH,-
151,half,half,NN,xxxx
152,plans,plan,NNS,xxxx
153,in,in,IN,xx
154,place,place,NN,xxxx
155,to,to,TO,xx
156,maintain,maintain,VB,xxxx
157,our,-PRON-,PRP$,xxx
158,trajectory,trajectory,NN,xxxx
159,"
","
",_SP,"
"
160,Looking,look,VBG,Xxxxx
161,at,at,IN,xx
162,the,the,DT,xxx
163,financial,financial,JJ,xxxx
164,results,result,NNS,xxxx
165,in,in,IN,xx
166,the,the,DT,xxx
167,second,second,JJ,xxxx
168,quarter,quarter,NN,xxxx
169,",",",",",",","
170,organic,organic,JJ,xxxx
171,net,net,JJ,xxx
172,sales,sale,NNS,xxxx
173,for,for,IN,xxx
174,this,this,DT,xxxx
175,segment,segment,NN,xxxx
176,were,be,VBD,xxxx
177,up,up,RB,xx
178,just,just,RB,xxxx
179,under,under,IN,xxxx
180,0.5,0.5,CD,d.d
181,%,%,NN,%
182,"
","
",_SP,"
"
183,Cereal,cereal,NN,Xxxxx
184,posted,post,VBD,xxxx
185,7,7,CD,d
186,%,%,NN,%
187,net,net,JJ,xxx
188,sales,sale,NNS,xxxx
189,growth,growth,NN,xxxx
190,",",",",",",","
191,which,which,WDT,xxxx
192,was,be,VBD,xxx
193,ahead,ahead,RB,xxxx
194,of,of,IN,xx
195,Nielsen,Nielsen,NNP,Xxxxx
196,-,-,HYPH,-
197,measured,measure,VBN,xxxx
198,retail,retail,JJ,xxxx
199,sales,sale,NNS,xxxx
200,",",",",",",","
201,due,due,IN,xxx
202,to,to,IN,xx
203,non,non,JJ,xxx
204,-,-,JJ,-
205,measured,measured,JJ,xxxx
206,channel,channel,NN,xxxx
207,growth,growth,NN,xxxx
208,",",",",",",","
209,strong,strong,JJ,xxxx
210,sell,sell,NN,xxxx
211,-,-,HYPH,-
212,in,in,NN,xx
213,for,for,IN,xxx
214,new,new,JJ,xxx
215,Chocolate,Chocolate,NNP,Xxxxx
216,Peanut,Peanut,NNP,Xxxxx
217,Butter,Butter,NNP,Xxxxx
218,Cheerios,Cheerios,NNP,Xxxxx
219,and,and,CC,xxx
220,other,other,JJ,xxxx
221,quarterly,quarterly,JJ,xxxx
222,timing,timing,NN,xxxx
223,shifts,shift,NNS,xxxx
224,"
","
",_SP,"
"
225,Fiscal,fiscal,JJ,Xxxxx
226,year,year,NN,xxxx
227,-,-,HYPH,-
228,to,to,IN,xx
229,-,-,HYPH,-
230,date,date,NN,xxxx
231,",",",",",",","
232,U.S,U.S,NNP,X.X
233,"
","
",_SP,"
"
234,Cereal,cereal,NN,Xxxxx
235,net,net,JJ,xxx
236,sales,sale,NNS,xxxx
237,and,and,CC,xxx
238,retail,retail,JJ,xxxx
239,sales,sale,NNS,xxxx
240,are,be,VBP,xxx
241,each,each,DT,xxxx
242,roughly,roughly,RB,xxxx
243,flat,flat,JJ,xxxx
244,to,to,TO,xx
245,last,last,JJ,xxxx
246,year,year,NN,xxxx
247,"
","
",_SP,"
"
248,Snacks,snack,NNS,Xxxxx
249,net,net,JJ,xxx
250,sales,sale,NNS,xxxx
251,increased,increase,VBD,xxxx
252,5,5,CD,d
253,%,%,NN,%
254,in,in,IN,xx
255,the,the,DT,xxx
256,quarter,quarter,NN,xxxx
257,",",",",",",","
258,with,with,IN,xxxx
259,growth,growth,NN,xxxx
260,on,on,IN,xx
261,Lärabar,Lärabar,NNP,Xxxxx
262,",",",",",",","
263,Nature,Nature,NNP,Xxxxx
264,Valley,Valley,NNP,Xxxxx
265,and,and,CC,xxx
266,fruit,fruit,NN,xxxx
267,snacks,snack,NNS,xxxx
268,",",",",",",","
269,partially,partially,RB,xxxx
270,offset,offset,VBN,xxxx
271,by,by,IN,xx
272,declines,decline,NNS,xxxx
273,in,in,IN,xx
274,Fiber,Fiber,NNP,Xxxxx
275,One,one,CD,Xxx
276,"
","
",_SP,"
"
277,Canada,Canada,NNP,Xxxxx
278,net,net,JJ,xxx
279,sales,sale,NNS,xxxx
280,are,be,VBP,xxx
281,up,up,RB,xx
282,1,1,CD,d
283,%,%,NN,%
284,in,in,IN,xx
285,constant,constant,JJ,xxxx
286,currency,currency,NN,xxxx
287,and,and,CC,xxx
288,net,net,JJ,xxx
289,sales,sale,NNS,xxxx
290,for,for,IN,xxx
291,the,the,DT,xxx
292,U.S,U.S,NNP,X.X
293,"
","
",_SP,"
"
294,Meals,Meals,NNP,Xxxxx
295,&,&,CC,&
296,Baking,Baking,NNP,Xxxxx
297,operating,operating,NN,xxxx
298,units,unit,NNS,xxxx
299,were,be,VBD,xxxx
300,down,down,RB,xxxx
301,2,2,CD,d
302,%,%,NN,%
303,"
","
",_SP,"
"
304,yogurt,yogurt,NNP,xxxx
305,net,net,JJ,xxx
306,sales,sale,NNS,xxxx
307,declined,decline,VBD,xxxx
308,11,11,CD,dd
309,%,%,NN,%
310,and,and,CC,xxx
311,a,a,DT,x
312,11,11,CD,dd
313,point,point,NN,xxxx
314,improvement,improvement,NN,xxxx
315,over,over,IN,xxxx
316,the,the,DT,xxx
317,first,first,JJ,xxxx
318,quarter,quarter,NN,xxxx
319,",",",",",",","
320,driven,drive,VBN,xxxx
321,by,by,IN,xx
322,continued,continued,JJ,xxxx
323,declines,decline,NNS,xxxx
324,in,in,IN,xx
325,Light,Light,NNP,Xxxxx
326,and,and,CC,xxx
327,Greek,greek,JJ,Xxxxx
328,varieties,variety,NNS,xxxx
329,",",",",",",","
330,partially,partially,RB,xxxx
331,offset,offset,VBN,xxxx
332,by,by,IN,xx
333,excellent,excellent,JJ,xxxx
334,innovation,innovation,NN,xxxx
335,in,in,IN,xx
336,news,news,NN,xxxx
337,and,and,CC,xxx
338,core,core,NN,xxxx
339,established,establish,VBN,xxxx
340,brands,brand,NNS,xxxx
341,"
","
",_SP,"
"
342,Segment,segment,NN,Xxxxx
343,operating,operating,NN,xxxx
344,profit,profit,NN,xxxx
345,declined,decline,VBD,xxxx
346,5,5,CD,d
347,%,%,NN,%
348,in,in,IN,xx
349,constant,constant,JJ,xxxx
350,currency,currency,NN,xxxx
351,in,in,IN,xx
352,the,the,DT,xxx
353,quarter,quarter,NN,xxxx
354,",",",",",",","
355,driven,drive,VBN,xxxx
356,by,by,IN,xx
357,higher,high,JJR,xxxx
358,input,input,NN,xxxx
359,costs,cost,NNS,xxxx
360,",",",",",",","
361,unfavorable,unfavorable,JJ,xxxx
362,trade,trade,NN,xxxx
363,phasing,phase,VBG,xxxx
364,and,and,CC,xxx
365,increased,increase,VBN,xxxx
366,advertising,advertising,NN,xxxx
367,and,and,CC,xxx
368,media,medium,NNS,xxxx
369,expense,expense,NN,xxxx
370,",",",",",",","
371,partially,partially,RB,xxxx
372,offset,offset,VBN,xxxx
373,by,by,IN,xx
374,favorable,favorable,JJ,xxxx
375,product,product,NN,xxxx
376,mix,mix,NN,xxx
377,and,and,CC,xxx
378,benefits,benefit,NNS,xxxx
379,from,from,IN,xxxx
380,cost,cost,NN,xxxx
381,savings,saving,NNS,xxxx
382,"
","
",_SP,"
"
383,We,-PRON-,PRP,Xx
384,’ve,have,VB,’xx
385,driven,drive,VBN,xxxx
386,sequential,sequential,JJ,xxxx
387,improvement,improvement,NN,xxxx
388,in,in,IN,xx
389,U.S,U.S,NNP,X.X
390,"
","
",_SP,"
"
391,retail,retail,JJ,xxxx
392,sales,sale,NNS,xxxx
393,since,since,IN,xxxx
394,the,the,DT,xxx
395,beginning,beginning,NN,xxxx
396,of,of,IN,xx
397,the,the,DT,xxx
398,year,year,NN,xxxx
399,"
","
",_SP,"
"
400,In,in,IN,Xx
401,fact,fact,NN,xxxx
402,",",",",",",","
403,our,-PRON-,PRP$,xxx
404,second,second,JJ,xxxx
405,quarter,quarter,NN,xxxx
406,retail,retail,JJ,xxxx
407,sales,sale,NNS,xxxx
408,trends,trend,NNS,xxxx
409,are,be,VBP,xxx
410,almost,almost,RB,xxxx
411,700,700,CD,ddd
