,Sentences
0,"Good morning, everyone"
1,The first quarter was certainly a challenging one for Kellogg North America
2,We again delivered strong operating profit margin expansion
3,"However, our top-line was not where we wanted it to be"
4,John has already walked you through the unexpectedly soft consumption that was felt across our categories and across the entire industry
5,"And, as he said, it appears that at least some of this was due to transitory factors that will not persist"
6,We also had a notable decrease in trade inventories
7,We knew that trade inventory would come out in Q1 and it did
8,"During the quarter, we made good progress on productivity initiatives, investment in food and packaging and our DSD transition, which I'll come back to in a moment"
9,"And we had strong commercial plans across our businesses for Q2 and the second half, though I'm confident that our sales performance will improve"
10,"Let's briefly walk through each business, starting with the ones whose results came in largely as expected, and then moving to Morning Foods and Snacks, where the factors I mentioned were most acute"
11,I'll start with Specialty Channels on slide 13.
12,"Our Specialty Channels business in Q1 delivered a seventh consecutive quarter of sales and profit growth, even against a tough year-ago comparison"
13,"The net sales growth was delivered through equal parts of volume and price/mix, and via market expansion in core channels, as well as expansion in emerging growth channels, all of which was aided by innovation"
14,"Operating profit margin continued to improve, driven by price, mix, as well as continued Project K and Zero-Based Budgeting savings"
15,So we continue to feel good about Specialty Channels
16,Now we'll look at our North America Other segment on slide number 14.
17,"As we expected, this segment posted strong 8% profit growth in Q1 with margins improving substantially, up 200 basis points on the strength of Project K and ZBB savings"
18,"In Frozen, Eggo consumption returned to growth in March"
19,"With the removal of artificial ingredients and solid commercial plans, we expect better net sales performance in coming quarters"
20,MorningStar Farms is a similar story
21,Consumption turned to growth in March and our renovated line is now on shelf and being supported
22,"So that should get gradually better, too"
23,"At Kashi, trade inventory corrected, following innovation launches in late Q4."
24,"However, we continue to show good progress in our overhauled Cereal business, which continued to grow consumption in the natural channel and grew consumption in xAOC measured channels, too, with particularly encouraging gains for our bear naked brand"
25,And we're just starting to get back on air with media
26,We launched our new Nut Butter Bars in January
27,Our early signs are good and we're following it up with further renovations and innovations in the second half
28,"So Kashi is another business in which we expect to see gradual improvement as the year goes on, both in consumption and in net sales"
29,"In Canada, we're still seeing the volume impact of our efforts to increase price realization in order to cover the steep transactional FX impact of a weakened Canadian dollar"
30,We expect the impact to stabilize as we lap our pricing actions in the next couple of months
31,So Canada is on track to meet expectations for the year
32,"Now, let's turn to slide 15 and U.S"
33,Morning Foods
