,Word,Lemma,POSTag,Shape
0,Good,good,JJ,Xxxx
1,morning,morning,NN,xxxx
2,",",",",",",","
3,everyone,everyone,NN,xxxx
4,"
","
",_SP,"
"
5,The,the,DT,Xxx
6,first,first,JJ,xxxx
7,quarter,quarter,NN,xxxx
8,was,be,VBD,xxx
9,certainly,certainly,RB,xxxx
10,a,a,DT,x
11,challenging,challenging,JJ,xxxx
12,one,one,NN,xxx
13,for,for,IN,xxx
14,Kellogg,Kellogg,NNP,Xxxxx
15,North,North,NNP,Xxxxx
16,America,America,NNP,Xxxxx
17,"
","
",_SP,"
"
18,We,-PRON-,PRP,Xx
19,again,again,RB,xxxx
20,delivered,deliver,VBD,xxxx
21,strong,strong,JJ,xxxx
22,operating,operating,NN,xxxx
23,profit,profit,NN,xxxx
24,margin,margin,NN,xxxx
25,expansion,expansion,NN,xxxx
26,"
","
",_SP,"
"
27,However,however,RB,Xxxxx
28,",",",",",",","
29,our,-PRON-,PRP$,xxx
30,top,top,JJ,xxx
31,-,-,HYPH,-
32,line,line,NN,xxxx
33,was,be,VBD,xxx
34,not,not,RB,xxx
35,where,where,WRB,xxxx
36,we,-PRON-,PRP,xx
37,wanted,want,VBD,xxxx
38,it,-PRON-,PRP,xx
39,to,to,TO,xx
40,be,be,VB,xx
41,"
","
",_SP,"
"
42,John,John,NNP,Xxxx
43,has,have,VBZ,xxx
44,already,already,RB,xxxx
45,walked,walk,VBD,xxxx
46,you,-PRON-,PRP,xxx
47,through,through,IN,xxxx
48,the,the,DT,xxx
49,unexpectedly,unexpectedly,RB,xxxx
50,soft,soft,JJ,xxxx
51,consumption,consumption,NN,xxxx
52,that,that,WDT,xxxx
53,was,be,VBD,xxx
54,felt,feel,VBN,xxxx
55,across,across,IN,xxxx
56,our,-PRON-,PRP$,xxx
57,categories,category,NNS,xxxx
58,and,and,CC,xxx
59,across,across,IN,xxxx
60,the,the,DT,xxx
61,entire,entire,JJ,xxxx
62,industry,industry,NN,xxxx
63,"
","
",_SP,"
"
64,And,and,CC,Xxx
65,",",",",",",","
66,as,as,IN,xx
67,he,-PRON-,PRP,xx
68,said,say,VBD,xxxx
69,",",",",",",","
70,it,-PRON-,PRP,xx
71,appears,appear,VBZ,xxxx
72,that,that,IN,xxxx
73,at,at,IN,xx
74,least,least,JJS,xxxx
75,some,some,DT,xxxx
76,of,of,IN,xx
77,this,this,DT,xxxx
78,was,be,VBD,xxx
79,due,due,JJ,xxx
80,to,to,IN,xx
81,transitory,transitory,JJ,xxxx
82,factors,factor,NNS,xxxx
83,that,that,WDT,xxxx
84,will,will,MD,xxxx
85,not,not,RB,xxx
86,persist,persist,VB,xxxx
87,"
","
",_SP,"
"
88,We,-PRON-,PRP,Xx
89,also,also,RB,xxxx
90,had,have,VBD,xxx
91,a,a,DT,x
92,notable,notable,JJ,xxxx
93,decrease,decrease,NN,xxxx
94,in,in,IN,xx
95,trade,trade,NN,xxxx
96,inventories,inventory,NNS,xxxx
97,"
","
",_SP,"
"
98,We,-PRON-,PRP,Xx
99,knew,know,VBD,xxxx
100,that,that,IN,xxxx
101,trade,trade,NN,xxxx
102,inventory,inventory,NN,xxxx
103,would,would,MD,xxxx
104,come,come,VB,xxxx
105,out,out,RP,xxx
106,in,in,IN,xx
107,Q1,Q1,NNP,Xd
108,and,and,CC,xxx
109,it,-PRON-,PRP,xx
110,did,do,VBD,xxx
111,"
","
",_SP,"
"
112,During,during,IN,Xxxxx
113,the,the,DT,xxx
114,quarter,quarter,NN,xxxx
115,",",",",",",","
116,we,-PRON-,PRP,xx
117,made,make,VBD,xxxx
118,good,good,JJ,xxxx
119,progress,progress,NN,xxxx
120,on,on,IN,xx
121,productivity,productivity,NN,xxxx
122,initiatives,initiative,NNS,xxxx
123,",",",",",",","
124,investment,investment,NN,xxxx
125,in,in,IN,xx
126,food,food,NN,xxxx
127,and,and,CC,xxx
128,packaging,packaging,NN,xxxx
129,and,and,CC,xxx
130,our,-PRON-,PRP$,xxx
131,DSD,dsd,NN,XXX
132,transition,transition,NN,xxxx
133,",",",",",",","
134,which,which,WDT,xxxx
135,I,-PRON-,PRP,X
136,'ll,will,MD,'xx
137,come,come,VB,xxxx
138,back,back,RB,xxxx
139,to,to,IN,xx
140,in,in,IN,xx
141,a,a,DT,x
142,moment,moment,NN,xxxx
143,"
","
",_SP,"
"
144,And,and,CC,Xxx
145,we,-PRON-,PRP,xx
146,had,have,VBD,xxx
147,strong,strong,JJ,xxxx
148,commercial,commercial,JJ,xxxx
149,plans,plan,NNS,xxxx
150,across,across,IN,xxxx
151,our,-PRON-,PRP$,xxx
152,businesses,business,NNS,xxxx
153,for,for,IN,xxx
154,Q2,Q2,NNP,Xd
155,and,and,CC,xxx
156,the,the,DT,xxx
157,second,second,JJ,xxxx
158,half,half,NN,xxxx
159,",",",",",",","
160,though,though,IN,xxxx
161,I,-PRON-,PRP,X
162,'m,be,VBP,'x
163,confident,confident,JJ,xxxx
