,Word,Lemma,POSTag,Shape
0,Thanks,thank,NNS,Xxxxx
1,Maria,Maria,NNP,Xxxxx
2,and,and,CC,xxx
3,good,good,JJ,xxxx
4,morning,morning,NN,xxxx
5,everyone,everyone,NN,xxxx
6,"
","
",_SP,"
"
7,In,in,IN,Xx
8,terms,term,NNS,xxxx
9,of,of,IN,xx
10,our,-PRON-,PRP$,xxx
11,full,full,JJ,xxxx
12,year,year,NN,xxxx
13,2016,2016,CD,dddd
14,results,result,NNS,xxxx
15,",",",",",",","
16,I,-PRON-,PRP,X
17,’ll,will,MD,’xx
18,focus,focus,VB,xxxx
19,my,-PRON-,PRP$,xx
20,comments,comment,NNS,xxxx
21,on,on,IN,xx
22,organic,organic,JJ,xxxx
23,sales,sale,NNS,xxxx
24,on,on,IN,xx
25,our,-PRON-,PRP$,xxx
26,market,market,NN,xxxx
27,shares,share,NNS,xxxx
28,and,and,CC,xxx
29,current,current,JJ,xxxx
30,market,market,NN,xxxx
31,conditions,condition,NNS,xxxx
32,"
","
",_SP,"
"
33,Then,then,RB,Xxxx
34,I,-PRON-,PRP,X
35,'ll,will,MD,'xx
36,address,address,VB,xxxx
37,our,-PRON-,PRP$,xxx
38,outlook,outlook,NN,xxxx
39,for,for,IN,xxx
40,2017,2017,CD,dddd
41,.,.,.,.
42,So,so,RB,Xx
43,starting,start,VBG,xxxx
44,with,with,IN,xxxx
45,our,-PRON-,PRP$,xxx
46,results,result,NNS,xxxx
47,"
","
",_SP,"
"
48,As,as,IN,Xx
49,Maria,Maria,NNP,Xxxxx
50,just,just,RB,xxxx
51,mentioned,mention,VBD,xxxx
52,",",",",",",","
53,organic,organic,JJ,xxxx
54,sales,sale,NNS,xxxx
55,were,be,VBD,xxxx
56,up,up,RB,xx
57,about,about,RB,xxxx
58,2,2,CD,d
59,%,%,NN,%
60,for,for,IN,xxx
61,the,the,DT,xxx
62,year,year,NN,xxxx
63,"
","
",_SP,"
"
64,In,in,IN,Xx
65,developing,develop,VBG,xxxx
66,and,and,CC,xxx
67,emerging,emerge,VBG,xxxx
68,markets,market,NNS,xxxx
69,",",",",",",","
70,we,-PRON-,PRP,xx
71,delivered,deliver,VBD,xxxx
72,4,4,CD,d
73,%,%,NN,%
74,organic,organic,JJ,xxxx
75,sales,sale,NNS,xxxx
76,growth,growth,NN,xxxx
77,even,even,RB,xxxx
78,though,though,IN,xxxx
79,we,-PRON-,PRP,xx
80,were,be,VBD,xxxx
81,impacted,impact,VBN,xxxx
82,by,by,IN,xx
83,category,category,NN,xxxx
84,declines,decline,NNS,xxxx
85,in,in,IN,xx
86,some,some,DT,xxxx
87,markets,market,NNS,xxxx
88,and,and,CC,xxx
89,by,by,IN,xx
90,price,price,NN,xxxx
91,competition,competition,NN,xxxx
92,in,in,IN,xx
93,China,China,NNP,Xxxxx
94,"
","
",_SP,"
"
95,Let,let,VB,Xxx
96,'s,-PRON-,PRP,'x
97,take,take,VB,xxxx
98,a,a,DT,x
99,look,look,NN,xxxx
100,at,at,IN,xx
101,some,some,DT,xxxx
102,of,of,IN,xx
103,our,-PRON-,PRP$,xxx
104,key,key,JJ,xxx
105,markets,market,NNS,xxxx
106,"
","
",_SP,"
"
107,In,in,IN,Xx
108,Eastern,Eastern,NNP,Xxxxx
109,Europe,Europe,NNP,Xxxxx
110,organic,organic,JJ,xxxx
111,sales,sale,NNS,xxxx
112,in,in,IN,xx
113,diapers,diaper,NNS,xxxx
114,increased,increase,VBD,xxxx
115,by,by,IN,xx
116,more,more,JJR,xxxx
117,than,than,IN,xxxx
118,15,15,CD,dd
119,%,%,NN,%
120,"
","
",_SP,"
"
121,Results,result,NNS,Xxxxx
122,there,there,EX,xxxx
123,were,be,VBD,xxxx
124,led,lead,VBN,xxx
125,by,by,IN,xx
126,Huggies,Huggies,NNPS,Xxxxx
127,in,in,IN,xx
128,Russia,Russia,NNP,Xxxxx
129,with,with,IN,xxxx
130,double,double,JJ,xxxx
131,digit,digit,NN,xxxx
132,volume,volume,NN,xxxx
133,growth,growth,NN,xxxx
134,and,and,CC,xxx
135,1,1,CD,d
136,point,point,NN,xxxx
137,of,of,IN,xx
138,market,market,NN,xxxx
139,share,share,NN,xxxx
140,improvement,improvement,NN,xxxx
141,"
","
",_SP,"
"
142,In,in,IN,Xx
143,China,China,NNP,Xxxxx
144,",",",",",",","
145,organic,organic,JJ,xxxx
146,sales,sale,NNS,xxxx
147,in,in,IN,xx
148,diapers,diaper,NNS,xxxx
149,were,be,VBD,xxxx
150,up,up,RB,xx
151,low,low,JJ,xxx
152,single,single,JJ,xxxx
153,digits,digit,NNS,xxxx
154,as,as,IN,xx
155,strong,strong,JJ,xxxx
